Questions,Answers,extended_answer
What is the population of the town that gets it's water supply from Canobie Lake?,"28,776 at the 2010 census","The population of the town that gets its water supply from Canobie Lake is 28,776, according to the 2010 census."
"What is the name of the company manged by Joseph Reiser based in Biel/Bienne, Switzerland?",Omega SA,"Omega SA is the name of the company managed by Joseph Reiser based in Biel/Bienne, Switzerland."
What was the name of the first biography of Brontë written by the author of Mary Barton?,Elizabeth Gaskell,The name of the first biography of Brontë was Elizabeth Gaskell.
What collegiate division does the team coached by P.W. Underwood play in?,Division I,The team coached by P.W. Underwood plays in Division I.
What was the name of the alum by the Scorpions that contained one of their most famous songs written by Klaus Meine and Herman Rarebell?,Love at First Sting,"The name of the album by the Scorpions that contained one of their most famous songs, written by Klaus Meine and Herman Rarebell, was Love at First Sting."
"Which band, Matthew Good Band or Switchfoot is still together?",Switchfoot,Switchfoot is the band that is still together.
"Which is a university in Pennsylvania, University of New Haven or Carnegie Mellon University?",Carnegie Mellon University,Carnegie Mellon University is a university in Pennsylvania.
What is the name of the fashion label that the founder of the Faena Arts Center founded in 1985?,Via Vai,The name of the fashion label that the founder of the Faena Arts Center founded in 1985 is Via Vai.
What is the call sign of the airline that operates the flight with United Express Flight 3411 incident?,Brickyard,The call sign of the airline that operates the flight with the United Express Flight 3411 incident is Brickyard.
What are the names of the co-directors of the psychological horror film starring Emily Browning and Elizabeth Banks?,Charles and Thomas Guard,The co-directors of the psychological horror film starring Emily Browning and Elizabeth Banks are Charles and Thomas Guard.
"""Aroma-scope"" used in Spy Kids 4 is reminiscent of what marketing gimmick used in Polyester in 1981?","""Odorama""","The ""Aroma-scope"" used in Spy Kids 4 is reminiscent of the marketing gimmick used in Polyester in 1981 called ""Odorama."""
"Did the host of Splash! win a gold, silver, or bronze Olympic medal?",bronze,The host of Splash! won a bronze Olympic medal.
"On what album is Samuel ""Sam"" Ervin Beam's cover of ""Such Great Heights"" featured?","""Give Up""","Samuel ""Sam"" Ervin Beam's cover of ""Such Great Heights"" is featured on the album ""Give Up""."
What is the total circulation of the magazine that called Ohio State Route 78 one of the most scenic highways nationwide?,Car and Driver,The magazine Car and Driver has a total circulation that called Ohio State Route 78 one of the most scenic highways nationwide.
"Between MetroSource and Chicago, which magazine is published more frequently?",Chicago,Chicago magazine is published more frequently than MetroSource.
"Who has a wider scope of profession,  José Echegaray or Graham Swift?",José Echegaray,José Echegaray has a wider scope of profession compared to Graham Swift.
What genre does Orkworld and John Wick have in common?,role-playing,Orkworld and John Wick have the genre of role-playing in common.
Which star of Here Come the Munsters was born in Philadelphia ?,Veronica Hamel,"Veronica Hamel, the star of Here Come the Munsters, was born in Philadelphia."
What county is the congressional district that Hansen Clarke was a U.S. Representative for in?,Wayne County,Hansen Clarke was a U.S. Representative for Wayne County.
"Which dog is based in Switzerland, Appenzeller Sennenhund or Drentse Patrijshond?",Appenzeller Sennenhund,The dog that is based in Switzerland is the Appenzeller Sennenhund.
Is the university that owns WCSU-FM historically black or white?,black,The university that owns WCSU-FM is historically black.
What occupation have Carly Gullickson and Francesca Schiavone both held?,professional tennis player.,"Carly Gullickson and Francesca Schiavone have both held the occupation of professional tennis player, showcasing their exceptional skills and dedication to the sport."
What is the age range of the league for which the Bobby Smith Trophy is awarded?,16-21,The age range for the league for which the Bobby Smith Trophy is awarded is 16-21.
Which documentary film came out first The Last Lions or Prophet's Prey ?,The Last Lions,The Last Lions was the documentary film that came out first.
At what university can the building that served as the fictional household that includes Gomez and Morticia be found?,Syracuse University,The building that served as the fictional household that includes Gomez and Morticia can be found at Syracuse University.
"Which was released first, The Greatest Game Ever Played or Hot Lead and Cold Feet?",Hot Lead and Cold Feet,Hot Lead and Cold Feet was released first.
Which award David Hersey had got for Equus a play by Peter Shaffer ?,Outstanding Lighting Design,"David Hersey had received the Outstanding Lighting Design award for Equus, a play by Peter Shaffer."
"Which drink is larger, the Apple-Kneel or the Flaming volcano?",The flaming volcano,The Flaming Volcano drink is larger than the Apple-Kneel.
What Andy Williams' album did a song written by Charles Wesley appear on?,The Andy Williams Christmas Album,The song written by Charles Wesley appeared on The Andy Williams Christmas Album.
Who co-wrote The Hidden History of the Human Race with a man know devotionally as Drutakarma dasa?,Richard L. Thompson,Richard L. Thompson co-wrote The Hidden History of the Human Race with a man known devotionally as Drutakarma dasa.
"What WikiLeaks using whistleblower is notable for having a hacking organization with a user base of over 1,800,000?",Jeremy Hammond,"Jeremy Hammond, the whistleblower associated with WikiLeaks, is notable for having a hacking organization with a user base of over 1,800,000."
"In the 1970s, which group acquired this department store group in the United Kingdom whose co-founding director is the father of Lieutenant Colonel Donald Swain Lewis?",Army & Navy Stores,"The Army & Navy Stores, which was acquired by a group in the 1970s, is the department store group in the United Kingdom whose co-founding director is the father of Lieutenant Colonel Donald Swain Lewis."
Who covered the song I Love You by Chris Write?,People! and The Carnabeats,"The song ""I Love You"" by Chris Write was covered by People and The Carnabeats."
Phoebe Ruguru created a 2014 film on a smartphone marketed by what company?,Apple,Phoebe Ruguru created a 2014 film on a smartphone marketed by Apple.
"Charles Barton ""Chuck"" Kendall, Jr. was reportedly interested in purchasing the Los Angeles Clippers from which Jewish-American businessman?",Donald Sterling,"Charles Barton ""Chuck"" Kendall, Jr. was reportedly interested in purchasing the Los Angeles Clippers from Donald Sterling, a Jewish-American businessman."
Evan Williams played for what professional football club that was originally known as St. Luke's FC?,Wolverhampton Wanderers Football Club,"Evan Williams played for Wolverhampton Wanderers Football Club, which was originally known as St. Luke's FC."
"Who is younger, Wayne Coyne or Toshiko Koshijima?",Toshiko Koshijima,Toshiko Koshijima is younger than Wayne Coyne.
What was the Volvo S70 essentially modeled after and was the first all wheel drive Volvo?,Volvo 850,"The Volvo S70 was essentially modeled after the Volvo 850, which was also the first all wheel drive Volvo."
"Meomi Design works include The Octonauts book series, how did the adaptations of the series continue? ",a British children's television series,The adaptations of The Octonauts book series continued with a British children's television series.
"When was the only long-term psychiatric hospital operated founded in a county in the USA with a population of 9,298 in 2010?",in 1877,"The only long-term psychiatric hospital operated in the county in the USA with a population of 9,298 in 2010 was founded in 1877."
What is the weight limit of the weight class that Takeyasu Hirono fights in?,125 lb (57 kg),Takeyasu Hirono fights in the weight class with a weight limit of 125 lb (57 kg).
"Ray Roughler Jones single-handedly produced the magazine Roughler, but what Swedish singer-songwriter made contributions to the magazine?",Neneh Cherry,"Neneh Cherry, the Swedish singer-songwriter, made contributions to the magazine Roughler, which was single-handedly produced by Ray Roughler Jones."
"Which professional tennis player was born first, Lucie Hradecká or Raffaella Reggi?",Raffaella Reggi,"Raffaella Reggi, the professional tennis player, was born first."
Rumble Fish was a novel by the author of the coming-of-age novel published in what year by Viking Press?,1967,Rumble Fish was a novel by the author of the coming-of-age novel published in 1967 by Viking Press.
Between Harvey Pekar and Denise Levertov who was born earlier?,Denise Levertov,Denise Levertov was born earlier than Harvey Pekar.
What Brooklyn-based rapper has worked with both Rafeal Casal and Mos Def?,Talib Kweli,"Talib Kweli, the Brooklyn-based rapper, has worked with both Rafeal Casal and Mos Def in his illustrious career."
Where does Tiko's Spanish football club hold home games at?,Estadio de López Cortázar,"Tiko's Spanish football club holds home games at Estadio de López Cortázar, which is the stadium where they play their matches."
What is the nickname of a professional German footballer as well as the name of a children's book?,The BFG,The BFG is the nickname of a professional German footballer as well as the name of a children's book.
Are Centaurium and Dacrydium both genuses of plant species?,yes,"Yes, Centaurium and Dacrydium are both genuses of plant species."
"In what year was the Sayrevill, New Jersey rock band that Frankie LaRocka played drums for formed?",1983,"The Sayreville, New Jersey rock band that Frankie LaRocka played drums for was formed in 1983."
"What area once connected Great Britain to continental Europe, and is thought to have been submerged around 6,200 BCE by a massive landslide along 290 km of the continental shelf?",Doggerland,"Doggerland, an area that once connected Great Britain to continental Europe, is thought to have been submerged around 6,200 BCE by a massive landslide along 290 km of the continental shelf."
"Which is longer, Hampshire and Hampden Canal or Tennessee-Tombigbee Waterway?",Tennessee-Tombigbee Waterway,The Tennessee-Tombigbee Waterway is longer than the Hampshire and Hampden Canal.
"How often do trains run on the system which has a terminal station located at the intersection of 32nd Street and Sixth Avenue in the Herald Square neighborhood of Manhattan, New York City?",24 hours a day and 7 days a week,"Trains run on the system which has a terminal station located at the intersection of 32nd Street and Sixth Avenue in the Herald Square neighborhood of Manhattan, New York City 24 hours a day and 7 days a week."
"What Congressional district featured Republican nomiee Willie Vaden in 2004, 2006, and 2008?",Texas's 27th congressional district,"The Congressional district that featured Republican nominee Willie Vaden in 2004, 2006, and 2008 was Texas's 27th congressional district."
"What's the familiar short name of Polyethylene terephthalate, a material used by bottle makers such as Ecopack of Pakistan?",PET,"The familiar short name of Polyethylene terephthalate, a material used by bottle makers such as Ecopack of Pakistan, is PET."
"How is Christopher Buckley related to the founder of ""National Review"" magazine?",son,"Christopher Buckley is the son of the founder of ""National Review"" magazine."
In what type of imprisonment where the inmates Arne Berge helped rescue during operation White Buses?,concentration camp,Arne Berge helped rescue inmates from a concentration camp during operation White Buses.
"What city, located in Lincoln County, Montana, United States, is Vegepet based in?","Troy, Montana","Vegepet is based in Troy, Montana, a city located in Lincoln County, Montana, United States."
J. Searle Dawley and Ken Annakin were both directors of what?,"Kenneth Cooper ""Ken"" Annakin, OBE (10 August 1914 - 22 April 2009) was a prolific English film director.",J. Searle Dawley and Ken Annakin were both directors of films.
What term is the current chairman of Prince William County serving?,fourth term,The current chairman of Prince William County is serving his fourth term.
Are Hoodoo Gurus and Pierre Bouvier of the same nationality?,no,"No, Hoodoo Gurus and Pierre Bouvier are not of the same nationality."
"What band in the ""Art Wave"" scene is based in Glasgow?",Franz Ferdinand,"Franz Ferdinand, a band in the ""Art Wave"" scene, is based in Glasgow."
Pashto is the main language among a diaspora that has it's largest community in which country ?,Pakistan,The largest community of the Pashto diaspora is in Pakistan.
"Which is the Oil Capital of China, Chaoyang District, Shantou, or Daqing?",Daqing,Daqing is the Oil Capital of China.
Are both the Wire Fox Terrier and West Siberian Laika dog breeds?,yes,"Yes, both the Wire Fox Terrier and West Siberian Laika are dog breeds."
"The NG postcode area is situated approximately how many miles from Gamston, Rushcliffe?",approximately 3 mi,"The NG postcode area is situated approximately 3 miles from Gamston, Rushcliffe."
Which British racing driver has raced for 7 different teams and won the European Grand Prix in 1999?,Johnny Herbert,"Johnny Herbert, the British racing driver who has raced for 7 different teams, won the European Grand Prix in 1999."
Where did the punter for the Dallas Cowboys in the 1980s play college football?,Arizona State University,"The punter for the Dallas Cowboys in the 1980s, who played college football at Arizona State University, had an impressive career in both college and professional football."
The 1966 Football League Cup Final was contested with which team that is based in the West Midlands?,West Bromwich Albion Football Club,"The 1966 Football League Cup Final was contested with West Bromwich Albion Football Club, a team that is based in the West Midlands."
"Mike Huckabee took part in the most recent Republican Presidential primaries, which began on what 2016 date?",1-Feb,"Mike Huckabee took part in the most recent Republican Presidential primaries, which began on February 1, 2016."
What song was number 4 on the charts when a song from FutureSex/LoveSounds was number 1?,Rudebox,"The song ""Rudebox"" was number 4 on the charts when a song from FutureSex/LoveSounds was number 1."
Where do the team that John Grant joined after the 1972 World Cup now play their games ?,Halliwell Jones Stadium,The team that John Grant joined after the 1972 World Cup now play their games at the Halliwell Jones Stadium.
"After joining Saturday Night Live in 2012, Cecily Strong played which character in the sketch ""What Up with That""?",Piper,"After joining Saturday Night Live in 2012, Cecily Strong played the character Piper in the sketch ""What Up with That""."
Who was responsible for the Soviet-Albanian split?,Nikita Khrushchev,"Nikita Khrushchev was responsible for the Soviet-Albanian split, which refers to the deterioration of relations between the Soviet Union and Albania during his leadership."
"Which of the steering committee was an American broadcast journalist, best known as anchorman for the ""CBS Evening News"" for 19 years?",Walter Cronkite,"Walter Cronkite, who was an American broadcast journalist, best known as anchorman for the ""CBS Evening News"" for 19 years, was a member of the steering committee."
Who served as the 1st Vice President of Colombia under El Libertador?,Antonio Hilarión Zea Díaz,Antonio Hilarión Zea Díaz served as the 1st Vice President of Colombia under El Libertador.
"What is the surname of the recorder of ""Jupiter (Swallow the Moon)""",Kilcher,"The surname of the recorder of ""Jupiter (Swallow the Moon)"" is Kilcher, which is the last name of the artist responsible for recording the song."
What Labor member of the House of Representatives in the Australian Parliament was a member of the Australian Labor Party Australian Young Labor?,Tony Burke,"Tony Burke, a Labor member of the House of Representatives in the Australian Parliament, was a member of the Australian Labor Party Australian Young Labor."
Are Ash Lieb and Elswyth Thane both artists?,no,"No, Ash Lieb and Elswyth Thane are not both artists."
"What type of mansion was built for the founder of the company marketed the oil engine under the ""Hornsby-Akroyd"" name?",Gothic Revival,"The type of mansion that was built for the founder of the company marketed the oil engine under the ""Hornsby-Akroyd"" name was Gothic Revival."
My First Mister co-stars an actor who was best known for his role as what character on the TV series Roseanne?,Dan Conner,"Dan Conner was the character that the actor, who co-stars in My First Mister, was best known for playing on the TV series Roseanne."
How many households does the network that Di-Gata Defenders plays on in South Africa reach?,1.5 million households,The network that Di-Gata Defenders plays on in South Africa reaches 1.5 million households.
"Which was published founded most recently, InStyle or Godey's Lady's Book?",InStyle,InStyle was published more recently than Godey's Lady's Book.
Who is older Craig Nicholls or Norman Blake ?,Norman Blake,Norman Blake is older than Craig Nicholls.
Where was the rapper in 13 Dead Men from?,New Orleans,The rapper in 13 Dead Men was from New Orleans.
 Thomas Anthony Jankiewicz was best known for penning a film staring an actress who played Fiona Bowa on what NBC sitcom?,About a Boy,"Thomas Anthony Jankiewicz was best known for penning the film ""About a Boy,"" which starred an actress who played Fiona Bowa on the NBC sitcom."
"The Ronkonkama railroad station and the town of Islip, New York are near?",Long Island,"The Ronkonkama railroad station and the town of Islip, New York are near Long Island."
Deyemi Okanlawon was in a music viideo by a Nigerian rapper who began his career with what group?,The School Boys,Deyemi Okanlawon was in a music video by a Nigerian rapper who began his career with The School Boys.
"Erik Marcisak was named one of Top Ten ""Comedy Best Bets"" by a brand with special focus on what ?","casting, job opportunities, and career advice","Erik Marcisak was named one of the Top Ten ""Comedy Best Bets"" by a brand with special focus on casting, job opportunities, and career advice, recognizing his exceptional talent and potential in the comedy industry."
Gül Mosque and Hippodrome of Constantinople are both located where?,"Istanbul, Turkey","The Gül Mosque and Hippodrome of Constantinople are both located in Istanbul, Turkey."
Who is the Chief Executive Officer of the corporation that owns Space Dev?,Fatih Ozmen,Fatih Ozmen is the Chief Executive Officer of the corporation that owns Space Dev.
What other method of extending an ice hockey game exists other than the one used in the 1932 Allan Cup?,the shootout,"The other method of extending an ice hockey game, other than the one used in the 1932 Allan Cup, is the shootout."
What is one of the most successful retro-clones that is no longer supported by Wizards of the Coast?,Old School Reference and Index Compilation,"The Old School Reference and Index Compilation, which is no longer supported by Wizards of the Coast, is considered one of the most successful retro-clones."
"The player also known as  ""O Fenômeno"" is responsible for popularized a soccer move first reported to be used by what player?",Law Adam,"The player also known as ""O Fenômeno"" is responsible for popularizing a soccer move first reported to be used by Law Adam."
"Who was the writer of the graphic novel upon which the 2003 American superhero film, directed by Bryan Singer, is based?",Chris Claremont,"Chris Claremont was the writer of the graphic novel upon which the 2003 American superhero film, directed by Bryan Singer, is based."
"When was the American singer, songwriter, actress and LGBT rights activist born who won Grammy and Emmy award?",22-Jun-53,"The American singer, songwriter, actress, and LGBT rights activist who won Grammy and Emmy awards was born on 22-Jun-53."
Which team based in South Wales participated in a final game of 1980 Welsh Cup Final?,Newport County,"Newport County, a team based in South Wales, participated in the final game of the 1980 Welsh Cup Final."
What Nobel Laureate teaches at  Chapman University?,Vernon Smith,"Vernon Smith, the Nobel Laureate, teaches at Chapman University."
Chuck Berry House was where the 1957 hit single that reached what ranking on the R&B singles chart was composed?,number 8,The 1957 hit single that reached number 8 on the R&B singles chart was composed at Chuck Berry House.
Finna Get Loose is a song by Puff Daddy and what American rapper who is also a record and film producer?,Pharrell Lanscilo Williams,"Finna Get Loose is a song by Puff Daddy and Pharrell Lanscilo Williams, an American rapper who is also a record and film producer."
Which composer was born first out of Gaspare Spontini and Wolfgang Amadeus Mozart?,Gaspare Luigi Pacifico Spontini,"Gaspare Luigi Pacifico Spontini, the composer who was born first, was a renowned Italian opera composer of the late 18th and early 19th centuries."
Do Dillingham Airport and Rafael Hernández Airport both handle civilian (passenger) service?,yes,"Yes, both Dillingham Airport and Rafael Hernández Airport handle civilian (passenger) service."
"Which band has the guitarist Gorden Mack, Red House Painters or Daughtry?",Red House Painters,The band that has the guitarist Gorden Mack is Red House Painters.
Which film industry would have films in which Ilya Khrzhanovsky would be the director?,The cinema of Russia,The cinema of Russia would have films in which Ilya Khrzhanovsky would be the director.
"What public service broadcaster with over 20,950 employees, aired the variety show Welsh Rarebit?",British Broadcasting Corporation (BBC),"The British Broadcasting Corporation (BBC), a public service broadcaster with over 20,950 employees, aired the variety show Welsh Rarebit."
What year did Francesca Caccini's father die?,1618,Francesca Caccini's father died in 1618.
Are both Jonathan Marray and Wayne Black British?,no,"No, neither Jonathan Marray nor Wayne Black are British."
What is the name of the national level academy for performing arts that Bhupen Hazarika won his award in 2008? ,Sangeet Natak Akademi,"Bhupen Hazarika won his award in 2008 from Sangeet Natak Akademi, which is the national level academy for performing arts."
"Wild About Harry stars an actor born September 28, 1992 who appeared in what in 2006?",Kill Your Darlings,"The actor born September 28, 1992, who appeared in Kill Your Darlings in 2006, stars in Wild About Harry."
Which hip hop act that collaborated in the Red Hot AIDS Benefit Series was also a trio that was formed in New York?,De La Soul,"De La Soul, the hip hop act that collaborated in the Red Hot AIDS Benefit Series, was also a trio that was formed in New York."
Pro Evolution Soccer 2016 includes which Brazilian footballer on the cover?,Neymar,"Pro Evolution Soccer 2016 includes Neymar, the Brazilian footballer, on the cover."
What Canadian filmmaker created a film about Bettie Page in 2005?,"Mary Harron (born January 12, 1953)","Mary Harron, a Canadian filmmaker born on January 12, 1953, created a film about Bettie Page in 2005."
Petroglyphs on Ingaro isalnd indicate it has been innhabited since an era that lasted until what year?,500 BC,"The petroglyphs on Ingaro island indicate that it has been inhabited since 500 BC, lasting until a certain year."
The Genesis Flood is a book by John C. Whitcomb and what founder of the Creation Research Society and the Institute for Creation Research?,Henry Madison Morris,"The Genesis Flood is a book by John C. Whitcomb and Henry Madison Morris, who is the founder of the Creation Research Society and the Institute for Creation Research."
What is the name of the largest publicly owned company in Minnesota that is situated in Minnesota's most populous county?,United Healthcare,"The name of the largest publicly owned company in Minnesota, situated in Minnesota's most populous county, is United Healthcare."
"Which magazine was published first, Woman's Day or The Lady?",The Lady,The Lady magazine was published first.
"Flowers in the Attick starred which ""Mad Men"" actress?",Kiernan Brennan Shipka,"The ""Mad Men"" actress who starred in Flowers in the Attick is Kiernan Brennan Shipka."
What is another name for the butterfly of the Hesperiidae family that is found in the third largest country in Africa?,the buff-tipped skipper,"The buff-tipped skipper, also known as another name for the butterfly of the Hesperiidae family, can be found in the third largest country in Africa."
What kind of action does Mark's Pizzeria and Patxi's Chicago Pizza have in common?,founded,Mark's Pizzeria and Patxi's Chicago Pizza have in common that they were both founded by someone.
"Who gained recognition earlier, Tim Roth or Polly Draper","Timothy Simon ""Tim"" Roth","Timothy Simon ""Tim"" Roth gained recognition earlier."
Jean Hudson Boyd is known for her controversial sentencing of Ethan Couch. What was his sentence?,ten years of probation,"Ethan Couch's sentence, handed down by Jean Hudson Boyd, was ten years of probation, which sparked significant controversy and public debate."
Follow the Yellow Brick Road Tour is taking place to commemorate the album that was recorded where?,Château d'Hérouville,The Follow the Yellow Brick Road Tour is taking place to commemorate the album that was recorded at Château d'Hérouville.
California joined the Union due to the passage of a package of how many separate bills?,five,"California joined the Union due to the passage of a package of five separate bills, which addressed various aspects of the state's admission into the United States."
"The band who released the debut album ""Tinted Windows"" had their first performance in what city?",Tulsa,"The band who released the debut album ""Tinted Windows"" had their first performance in Tulsa."
"What is the nationality of the actor who was a leading man of Michèle Mercier and born on November 3, 1921?",American,"The actor who was a leading man of Michèle Mercier and born on November 3, 1921 is American."
"Which breed of dog came first, the Norrbottenspets or the Blue Lacy?",Norrbottenspets,The Norrbottenspets breed of dog came first.
"Who was the director of the film featuring the character ""Supah Ninjas""?",Don Hall,"Don Hall was the director of the film featuring the character ""Supah Ninjas""."
"What concert tour headlined by Coal Chamber in 1999 was named after the popular hit song by the Puerto Rican singer Ricky Martin, spanish for ""the crazy life""?",Livin' la Vida Loca,"The concert tour headlined by Coal Chamber in 1999, named Livin' la Vida Loca, was named after the popular hit song by the Puerto Rican singer Ricky Martin, which translates to ""the crazy life"" in Spanish."
Hey Ya is a song performed on The Ed Sullivan Show on CBS by which hip hop artist in 2003?,is a song written and produced by André 3000,"Hey Ya is a song written and produced by André 3000, which was performed on The Ed Sullivan Show on CBS by the hip hop artist in 2003."
What items are used to play both Lapta and Rounders?,bat and ball,The items used to play both Lapta and Rounders are a bat and ball.
Of Mehran University of Engineering and Technology or University of Debrecen which is in Pakistan?,Mehran University of Engineering and Technology,Mehran University of Engineering and Technology is the university in Pakistan.
"Who wrote shorter stories, Raymond Carver or Lydia Davis?",Lydia Davis,Lydia Davis wrote shorter stories compared to Raymond Carver.
"Who produced the 2015 film starring Jesse Eisenberg, Gabriel Byrne, Isabelle Huppert, David Strathairn, and Amy Ryan?",Thomas Robsahm,"Thomas Robsahm produced the 2015 film starring Jesse Eisenberg, Gabriel Byrne, Isabelle Huppert, David Strathairn, and Amy Ryan."
"Which sports station was the host of The Late Show, prior to Damien Fahey, an anchor for?",ESPN,"The sports station that was the host of The Late Show, prior to Damien Fahey, an anchor for, was ESPN."
"How is the Dutch footballer, Ryan Babel, connected to the song, Wij Zijn Ajax?","The song also features rap parts from Darryl, RB Djan and Ryan Babel.","The song, Wij Zijn Ajax, not only features rap parts from Darryl and RB Djan, but it also includes contributions from the Dutch footballer, Ryan Babel."
"Who was the author of the book ""The Coming Global Superstorm"" and was also the host of the radio program ""Coast to Coast AM?"" ",Art Bell,"Art Bell, the author of the book ""The Coming Global Superstorm"" and the host of the radio program ""Coast to Coast AM,"" was a renowned figure in the field of paranormal and conspiracy theories."
Which song that John Kirby scored  is often the final piece of music played during an evening of revelry?,"""Loch Lomond""","""Loch Lomond,"" the song that John Kirby scored, is often the final piece of music played during an evening of revelry, creating a nostalgic and heartfelt atmosphere that leaves everyone with a sense of unity and joy."
What date in 2010 was a South Korean film starring  Kim Hyang-gi released?,14-Jan-10,The South Korean film starring Kim Hyang-gi was released on 14th January 2010.
What role in the military did the discoverer of the elliptical galaxy NGC 3610 have before reaching Britain ?,"Military Band of Hanover,","Before reaching Britain, the discoverer of the elliptical galaxy NGC 3610 had a role in the Military Band of Hanover."
Spill.com gave their final review for a movie directed by who?,John Lee Hancock,"Spill.com gave their final review for a movie directed by John Lee Hancock, praising his exceptional storytelling and masterful direction."
"What golf course, located in Fulton County, Georgia, saw Keegan Bradley win a championship?",Highlands Course,"The Highlands Course, located in Fulton County, Georgia, is the golf course where Keegan Bradley won a championship."
Who died last Vladimir Arnold or Georg Cantor?,Vladimir Igorevich Arnold,Vladimir Igorevich Arnold died last.
When was the singer of Miss Emily's Picture born?,11-Aug-46,The singer of Miss Emily's Picture was born on 11-Aug-46.
"""I Wed Three Wives"" is an episode of a television series that ran on what network?",ABC,"""I Wed Three Wives"" is an episode of a television series that ran on ABC."
What Japanese fashion label was founded by the creator of Dover Street Market?,Comme des Garçons,"Comme des Garçons, the Japanese fashion label founded by the creator of Dover Street Market, has become renowned for its avant-garde designs and innovative approach to fashion."
"Trilochanapala, last king of the Kabul Shahi dynasty, ruled in the site of which modern country?",Afghanistan,"Trilochanapala, the last king of the Kabul Shahi dynasty, ruled in the site of Afghanistan, a country located in Central Asia."
Sachem Central School District encompasses the CDPs that include the hamlet in which New York county?,Suffolk,"The Sachem Central School District encompasses the CDPs that include the hamlet in Suffolk County, New York."
What film did Tom Wu appear in that also starred Jason Statham and Ray Liotta? ,Revolver,"Tom Wu appeared in the film ""Revolver"" that also starred Jason Statham and Ray Liotta."
The Gap band was from what neighbor hood that was known as the black wall street?,"Greenwood neighborhood in their hometown of Tulsa, Oklahoma","The Gap band was from the Greenwood neighborhood in their hometown of Tulsa, Oklahoma, which was known as the black wall street."
"How many total staff (including part-time, flexible, and fixed contract staff) does the broadcaster, who released HyperNormalisation, employ?","35,402","The broadcaster, who released HyperNormalisation, employs a total of 35,402 staff, including part-time, flexible, and fixed contract staff."
James Conlon directed the oldest outdoor Music Festival that is located and what state?,Illinois,The oldest outdoor Music Festival that James Conlon directed is located in Illinois.
"Who has a wider scope of profession, Hrag Vartanian or Hovsep Pushman?",Hrag Vartanian,Hrag Vartanian has a wider scope of profession compared to Hovsep Pushman.
What is the english translation of the name of style of novel of which The Company is an example?,novel with a key,"The English translation of the name of the style of novel of which The Company is an example is a novel with a key, which refers to a narrative structure where a hidden or symbolic key is used to unlock the meaning of the story."
The Collection at RiverPark is anchored by Target and an American supermarket chain that features foods without what type of fat?,hydrogenated,The Collection at RiverPark is anchored by Target and an American supermarket chain that features foods without hydrogenated fat.
How big is the campus of the University that Ben Bahan is a professor at ?,99 acre campus,The campus of the University that Ben Bahan is a professor at is a 99 acre campus.
"What is the pen name of author Carolyn Janice Cherry, who wrote the Fortress Series?","Carolyn Janice Cherry (born September 1, 1942), better known by the pen name C. J. Cherryh,",is an American writer who wrote the Fortress Series.
"Father Jean-Pierre Aulneau de le Touche was killed before he could go on an expedition to Mandan, which is located in which state? ",North Dakota,"Father Jean-Pierre Aulneau de le Touche was killed before he could go on an expedition to Mandan, which is located in North Dakota."
Australian National Airways was founded by the person who made the first what in 1928?,trans-Pacific flight,Australian National Airways was founded by the person who made the first trans-Pacific flight in 1928.
"What phone series serves as the successor to phones officially unveiled at the ""Samsung Unpacked 2015"" event?",The S7 series,"The S7 series serves as the successor to phones officially unveiled at the ""Samsung Unpacked 2015"" event."
Are Yoo-hoo and Faygo both carbonated drinks?,no,"No, Yoo-hoo and Faygo are not both carbonated drinks."
"Who stared as the ""father of the atomic bomb"" in a 1980 television miniseries?",Sam Waterston,"Sam Waterston starred as the ""father of the atomic bomb"" in a 1980 television miniseries."
Graham Linehan was the creator of the Ash Atalla-produced sitcom for what UK channel?,Channel 4,Graham Linehan was the creator of the Ash Atalla-produced sitcom for Channel 4.
"Thomas Maclellan of Bombie was Provost of what town, as well as constructing MacLellan's Castle in the center of that town?","Kirkcudbright, southwest Scotland","Thomas Maclellan of Bombie was Provost of Kirkcudbright, southwest Scotland, as well as constructing MacLellan's Castle in the center of that town."
What profession does Leonty Magnitsky and Leonid Khachiyan have in common?,mathematician,Leonty Magnitsky and Leonid Khachiyan have in common the profession of mathematician.
"What country does Salmonby and Somersby, Lincolnshire have in common?",England,"Salmonby and Somersby, Lincolnshire have England in common."
What was need in order to diverge from the chinese ritual uniting spouses by pre-arrangement between families?,constant support from propaganda campaigns,"In order to diverge from the Chinese ritual uniting spouses by pre-arrangement between families, constant support from propaganda campaigns was needed."
" ""Hold On"" is a song that features the vocals of a British singer whose debut album won what prize in 2017?",Mercury Prize,"The song ""Hold On"" features the vocals of a British singer whose debut album won the Mercury Prize in 2017."
"Kacha, Sevastopol is a settlement that is part of a sovereign state bordered on the northwest by which country?",Belarus,"Kacha, Sevastopol is a settlement that is part of a sovereign state bordered on the northwest by Belarus."
Author David Chanoff has collaborated with a U.S. Navy admiral who served as the ambassador to the United Kingdom under which President?,Bill Clinton,David Chanoff has collaborated with a U.S. Navy admiral who served as the ambassador to the United Kingdom under President Bill Clinton.
"1995's ""Highest paid model"" according to Forbes played a what in the film ""Fair Game""?",family law attorney,"The 1995's ""Highest paid model"" according to Forbes played a family law attorney in the film ""Fair Game""."
Heath Ledger Australian actor was in the movie Brokeback Mountain directed by who?,Ang Lee,"Heath Ledger, the Australian actor, starred in the movie Brokeback Mountain, which was directed by Ang Lee."
