Questions,Answers
"Thomas Maclellan of Bombie was Provost of what town, as well as constructing MacLellan's Castle in the center of that town?","Kirkcudbright, southwest Scotland"
What profession does Leonty Magnitsky and Leonid Khachiyan have in common?,mathematician
"What country does Salmonby and Somersby, Lincolnshire have in common?",England
What was need in order to diverge from the chinese ritual uniting spouses by pre-arrangement between families?,constant support from propaganda campaigns
" ""Hold On"" is a song that features the vocals of a British singer whose debut album won what prize in 2017?",Mercury Prize
"Kacha, Sevastopol is a settlement that is part of a sovereign state bordered on the northwest by which country?",Belarus
Author David Chanoff has collaborated with a U.S. Navy admiral who served as the ambassador to the United Kingdom under which President?,Bill Clinton
"1995's ""Highest paid model"" according to Forbes played a what in the film ""Fair Game""?",family law attorney
Heath Ledger Australian actor was in the movie Brokeback Mountain directed by who?,Ang Lee
"Which composer was born later, Gaetano Donizetti or William Walton?",William Turner Walton
What wrestling team is Mathew Thomas Rehwoldt a part of?,The Vaudevillains
"Which of these is a genus of flowering plants, Anemopaegma or Semele?",Anemopaegma
"Which is located in Cornwall, Southwell Minster or Truro Cathedral?","The Cathedral of the Blessed Virgin Mary, Truro"
"Which director was from a country closer to Canada, J. Searle Dawley or Lionel Ngakane?",James Searle Dawley
Who was born first Iain Pears or Richard Llewellyn ?,Richard Dafydd Vivian Llewellyn
"What time did the show, in which Gordon Burns was the host, usually air on Monday?",7pm
What is the name the Columbian film loosely based on a story about a dying child's dreams and hope first published in 1845 by Hans Christian Andersen?,The Little Match Girl
What kind of film was the film who featured Auli'i Cravalho?,3D computer-animated musical fantasy-adventure film
Who starred in Smurfs: The Lost Village and was also in The Office?,Ellie Kemper
Daburiyya is 8km east of a city where where percentage of its citizens are Christian?,30.90%
"Who lived longer, Tony Richardson or Giorgio Ferroni?",Giorgio Ferroni
The uncle of Paul Capellani died at a military operation during a battle was fought between who?,the Allies and Nazi Germany
Armand Castelmary played Horatio in the 1868 version of the opera set to a play by whom?,William Shakespeare
The first person to reach both poles named a glacier after which person? ,the daughter of Fridtjof Nansen.
Have Jelena Janković and Marat Safin both played tennis professionally?,yes
What is the birth name of Nadeem Siddique's favorite boxer?,Walker Smith Jr.
What movie genre did Emmanuelle Vaugier play a supporting role in?,satirical erotic romantic comedy
In which war was the Meuse-Argonne Offensive executed?,World War I.
"Which of Aaron Goodwin client was born in May 31, 1984?",Nate Robinson
In which part of New York was the singer who released the song No Problem raised ?,Harlem
"Which TV series directed and written by the same person as ""Buffy the Vampire Slayer"" starred Tahmoh Penikett?",Dollhouse
"What was the significance of the lions, about whom a fictionalized account provided the basis of the film, The Ghost and the Darkness?",their unusual behavior
What exit of Garden State Parkway should you take in order to get to the Seacourt Pavilion?,Exit 82
Are both Jack and Coke and Clover Club Cocktail cocktails?,yes
Are either Edward H. Griffith or Edward Burns from Germany?,no
What is Peter Daou's website's slogan?,"""media for the 65.8 million,"""
The 43d Air Mobility Operations Group is stationed at which largest military installation?,Fort Bragg
" During what years did the railroad that had a station stop in Ringling, Montana operate?",from 1847 until 1980
"William Sidney Sid Hatfield was the Police Chief of Matewan, West Virginia during a shootout between local coal miners and the Baldwin-Felts Detective Agency that is referred to as what?",Battle of Matewan
"Which American musician, principally known for his work as guitarist, vocalist and songwriter released the Voice Of Reason album?",Robert Arthur Mould
"What is the nationality of this actor, film producer and musician who has lived most of his life in Australia and appeared in Romper Stomper alongside Daniel Pollock, Jacqueline McKenzie and Tony Lee?",New Zealand citizen
which persons private jet called Trump Force One which is built by Boeing Commercial Airplanes and is the manufacturer's largest single aisle passenger aircraft that is produced from 1981 to 2004?,Donald J. Trump's private jet
What group did the 253 West 125th Street-contest winner Spyder Turner sing back up for?,The Stereophonics and The Fabulous Counts
"What is the character's name for which Anna Leonidovna Kovalchuk won a prize in the legal festival ""Law and Society""?",Chief Detective Maria Shvetsova
What is the estimated population of the city in which the suburb of Beaumont is located ?,"44,300"
The 2003 South Australian National Football League Grand Final saw the Central District Bulldogs defeat a football club whose home base is currently known as what?,City Mazda Stadium
What was the nationality of the composer of Chaconne in F minor?,German
In what year was the college that Cal Hovde served as dean for founded?,1754
Which constituent college of the University of Oxford in England was Francis Leighton warden of?,"All Souls College, Oxford"
What is  Cyaxares relationship to the man that governed for 53 years?,r grandfather <a hr
 Are Finding Kraftland and Shikashika both frozen drinks?,Shikashika is a shaved ice drink
Are Toshi and Warrel Dane both in the band Sanctuary?,no
Which of the cities of Dujiangyan City and Ezhou has the larger population according to their latest census ?,Ezhou
"Who was the  ""King of Denmark, the Vends and the Goths, elected King of Norway's"" brother?",king John of Denmark
What contest did Drew Barry's younger brother win in 1996?,the 1996 NBA Slam Dunk Contest
where is a  football club which Aly Mohamed play for from ,United Arab Emirates
Raiffeisen Zentralbank is the central institution of one a group of co-operative banks in Austria. What is the name of the other group?,Austrian Volksbanks
"In which year did this Russian actress  who produced and performed in the 1922 American silent drama film ""A Doll's House"" immigrate to the United States?",1905
" the movie ""A Cure for Wellness"" was a science fiction?",is a 2016 science fiction psychological horror
What position did the 2004 World Series of Poker gold bracelet holder have in the 2011 Epic Poker League?,Commissioner
"Which band has more members, Chvrches or Goodbye Mr. Mackenzie?",Goodbye Mr Mackenzie
"What major landform lended its name to both the Blue Ridge Music Center, and American's longest linear park?",469 mi
What two occupations did Scott Weiland and Richard Hawley have in common?,singer and songwriter
Who is older Charles R. Black Jr. or Paul Manafort?,Charles R. Black Jr.
What university did the winner of the 2014 CFL's Most Outstanding Defensive Player Award attend?,University of Hawaii at Manoa
Sony/Philips Digital Interface Format can transmit over what Toshiba optical fiber connector system?,"TOSLINK (from ""Toshiba Link"") is a standardized optical fiber connector system."
Sadok Sassi played for a national team that made its first World Cup in what year?,1978
Who was born first Garo Yepremian or Michael Casey ?,"""Garo"" Yepremian"
Grigori 3's music is commonly compared to an American rock band founded in what year?,1995
"Kung Fu Magoo is a Mexican-American animated action comedy film with an English voice cast star best known for her roll as what in ""Naruto""? ",Naruto Uzumaki
Nikhil Nanda is the son of the insurance advisor in what business?,life insurance
What year did a Russian soprano opera singer born in October 1926 leave Russia with her cellist husband and daughter?,1974
"A play that was first performed on February 16th, 1728, at the Theatre Royal, was written by an English novelist who was also the author of what novel?",Tom Jones
Alhambra and Tsuro are both examples of what type of game?,tile-based board game
"What NFL Team, undefeated in 1972, had on their staff the coach of the 2004 Florida Atlantic Owls football team?",Miami Dolphins
What year did Fifty Shades of Grey release?,2011
"Which band had more members, Semisonic or Cake?",Cake
Who is writing a book about the Koch family who control the second-largest privately owned company in the United States?,Jane Mayer
"The debut album came out in 1988 but what year did the song ""She's My Baby"" come out in?",1990
"El Chavo is a video game published by Slang Publishing, that was based on what Mexican animated series that was based on another TV series created by Roberto Gomez Bolanos?",El Chavo Animado
Who was soldier Archie A. Peck's commanding officer during the Meuse-Argonne Offensive?,Major Charles White Whittlesey
"Who has won more literary awards, Annie Dillard or Gabriel García Márquez?",Gabriel José de la Concordia García Márquez
Were The Living Desert and What Would Jesus Buy? directed by the same person?,no
"Does Jimmy Barnes have more hits, both solo and in a group, than Yang Seung-ho has with his group?",yes
Which publisher produced the comic books featuring both Spider-Man and the Daredevils?,Marvel
What university did Bill Daly graduate that Gary Bettman also graduated from?,New York University School of Law
Ellesmere Port Town Football Club are currently members of what English football league whose current principal sponsor is Carlsberg?,West Cheshire Association Football League
What is the middle name of the former Stanford Cardinals player who caught 57 passes for 1010 yards and 14 TDs?,David
Who was the secretary to the Winter Queen?,Sir Francis Nethersole
Triangle Brewing Company was started by a founder who had experience as what non-commercial alcohol producer?,homebrewer
What is the legal name of Johnny Campbell's hometown?,Londonderry
Tom Thumb Food & Pharmacy is part of the southern division of a grocery company based in what city?,Boise
Where is stadium that was named after Rodney Cline Carew?,Panama City
Why is Bangor Daily News talkin about Sawin Millett?,Commissioner by the Maine Senate
"In what movie did a Kenyan-Mexican actress, who graduated from Hampshire College, star in in 2015?",Star Wars: The Force Awakens
"What actor, who passed away in 1942 was also the producer of the stage version of the 1940 spy film which stars Boris Karloff and Margaret Lindsay?",George M. Cohan
"Are both, Boise State University and Syracuse University, public colleges?",no
Which actress played a character that dated Mark Brendanawicz?,Rashida Jones
What was the specialization of an American naval officer who led the aircraft of the United States Antarctic Service to photograph Cox Point?,feats of exploration
In what language was the 2007 Indian romantic drama staring Kareena Kapoor and Shahid Kapoor produced in? ,Partly Punjabi
"The Mutlu Onaral album ""Livin' It"" was produced by the bassist for what duo?",Hall & Oates
Tommy Swerdlow co-wrote the screenplay of what film directed by Jon Turteltaub?,Cool Runnings
"Who would you be more worried about playing a chess game against, Marcel Duchamp or Jiang Wen",Duchamp
"Which state was the The Laboratory's 60,000 square-foot, shore-based campus located?","Maine, United States"
What is the name the French give to the war during which the Prussians occupied the Pavillon du Butard?,War of 1870
What year was the voice actress of an animated television series premiered on Cartoon Network born?,1967
In what year was the 1965 World Series MVP elected to the Baseball Hall of Fame?,1972
How many times has the driver who placed third in the 2003 Italian Grand Prix won at the Grand Prix?,11
Who directed the 2007 film which  Sasson Gabai won an Ophir Award for?,Eran Kolirin
The Florida Atlantic Owls team represents a school classified by the Carnegie Foundation as what?,a research university
Who starred as a divorced mother in an American sitcom produced by Danny Bonaduce's father?,Bonnie Franklin
Alex Yemenidjian is the CEO of the company that owns what Las Vegas Strip hotel?,Tropicana Las Vegas
"How long did The Shire of Flinders, which encompassed the extremity of the Mornington Peninsula located south-east of Melbourne, Australia, exist?",1874 until 1994
How old was Virginia Bruce when she starred in Let Freedom Ring?,29
"Who was Germany's large-scale, low strength fortification unit, disbanded in 1919, named after? ",Menges
When was Leeds no longer called Elmet?,early 7th century
Ip Man 3 is the second sequal to the biographical martial arts films first released in what year?,2008
The winning jockey of the 1997 Cheltenham Gold Cup held a record for winner of what award 20 consecutive times?,Champion Jockey
Are Dorothy Parker and Maxine Kumin the same nationality?,yes
Oxley Highway ends at a coastal town that had how many inhabitants in June 2016 ?,"45,698"
What horror movie set in 1972 Vietnam was filmed in part in Bokor Hill Station?,R-Point
"What character did Selina Giles play in the 2005 dystopian political thriller named ""V for Vendetta""?",Evey's mother
What is the electric racing series British race car driver Alex Lynn drives for and is owned by Virgin Group?,DS Virgin Racing Formula E Team
How many rooms are in the hotel that is home to the Cirque du Soleil show Mystere?,"2,664"
"Por Baazar contains a cameo by an Indian film director, screenwriter, producer, actor, playback singer, and television host, who was born to Javed Akhtar and who?",Honey Irani
"""It Girl"" is musically classified in the middle of what terminology describing the speed or pace of a given piece?",tempo
"Before the 2004-2005 Minnesota Timberwovles season, what had Sam Cassell had been honored with what titles?",All-NBA Team
What university employed the psychologist that inspired David McClelland's thinking on power??,Harvard University
Which U.S. State contains tropical wetlands and Diamondback Airboats?,Florida
What group of people are described as semi-nomadic and speak the Semitic language ? ,Semitic people
What muffler repair shop owner inspired Andrey Zvyagintsev's film Leviathan?,Marvin John Heemeyer
 What annual event occurs on a property co-founded by an American who was the best-selling recording artist of the 20th century?,San Diego County Fair
What is the name of the Minahasa journalist and novelist who was active in the colonies incorporated into the Dutch government in 1800?,Frederick D. J. Pangemanann
"Which city has a higher population, Shanghai or Hengyang?",Shanghai
"Rosi Golan's songs were featured in commercials for a brand of Artsana, that's been working for over 50 years, and is present in how many countries?",more than 120 countries
"What American actress starred in the 1996 television film ""Bastard Out of Carolina"" directed by Anjelica Huston?",Jena Malone
"Who is older, Lucy Gichuhi or Bob Day?",Bob Day
"Parafield, South Australia is very near the airport and what campus of the University of South Australia?",Mawson Lakes
"Undiscovered Country is a reference to the concept of the afterlife as the ""undiscovered country"" from which opening phrase of a soliloquy spoken by Prince Hamlet in the so-called ""nunnery scene"" of William Shakespeare's play ""Hamlet""?",To be
The winner of the FIA World Endurance Championship in 2013 drove the Toyota TF101 with who?,Mika Salo
What position did the current Leader of Fine Gael hold from 2016 until 2017?,Minister for Social Protection
Which Victorian poet was born in a 15th-century castle home to the Earl of Southesk?,Charlotte Carnegie
What unit of the Air National Guard is located at a base that was home to the 509th Bomb Wing flying the General Dynamics FB-111A?,133d Air Refueling Squadron
What retailer did Albert Heijn start up that eventually merged with the Delhaize Group?,Koninklijke Ahold N.V.
"The Light Princess was inspired by ""what"" literary tale published by Charles Perrault in 1697?",Sleeping Beauty
"A small regional passenger airline from Killeen, Texas moved its operations from a city owned public airport 6 miles northwest of Downtown Dallas to what airport?",Dallas/Fort Worth International Airport
"The head of the Foreign Relations Department of the Rastriya Janashakti Party holds a degree that can be abbreviated MS, M.S., or ScM, in what field?",Engineering
"Flower Alley was bred by the trainer who was killed at what Fayette County, Kentucky airport?",Blue Grass Airport
"Domestic Disturbance stars an actor who voiced what character in ""Monsters, Inc.""?",Randall Boggs
This Australian racing driver currently drives the No. 22 Holden VF Commodore produced by Holden Commodore which manufactures what other models?,sedan and station wagon
"Who was born first, Vladimir Nabokov or Harper Lee?",Vladimir Vladimirovich Nabokov
Little Brown Stein is a rivalry trophy that imitates a mug made out of what item?,stoneware
"Who was born first, Lawrence Ferlinghetti or Luigi Pirandello?",Luigi Pirandello
Which Record Company reissued an Avenged Sevenfold Album that only sold 300 copies?,Hopeless Records
When was the company that produced rectangular crackers that have 18 holes in a 3x6 pattern founded?,1853
What US city between New York and Quebec Canada was the most effected during the Taconic orogeny?,New England
"Between the two operas, Mosè in Egitto and Lucrezia Borgia, which one has more acts?",Mosè in Egitto
What movies has Juno Temple starred in?,"She has appeared in films such as "" Black Mass"", ""The Other Boleyn Girl"", ""Wild Child"", ""Atonement"", ""Maleficent"", ""The Three Musketeers"" and ""The Dark Knight Rises""."
Which as more species Cassiope or Deutzia?,Deutzia
"Which of the actress starred in  Zombie Night appeared in the 1998 erotic thriller ""Wild Things""?",Jennifer Taylor
"David Wayne Hull (born 1962 or 1963) is a leader of which group that originated in Mississippi in the early 1960s under the leadership of Samuel Bowers, its first Grand Wizard?",White Knights
How many Grammy awards were won by an album named after the Joni Mitchell song from Love Actually?,two Grammy awards
When was the group formed whose Japanese debut EP/ video album is called Nobody for Everybody ?,2006
When was the son of Kingsley Amis born ?,1949
Lean on Pete stars the actor best known for playing what role in Granite Flats?,Timmy Sanders
What star of a Matthew Senreich and Zeb Wells comedy was born in July of 1983?,Heidi Lynn Gardner
What other jobs did the actress Olivia Munn from Mortdecai have?,model
Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport
Both Alexander Hall and Pierre Morel are involved in which profession?,film director
What type of movies are 101 Dalmatians and G-Force?,American family comedy adventure
Who was the winner of the season of The Rap Game where a contestant named Lady Leshurr as one of her influences?,Mani
"What Box Codax group musician was also the guitarist, backing/lead vocalist and keyboardist of another Glasgow-based band?","Nicholas John ""Nick"" McCarthy"
"Professional cyclist Sara Symington competed in which Olympic Games held in Sydeney, Australia?",2000 Summer Olympic Games
"Which super bowl that took place at the Miami Dolphins home stadium, featured the San Francisco 49ers defeating the San Diego Chargers?",Super Bowl XXIX
What cover for the main game of NBA 2K16 earned a gold medal playing with Team USA at the 2012 Summer Olympics?,Anthony Davis
What 4 divisions make up the company of the wealthiest person in Georgia?,"newspapers, television, radio, cable television"
Where did the opera in which Iva Pacetti starred as Elena first premier?,"La Scala, Milan"
What was the nationality and profession of the person responsible for the concept of a dimensionless number in physics and engineering?,French mathematician and physicist
Between Pinanga and Alopecurus which genus is more common in temperate regions?,Alopecurus
"Which author was a dentist, Zane Grey or Bhabananda Deka?",Pearl Zane Grey
"Jaroslav Kvapil the Czech poet was born in the Kingdom of Bohemia, also referred to by what name?",Czech Kingdom
Were Cinderella and The Emperor's New Groove released by the same picture company?,no
"The rapper whose debut album was titled ""Thug Misses"" has sold over how many records worldwide?",2 million
José Baviera starred in the 1962 film by the filmmaker who worked in what countries?,"Spain, Mexico and France"
Extract starred what American actress who is known for her work on Saturday Night Live from 2005-2012?,Kristen Carroll Wiig
What member from The Clinch Mountain Boys plays at the Huck Finn Jubilee Bluegrass Music Festival?,Ralph Edmund Stanley
"Which American actor portray Steve Urkel in ""Family Matters""",Jaleel Ahmad White
The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed what?,middle order batsman
"What other occupation did the ""Law West of the Pecos"" have?",saloon-keeper
For what ogranization does a commentator of Press TV serve as associate director?,Henry Jackson Society
How many episodes were made for the science fiction series with Gus Birney?,ten
In between  Polytechnic University of the Philippines and California Polytechnic State University which was founded as a vocational high school?,California Polytechnic State University
"Which composer, who was a crucial figure in the transition between the Classical and Romantic eras in Western art music, wrote Piano Sonata No. 16 ?",Ludwig van Beethoven
Where did the military engagements that Captain Lewis Cunningham Broadus served during take place?,Mexico-United States border region
When was the advisor of Alpher-Bethe-Gamow paper died?,19-Aug-68
Vincas Kudirka is the author of both the music and lyrics of a national anthem which has how many words?,fifty-word
What is the name of this Austrian association football club from Vienna for which Raphael Holzhauser was a player?,Austria Wien
Ganjam district is located in an indian state located in which part of India ?,eastern India
What is the start date of this tour that was the third concert tour by an American singer-songwriter and was completed in support of the album Red?,13-Mar-13
What is one element of House dance where the dancer ripples his or her torso back and forth?,the jack
"Which 2009 animated film is from Japan, Summer Wars or The Secret of Kells?",Summer Wars
"What is the name of the 1988 film starring Gene Bervoets that was based on the Dutch to English translated novel, ""The Vanishing""?",The Vanishing
When was the first stud book created for the breed of horse that came from Rotrou introducing Arabian horses to Perche?,1883
"In what year was the drummer from the album ""Angel of Retribution"" born?",1961
William Bromley-Davenport held political office under the Prime Minister who was of which party?,Conservative
Agnes Body was the founding head of a state secondary school located on what road?,Wragby Road
Who played the role of Nettie Harris in the 1985 film directed by Steven Spielberg?,Akosua Gyamama Busia
"The actress that plays Charity in the drama series ""Greenleaf"" is a member of a musical family from what city and state?","Detroit, Michigan"
On which television network did Joe Penny play an investigator named Jake Styles?,CBS
How many times did the man who coached the 1986-87 UNLV Runnin' Rebels fail to win 20 games in a season?,twice
 Curious is a women's fragrance by a singer born in what city and state?,"McComb, Mississippi"
Were both Eugene Dynkin and Vladimir Voevodsky mathematicians from Russia?,yes
What mall was known as a twin of the mall located on I-45 on the Southeast side of Houston?,Northwest Mall
In what year did Australian-born comedian Peter Helliar write I Love you Too?,2010
"Which client of Lindka Cierach played Queen Elizabeth II in ""The Queen""?",Helen Mirren
Which ocean would the ingredients likely come from for the She-crab soup?,Atlantic Ocean
"Which writer of French descent actually lived in France, Maurice Level or John Dufresne?",Maurice Level
When did the first bank come into existence that is part of an organization that serves rural areas of India with basic banking and financial services?,on 20 July 2009
Chien-Shiung Wu's expertise in experimental physics evoked comparisons to a scientist who passed away in which year ?,1934
The 2005 film Remedy featured Frank Vincent from The Sopranos and several mob movies by which acclaimed director?,Martin Scorsese
What title did the actor who worked with Sivaji Ganesan in a 1970 drama film other than actor?,politician
"Gaia is a space observatory of the European Space Agency, what is Astrosat?",India's first dedicated multi-wavelength space observatory.
"After coaching the red raiders to several winning seasons, where does Mike Leach currently coach at?",Washington State
"Which genus has more species, Mahonia or Diplazium?",Diplazium
What is the title of the person who is Head of the Department of Biological Sciences at the University of Lincoln,Doctor
"What type of elevation does Aldgate railway station, Adelaide and Aldgate, South Australia have in common?",Hills
"Brandy was handpicked by a producer that herself had been recognized by the ""Guinness World Records"" for what?",most awarded female act of all-time
What profession did Willi Forst and Elmer Clifton share?,actor
"Which film is older, Monsters, Inc. or Earth?","Monsters, Inc."
 Chun Woo-hee's notable films include a South Korean horror film about  a policeman who investigates a series of mysterious killings and what?,illnesses
What city is home to the private research university Jung Seul-ki swam for?,"Seoul, South Korea"
"Who directed the film that had ""The Distance"" in the soundtrack?",Peter Chelsom
Jeff Perry the current star of the ABC political drama Scandal is in an upcoming thriller direct by who?,Craig William Macneill
Does Frank Pepe Pizzeria Napoletana or Donatos Pizza have more locations?,Donatos
"What event in 1920 was established by the director of the play ""The Miracle?""",Salzburg Festival
"""Let's Get Ready to Rhumble"" is a 1994 song by a music duo from where?","Newcastle upon Tyne, England"
"Don Swayze was one of five children.  His older brother was trained in dance by their mother, Patsy Swayze, leading to his role in ""Dirty Dancing"".  Who is his older brother?",Patrick Swayze
Who is Colin Kaepernick and what is his preferred nickname?,an American football quarterback
Timothy J. Sloan was the CEO of Wells Fargo who succeeded the CEO who took the job in what month?,7-Jun
"The actor that plays Phileas Fogg in ""Around the World in 80 Days"", co-starred with Gary Cooper in a 1939 Goldwyn Productions film based on a novel by what author?",Charles L. Clifford
In what town is the university which the Bryant Bulldogs represent?,"Smithfield, Rhode Island"
"Michelle Lewis has written songs for which ""Lizzie McGuire"" actress? ",Hilary Duff
From what nation is the football player who was named Man of the Match at the 2001 Intercontinental Cup?,Ghana
"Who is a guitarist, Saffron or Myles Kennedy?",Myles Kennedy
These three apps that have similar functionality to Google for Education are compatible with what Microsoft file format?,Microsoft Office
What is the name of the field marshal and strategist who was the mastermind behind the Schlieffen Plan?,Alfred Graf von Schlieffen
"A British sports, health and leisure business hosted the World Games on what dates?",July 25 to August 4
The Black Star identified closely with this American magazine magnate who was called what?,"the most influential private citizen in the America of his day"""
Which war was HMS Clonmel in where over nine million combatants died?,World War I
"Shinola LLC, an American luxury lifestyle band is owned and operated by Bedrock Brands a texas investment group launched by this man one of the founders of  Fossil Group",Tom Kartsotis
What is the current occupation of the footballer replaced by Zdenek Zeman at the beginning of the 2012-13 A. S. Roma season?  ,manager
"Nelson Chai is the former president of what financial holding company that was founded in 1908, and is headquartered in New York City?",CIT Group Inc.
What was the founding year of the county where Weber's Store is located?,1905
"In the 1973 NFL season, the Pro Bowl took place at what football stadium that is part of the Truman Sports Complex, along with what other stadium?",Kauffman Stadium
What was the Canadian movie called in Italy that stared a professional American football defensive end of the National Football League along with Michael Ironside?,Anno 2053
Are Lycoris and Ammi both native to southern Asia?,yes
"Which cast member of Pitch Perfect 2 was born March 9, 1986?",Brittany Snow
Phyllis Kohn holds a seat in the House of Representatives which meets where?,Saint Paul
"Which mountain is taller, Gasherbrum II or Langtang Ri?",Gasherbrum II
In what field did a Swiss physicist who had a geometrical representation named after him work in?,quantum mechanics
What is the nickname of the peninsula that is home to the Calabrian Black Squirrel?,"""lo Stivale"" (the Boot)"
"Which publication is older, the Stanford Chaparral or Dime Magazine? ",The Stanford Chaparral
What was the MGM Grand Garden Arena in which Britney Spears recorded fourth video album originally known as?,Grand Garden Special Events Center
Where were the brothers from that manufactured the balloon in which François Laurent d'Arlandes andJean-François Pilâtre de Rozier made the first manned free balloon flight? ,"Annonay, in Ardèche"
"Who has won the most Olympic medals for figure skating, Debi Thomas or Katarina Witt?",Katarina Witt
The most principle species of plants which requires an ericaceous type of compost can have what effect on its surroundings because of the way it takes up cations?,Peat moss can also acidify its surroundings by taking up cations
Who recorded the song written by Johnny Russell,Buck Owens
Which of the following has released ten solo albums: Kristin Hersh or Mike Patton?,Kristin Hersh
What did  the man who  led Sweden to military supremacy during the Thirty Years' War found in 1623?,court in Åbo
When was the host of the Los Angeles talk radio program Religion on the Line born?,2-Aug-48
Was Lee Grant or Colin Campbell born first?,James Colin Campbell
Which magazine ranked the Indian Carnatic vocalist who collaborated with classical pianist Anil Srinivasan among 35 Game Changers under 35?,India Today
Are David Schwimmer and James Wan in the same industry?,yes
Actor David Lee Stenstrom played the character Waldo the inventor in a TV show that ran on Nickelodeon during what yeras?,1984 to 1985
Atlanta Zero Mile Post is located within a historic area opened in what year ?,1969
In what city does the most successful American and international five-and-dime business have a historic building?,"Watertown, New York"
Who has a better career-high singles ranking Daniel Vacek or Fabio Fognini ?,Fabio Fognini
"Between Gareth Evans and Pierre Chenal, who's had a more diver career?",Gareth Huw Evans
"Which plant genus is part of a family with a longer name, Morning glory or Rothmannia?",Morning glory
Which jobs do Jeff Tremaine and Keanu Reeves share?,"director, producer"
