Questions,Answers,extended_answer,base_response,generated_samples,synonyms,synonym_responses,antonyms,antonym_responses,selfcheck_score,hallucination_check
"Marvel Classics Comics specialized in adaptations of literary classics, such as a novel by American writer Herman Melville, that was published in what year?",1851,"The novel by American writer Herman Melville, which Marvel Classics Comics specialized in adapting, was published in 1851.","Marvel Classics Comics specialized in adaptations of literary classics, including Herman Melville's novel ""Moby-Dick,"" which was published in 1851.","Marvel Classics Comics specialized in adaptations of literary classics, such as the novel ""Moby-Dick"" by American writer Herman Melville, which was published in 1851.;Marvel Classics Comics specialized in adaptations of literary classics, including Herman Melville's novel ""Moby-Dick,"" which was published in 1851.;Marvel Classics Comics specialized in adaptations of literary classics, including Herman Melville's novel ""Moby-Dick,"" which was originally published in 1851.;Marvel Classics Comics specialized in adaptations of literary classics, including Herman Melville's novel ""Moby-Dick,"" which was published in 1851.;Marvel Classics Comics specialized in adaptations of literary classics, including Herman Melville's novel ""Moby-Dick,"" which was published in 1851.;Marvel Classics Comics specialized in adaptations of literary classics, including Herman Melville's novel ""Moby-Dick,"" which was published in 1851.;Marvel Classics Comics specialized in adaptations of literary classics, including Herman Melville's novel ""Moby-Dick,"" which was published in 1851.;Marvel Classics Comics specialized in adaptations of literary classics, such as the novel ""Moby-Dick"" by American writer Herman Melville, which was published in 1851.;Marvel Classics Comics specialized in adaptations of literary classics, including Herman Melville's novel ""Moby-Dick,"" which was published in 1851.;Marvel Classics Comics specialized in adaptations of literary classics, including Herman Melville's novel ""Moby-Dick,"" which was published in 1851.","1. Marvel Classics Comics specialized in adaptations of literary classics, including the 1851 novel ""Moby-Dick"" by Herman Melville.;2. Among the literary classics adapted by Marvel Classics Comics is Herman Melville's ""Moby-Dick,"" published in 1851.;3. Marvel Classics Comics featured adaptations of literary classics, such as Herman Melville's 1851 novel ""Moby-Dick."";4. The 1851 publication ""Moby-Dick"" by Herman Melville was among the literary classics adapted by Marvel Classics Comics.;5. Herman Melville's ""Moby-Dick,"" published in 1851, was one of the literary classics adapted by Marvel Classics Comics.",YES;YES;YES;YES;YES,"1. Marvel Classics Comics did not specialize in adaptations of literary classics, including Herman Melville's novel ""Moby-Dick,"" which was published in 1851.;2. Marvel Classics Comics specialized in adaptations of literary classics, but not including Herman Melville's novel ""Moby-Dick,"" which was published in 1851.;3. Marvel Classics Comics specialized in adaptations of literary classics, including Herman Melville's novel ""Moby-Dick,"" which was not published in 1851.;4. Marvel Classics Comics specialized in adaptations of literary classics, but Herman Melville's novel ""Moby-Dick"" was not among them, and it was published in 1851.;5. Marvel Classics Comics did not include Herman Melville's novel ""Moby-Dick,"" which was published in 1851, in their adaptations of literary classics.",NO;NOT SURE;NO;YES;YES,0,no
"When was the Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, born?",1932,"The Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, was born in 1932.","The Chief Aerodynamicist for the British supersonic land vehicle aiming to exceed 1000 mph, Ron Ayers, was born on 7 July 1932.","The Chief Aerodynamicist for the British supersonic land vehicle, Bloodhound SSC, Ron Ayers, was born on September 7, 1932.;The Chief Aerodynamicist for the British supersonic land vehicle aiming to exceed 1000 mph, Ron Ayers, was born on July 7, 1932.;The Chief Aerodynamicist for the British supersonic land vehicle, Bloodhound LSR, Ron Ayers, was born on July 7, 1932.;The Chief Aerodynamicist for the British supersonic land vehicle aiming to exceed 1000 mph, Ron Ayers, was born on April 7, 1932.;The Chief Aerodynamicist for the British supersonic land vehicle aiming to exceed 1000 mph, Ron Ayers, was born on July 7, 1932.;The Chief Aerodynamicist for the British supersonic land vehicle, Bloodhound LSR, Ron Ayers, was born on September 13, 1932.;Ron Ayers, the Chief Aerodynamicist for the British supersonic land vehicle aiming to exceed 1000 mph, was born on July 7, 1932.;The Chief Aerodynamicist for the British supersonic land vehicle Bloodhound LSR, Ron Ayers, was born on October 7, 1932.;The Chief Aerodynamicist for the British supersonic land vehicle, Bloodhound LSR, Ron Ayers, was born on October 7, 1932.;The Chief Aerodynamicist for the British supersonic land vehicle aiming to exceed 1000 mph, Ron Ayers, was born on 7 July 1932.","1. Ron Ayers, the Chief Aerodynamicist for the British supersonic land vehicle targeting a speed of over 1000 mph, was born on 7 July 1932.;2. The birthdate of Ron Ayers, who serves as the Chief Aerodynamicist for the British supersonic land vehicle with a goal of surpassing 1000 mph, is 7 July 1932.;3. On 7 July 1932, Ron Ayers, the Chief Aerodynamicist for the British supersonic land vehicle striving to reach or exceed 1000 mph, was born.;4. The Chief Aerodynamicist, Ron Ayers, for the British supersonic land vehicle that aims to break the 1000 mph barrier, was born on 7 July 1932.;5. Born on 7 July 1932, Ron Ayers is the Chief Aerodynamicist for the British supersonic land vehicle with the objective of achieving a speed of 1000 mph or more.",YES;NOT SURE;YES;NOT SURE;NOT SURE,"1. Ron Ayers, the Chief Aerodynamicist for the British supersonic land vehicle aiming to exceed 1000 mph, was not born on 7 July 1932.;2. The Chief Aerodynamicist for the British supersonic land vehicle aiming to exceed 1000 mph, Ron Ayers, was not born on 7 July 1932.;3. The British supersonic land vehicle's Chief Aerodynamicist, Ron Ayers, was not born on 7 July 1932.;4. Ron Ayers, born on 7 July 1932, is not the Chief Aerodynamicist for the British supersonic land vehicle aiming to exceed 1000 mph.;5. The Chief Aerodynamicist for the British supersonic land vehicle aiming to exceed 1000 mph was not born on 7 July 1932.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,0.8,no
The third emperor in the Year of the Four Emperors had how many wives? ,second,The second emperor in the Year of the Four Emperors had more than one wife.,"The third emperor in the Year of the Four Emperors, Vitellius, had two wives.","The third emperor in the Year of the Four Emperors, Vitellius, had two wives.;The third emperor in the Year of the Four Emperors, Vitellius, had two wives.;The third emperor in the Year of the Four Emperors, Vitellius, had one wife named Galeria Fundana.;The third emperor in the Year of the Four Emperors, Vitellius, had two wives.;The third emperor in the Year of the Four Emperors, Vitellius, had three wives.;The third emperor in the Year of the Four Emperors, Vitellius, had two wives.;The third emperor in the Year of the Four Emperors, Vitellius, had two wives.;The third emperor in the Year of the Four Emperors, Vitellius, had two wives.;The third emperor in the Year of the Four Emperors, Vitellius, had two wives.;The third emperor in the Year of the Four Emperors, Vitellius, had two wives.","1. Vitellius, the third emperor in the Year of the Four Emperors, was married to two wives.;2. During the Year of the Four Emperors, the third emperor, Vitellius, had two spouses.;3. The third ruler in the Year of the Four Emperors, Vitellius, had a total of two wives.;4. Vitellius, who was the third emperor in the Year of the Four Emperors, had two marital partners.;5. In the Year of the Four Emperors, the third emperor, Vitellius, was wed to two women.",NO;NO;NO;NO;NO,"1. The third emperor in the Year of the Four Emperors, Vitellius, did not have two wives.;2. Vitellius, the third emperor in the Year of the Four Emperors, had no wives.;3. The third emperor in the Year of the Four Emperors, Vitellius, had more than two wives.;4. Vitellius, the third emperor in the Year of the Four Emperors, had fewer than two wives.;5. The third emperor in the Year of the Four Emperors, Vitellius, had one wife.",YES;YES;YES;YES;YES,0.2,yes
Keanu is a 2016 American action comedy film directed by Peter Atencio and written by who?,Jordan Peele,"Keanu is a 2016 American action comedy film directed by Peter Atencio and written by Jordan Peele, who is known for his work in comedy and as a talented writer and director.",Keanu is a 2016 American action comedy film directed by Peter Atencio and written by Jordan Peele and Alex Rubens.,Keanu is a 2016 American action comedy film directed by Peter Atencio and written by Jordan Peele and Alex Rubens.;Keanu is a 2016 American action comedy film directed by Peter Atencio and written by Jordan Peele and Alex Rubens.;Keanu is a 2016 American action comedy film directed by Peter Atencio and written by Jordan Peele and Alex Rubens.;Keanu is a 2016 American action comedy film directed by Peter Atencio and written by Jordan Peele and Alex Rubens.;Keanu is a 2016 American action comedy film directed by Peter Atencio and written by Jordan Peele and Alex Rubens.;Keanu is a 2016 American action comedy film directed by Peter Atencio and written by Jordan Peele and Alex Rubens.;Keanu is a 2016 American action comedy film directed by Peter Atencio and written by Jordan Peele and Alex Rubens.;Keanu is a 2016 American action comedy film directed by Peter Atencio and written by Jordan Peele and Alex Rubens.;Keanu is a 2016 American action comedy film directed by Peter Atencio and written by Jordan Peele and Alex Rubens.;Keanu is a 2016 American action comedy film directed by Peter Atencio and written by Jordan Peele and Alex Rubens.,"1. Keanu is a 2016 American action comedy film directed by Peter Atencio and penned by Jordan Peele and Alex Rubens.;2. The 2016 American action comedy film Keanu, directed by Peter Atencio, was written by Jordan Peele and Alex Rubens.;3. Jordan Peele and Alex Rubens are the writers of Keanu, a 2016 American action comedy film directed by Peter Atencio.;4. Directed by Peter Atencio, the 2016 American action comedy film Keanu was written by Jordan Peele and Alex Rubens.;5. The screenplay for Keanu, a 2016 American action comedy film directed by Peter Atencio, was crafted by Jordan Peele and Alex Rubens.",YES;YES;YES;YES;YES,1. Keanu is a 2016 American action comedy film not written by Jordan Peele and Alex Rubens.;2. Jordan Peele and Alex Rubens did not write the 2016 American action comedy film Keanu.;3. The 2016 American action comedy film Keanu was not written by Jordan Peele and Alex Rubens.;4. Keanu is a 2016 American action comedy film directed by Peter Atencio but not written by Jordan Peele and Alex Rubens.;5. Jordan Peele and Alex Rubens are not the writers of the 2016 American action comedy film Keanu.,NO;NO;NO;NO;NO,0,no
Where is the seminar Jeanne Marie Beaumont directed in 2007-2010 located?,"Franconia, New Hampshire","The seminar Jeanne Marie Beaumont directed in 2007-2010 is located in Franconia, New Hampshire.","The seminar Jeanne Marie Beaumont directed from 2007-2010 is located at The Frost Place in Franconia, New Hampshire.","The seminar Jeanne Marie Beaumont directed from 2007-2010 is located at The Frost Place in Franconia, New Hampshire.;The seminar Jeanne Marie Beaumont directed from 2007-2010 is located at The Frost Place in Franconia, New Hampshire.;The seminar Jeanne Marie Beaumont directed from 2007-2010 is located at The Frost Place in Franconia, New Hampshire.;The seminar Jeanne Marie Beaumont directed from 2007-2010 is located at The Frost Place in Franconia, New Hampshire.;The seminar Jeanne Marie Beaumont directed from 2007-2010 is located at The Frost Place in Franconia, New Hampshire.;The seminar Jeanne Marie Beaumont directed from 2007-2010 is located at The Frost Place in Franconia, New Hampshire.;The seminar Jeanne Marie Beaumont directed from 2007 to 2010 is located at The Frost Place in Franconia, New Hampshire.;The seminar Jeanne Marie Beaumont directed from 2007 to 2010 is located at The Frost Place in Franconia, New Hampshire.;The seminar Jeanne Marie Beaumont directed from 2007 to 2010 is located at The Frost Place in Franconia, New Hampshire.;The seminar Jeanne Marie Beaumont directed from 2007-2010 is located at The Frost Place in Franconia, New Hampshire.","1. The Frost Place in Franconia, New Hampshire, is where the seminar Jeanne Marie Beaumont directed from 2007-2010 is located.;2. Jeanne Marie Beaumont's seminar from 2007-2010 is situated at The Frost Place in Franconia, New Hampshire.;3. Located at The Frost Place in Franconia, New Hampshire, is the seminar Jeanne Marie Beaumont directed from 2007-2010.;4. The seminar directed by Jeanne Marie Beaumont from 2007-2010 can be found at The Frost Place in Franconia, New Hampshire.;5. In Franconia, New Hampshire, at The Frost Place, is where Jeanne Marie Beaumont's seminar from 2007-2010 is located.",YES;NOT SURE;YES;NOT SURE;NO,"1. The seminar Jeanne Marie Beaumont directed from 2007-2010 is not located at The Frost Place in Franconia, New Hampshire.;2. The seminar Jeanne Marie Beaumont directed from 2007-2010 is located somewhere other than The Frost Place in Franconia, New Hampshire.;3. Jeanne Marie Beaumont did not direct a seminar at The Frost Place in Franconia, New Hampshire from 2007-2010.;4. The Frost Place in Franconia, New Hampshire is not the location of the seminar Jeanne Marie Beaumont directed from 2007-2010.;5. From 2007-2010, Jeanne Marie Beaumont did not direct a seminar at The Frost Place in Franconia, New Hampshire.",NOT SURE;NOT SURE;NOT SURE;YES;NOT SURE,0,no
What is the name of the father of Childericus?,Merovech,"The name of the father of Childericus is Merovech, who was a prominent figure in the history of the Merovingian dynasty.","The father of Childericus, also known as Childeric I, was Merovech, the semi-legendary founder of the Merovingian dynasty.","The father of Childericus, also known as Childeric I, was Merovech.;The father of Childericus, also known as Childeric I, was Merovech (or Meroveus), the semi-legendary founder of the Merovingian dynasty.;The father of Childericus, also known as Childeric I, was Merovech.;The father of Childericus, also known as Childeric I, is named Merovech.;The father of Childericus, also known as Childeric I, was Merovech, the semi-legendary founder of the Merovingian dynasty.;The father of Childericus, also known as Childeric I, was Merovech, the semi-legendary founder of the Merovingian dynasty.;The father of Childericus is Merovech.;The father of Childericus, also known as Childeric I, was Merovech, the semi-legendary founder of the Merovingian dynasty.;The father of Childericus, also known as Childeric I, is Merovech.;The father of Childericus, also known as Childeric I, was Merovech, the semi-legendary founder of the Merovingian dynasty.","1. Merovech, the semi-legendary founder of the Merovingian dynasty, was the father of Childericus, also known as Childeric I.;2. Childeric I, also referred to as Childericus, was the son of Merovech, the semi-legendary progenitor of the Merovingian dynasty.;3. The semi-legendary Merovech, who founded the Merovingian dynasty, was the father of Childeric I, also known as Childericus.;4. Childericus, or Childeric I, was born to Merovech, the semi-legendary originator of the Merovingian dynasty.;5. Merovech, known as the semi-legendary founder of the Merovingian dynasty, fathered Childeric I, also called Childericus.",NO;YES;YES;YES;YES,"1. The father of Childericus was not Merovech.;2. Merovech was not the father of Childericus.;3. Childericus's father was not Merovech, the semi-legendary founder of the Merovingian dynasty.;4. The semi-legendary founder of the Merovingian dynasty was not Merovech.;5. Childeric I's father was not Merovech.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NO,0,no
Immanuel Lutheran School is affiliated with the denomination that has how many members?,2.1 million,Immanuel Lutheran School is affiliated with the denomination that has 2.1 million members.,"Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod, which has approximately 1.8 million members.","Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod, which has approximately 1.8 million members.;Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod, which has approximately 1.8 million members.;Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod, which has approximately 1.8 million members.;Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod, which has approximately 1.8 million members.;Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod, which has approximately 1.8 million members.;Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod, which has approximately 1.8 million members.;Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod, which has approximately 1.8 million members.;Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod, which has approximately 1.8 million members.;Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod, which has approximately 1.8 million members.;Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod, which has approximately 1.8 million members.","1. Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod, which boasts around 1.8 million members.;2. The Lutheran Church–Missouri Synod, with about 1.8 million members, is the denomination Immanuel Lutheran School is connected to.;3. Immanuel Lutheran School is linked to the Lutheran Church–Missouri Synod, a denomination with roughly 1.8 million members.;4. The denomination that Immanuel Lutheran School is affiliated with, the Lutheran Church–Missouri Synod, has an estimated 1.8 million members.;5. Immanuel Lutheran School's affiliation is with the Lutheran Church–Missouri Synod, which has close to 1.8 million members.",YES;NOT SURE;YES;YES;NOT SURE,"1. Immanuel Lutheran School is not affiliated with the Lutheran Church–Missouri Synod, which has approximately 1.8 million members.;2. Immanuel Lutheran School is affiliated with a denomination that does not have approximately 1.8 million members.;3. The Lutheran Church–Missouri Synod, which has approximately 1.8 million members, is not affiliated with Immanuel Lutheran School.;4. Immanuel Lutheran School is affiliated with the Lutheran Church–Missouri Synod, which does not have approximately 1.8 million members.;5. Immanuel Lutheran School is affiliated with a denomination other than the Lutheran Church–Missouri Synod, which has approximately 1.8 million members.",NOT SURE;NOT SURE;NOT SURE;NO;NOT SURE,0,yes
in the 2004 Hockey film produced by a former major league baseball pitcher who played the USA coach?,Kurt Russell,"Kurt Russell, a former major league baseball pitcher who played the USA coach, was involved in the production of the 2004 Hockey film.","In the 2004 hockey film ""Miracle,"" produced by former Major League Baseball pitcher Mark Ciardi, the USA coach was played by Kurt Russell.","In the 2004 hockey film ""Miracle,"" produced by former major league baseball pitcher Mark Ciardi, the USA coach was played by Kurt Russell.;In the 2004 hockey film ""Miracle,"" produced by former Major League Baseball pitcher Mark Ciardi, Kurt Russell played the USA coach, Herb Brooks.;In the 2004 hockey film ""Miracle,"" produced by former Major League Baseball pitcher Mark Ciardi, the USA coach was played by Kurt Russell.;In the 2004 hockey film ""Miracle,"" produced by former Major League Baseball pitcher Mark Ciardi, Kurt Russell played the USA coach, Herb Brooks.;In the 2004 hockey film ""Miracle,"" produced by former Major League Baseball pitcher Mark Ciardi, Kurt Russell played the USA coach Herb Brooks.;In the 2004 hockey film ""Miracle,"" produced by former Major League Baseball pitcher Mark Ciardi, Kurt Russell played the USA coach, Herb Brooks.;In the 2004 hockey film ""Miracle,"" produced by former Major League Baseball pitcher Mark Ciardi, the USA coach was played by Kurt Russell.;In the 2004 hockey film ""Miracle,"" produced by former Major League Baseball pitcher Mark Ciardi, Kurt Russell played the USA coach, Herb Brooks.;In the 2004 hockey film ""Miracle,"" produced by former Major League Baseball pitcher Mark Ciardi, Kurt Russell played the USA coach, Herb Brooks.;In the 2004 hockey film ""Miracle,"" produced by former Major League Baseball pitcher Mark Ciardi, the USA coach was played by Kurt Russell.","1. In the 2004 hockey film ""Miracle,"" produced by ex-Major League Baseball pitcher Mark Ciardi, Kurt Russell played the USA coach.;2. Kurt Russell portrayed the USA coach in the 2004 hockey film ""Miracle,"" which was produced by former Major League Baseball pitcher Mark Ciardi.;3. The USA coach in the 2004 hockey film ""Miracle,"" produced by Mark Ciardi, a former Major League Baseball pitcher, was played by Kurt Russell.;4. In ""Miracle,"" the 2004 hockey film produced by former Major League Baseball pitcher Mark Ciardi, Kurt Russell took on the role of the USA coach.;5. The 2004 hockey film ""Miracle,"" produced by Mark Ciardi, a former Major League Baseball pitcher, featured Kurt Russell as the USA coach.",YES;YES;YES;YES;YES,"1. In the 2004 hockey film ""Miracle,"" produced by former Major League Baseball pitcher Mark Ciardi, the USA coach was not played by Kurt Russell.;2. Kurt Russell did not play the USA coach in the 2004 hockey film ""Miracle,"" produced by former Major League Baseball pitcher Mark Ciardi.;3. The USA coach in the 2004 hockey film ""Miracle,"" produced by former Major League Baseball pitcher Mark Ciardi, was not portrayed by Kurt Russell.;4. In the 2004 hockey film ""Miracle,"" produced by former Major League Baseball pitcher Mark Ciardi, Kurt Russell did not portray the USA coach.;5. The USA coach was not played by Kurt Russell in the 2004 hockey film ""Miracle,"" produced by former Major League Baseball pitcher Mark Ciardi.",NO;NO;NO;NO;NO,0,no
Tamanchey is a comedy film that starred the actress who works in what type of films?,Hindi,Tamanchey is a comedy film that starred the actress who works in Hindi films.,"The actress in the comedy film ""Tamanchey,"" Richa Chadda, primarily works in Hindi-language Bollywood films.","Tamanchey starred the actress Richa Chadda, who is known for her work in both mainstream Bollywood films and independent cinema.;Tamanchey starred actress Richa Chadda, who is known for her work in Bollywood films, particularly in independent and critically acclaimed movies.;Tamanchey starred the actress Richa Chadda, who is known for her work in Bollywood films, particularly in genres like drama and comedy.;The actress who starred in the comedy film ""Tamanchey"" typically works in Bollywood films.;Tamanchey starred the actress Richa Chadda, who is known for working in Bollywood films, often in roles that are critically acclaimed and diverse in genre.;Tamanchey is a comedy film that starred the actress Richa Chadda, who is known for working in Bollywood films, particularly in roles that often involve strong, unconventional female characters.;Tamanchey starred Richa Chadda, who is known for her work in Hindi cinema, particularly in films that often explore serious and socially relevant themes.;The actress who starred in the comedy film ""Tamanchey,"" Richa Chadda, is known for her work in Bollywood films.;Tamanchey is a comedy film that starred the actress Richa Chadda, who is known for working in Bollywood films.;The actress in the comedy film ""Tamanchey,"" Richa Chadda, primarily works in Hindi-language Bollywood films.","1. Richa Chadda, the actress in the comedy film ""Tamanchey,"" mainly acts in Hindi-language Bollywood films.;2. The actress featured in the comedy film ""Tamanchey,"" Richa Chadda, predominantly appears in Hindi-language Bollywood films.;3. In the comedy film ""Tamanchey,"" the actress Richa Chadda is known for her roles in Hindi-language Bollywood films.;4. Richa Chadda, who starred in the comedy film ""Tamanchey,"" primarily performs in Hindi-language Bollywood films.;5. The comedy film ""Tamanchey"" stars Richa Chadda, an actress who mainly works in Hindi-language Bollywood films.",YES;YES;NOT SURE;YES;YES,"1. The actress in the comedy film ""Tamanchey,"" Richa Chadda, does not primarily work in Hindi-language Bollywood films.;2. Richa Chadda, the actress in the comedy film ""Tamanchey,"" primarily works in non-Hindi-language films.;3. The actress in the comedy film ""Tamanchey,"" Richa Chadda, primarily works in non-Bollywood films.;4. Richa Chadda, the actress in the comedy film ""Tamanchey,"" does not primarily work in Bollywood films.;5. The actress in the comedy film ""Tamanchey,"" Richa Chadda, primarily works in films that are not Hindi-language Bollywood films.",NO;NO;NO;NO;NO,0.1,no
"Which star of ""Chalet Girl"" also appeared in ""The Treasure Seekers""?",Felicity Rose Hadley Jones,"Felicity Rose Hadley Jones, who starred in ""Chalet Girl,"" also appeared in ""The Treasure Seekers.""","Felicity Jones, who starred in ""Chalet Girl,"" also appeared in ""The Treasure Seekers.""","The star of ""Chalet Girl"" who also appeared in ""The Treasure Seekers"" is Felicity Jones.;The star of ""Chalet Girl"" who also appeared in ""The Treasure Seekers"" is Felicity Jones.;Felicity Jones, who starred in ""Chalet Girl,"" also appeared in ""The Treasure Seekers."";Felicity Jones, who starred in ""Chalet Girl,"" also appeared in ""The Treasure Seekers."";Felicity Jones, who starred in ""Chalet Girl,"" also appeared in ""The Treasure Seekers."";Felicity Jones, who starred in ""Chalet Girl,"" also appeared in ""The Treasure Seekers."";Felicity Jones, who starred in ""Chalet Girl,"" also appeared in ""The Treasure Seekers."";Felicity Jones, the star of ""Chalet Girl,"" also appeared in ""The Treasure Seekers."";Felicity Jones, the star of ""Chalet Girl,"" also appeared in ""The Treasure Seekers."";Felicity Jones, who starred in ""Chalet Girl,"" also appeared in ""The Treasure Seekers.""","1. Felicity Jones, known for her role in ""Chalet Girl,"" also featured in ""The Treasure Seekers."";2. The actress Felicity Jones, who played a part in ""Chalet Girl,"" was also in ""The Treasure Seekers."";3. Felicity Jones, who appeared in ""Chalet Girl,"" had a role in ""The Treasure Seekers"" as well.;4. In addition to starring in ""Chalet Girl,"" Felicity Jones also appeared in ""The Treasure Seekers."";5. Felicity Jones, who was in ""Chalet Girl,"" also took part in ""The Treasure Seekers.""",YES;YES;YES;YES;YES,"1. Felicity Jones, who starred in ""Chalet Girl,"" did not appear in ""The Treasure Seekers."";2. Felicity Jones did not star in both ""Chalet Girl"" and ""The Treasure Seekers."";3. The star of ""Chalet Girl,"" Felicity Jones, did not also appear in ""The Treasure Seekers."";4. Felicity Jones was not in ""The Treasure Seekers"" despite starring in ""Chalet Girl."";5. Felicity Jones did not appear in ""The Treasure Seekers"" after starring in ""Chalet Girl.""",YES;YES;NO;NOT SURE;NO,0,no
Who currently has more store locations? Bearno's or Patxi's Chicago Pizza?,Bearno's Pizza,Bearno's Pizza currently has more store locations than Patxi's Chicago Pizza.,Bearno's currently has more store locations compared to Patxi's Chicago Pizza.,"Bearno's currently has more store locations than Patxi's Chicago Pizza.;Bearno's currently has more store locations than Patxi's Chicago Pizza.;Bearno's currently has more store locations than Patxi's Chicago Pizza.;As of the latest available information, Bearno's has more store locations than Patxi's Chicago Pizza.;Bearno's currently has more store locations than Patxi's Chicago Pizza.;Bearno's currently has more store locations than Patxi's Chicago Pizza.;As of the latest available information, Bearno's has more store locations compared to Patxi's Chicago Pizza.;As of the latest available data, Bearno's has more store locations than Patxi's Chicago Pizza.;Bearno's currently has more store locations than Patxi's Chicago Pizza.;Bearno's currently has more store locations compared to Patxi's Chicago Pizza.","1. Bearno's presently boasts a greater number of store locations than Patxi's Chicago Pizza.;2. Compared to Patxi's Chicago Pizza, Bearno's has a higher count of store locations.;3. Bearno's surpasses Patxi's Chicago Pizza in the number of store locations they operate.;4. The current number of store locations is higher for Bearno's than for Patxi's Chicago Pizza.;5. Bearno's leads in store locations when compared to Patxi's Chicago Pizza.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,1. Bearno's does not currently have more store locations compared to Patxi's Chicago Pizza.;2. Patxi's Chicago Pizza currently has more store locations compared to Bearno's.;3. Bearno's currently has fewer store locations compared to Patxi's Chicago Pizza.;4. Patxi's Chicago Pizza has more store locations than Bearno's.;5. Bearno's does not have more store locations than Patxi's Chicago Pizza.,NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,0,no
Bethpage State Parkway begins with an interchange at which Long Island-based limited access highway?,Southern State Parkway,"Bethpage State Parkway begins with an interchange at the Southern State Parkway, a Long Island-based limited access highway.",Bethpage State Parkway begins with an interchange at the Southern State Parkway on Long Island.,Bethpage State Parkway begins with an interchange at the Southern State Parkway in Long Island.;Bethpage State Parkway begins with an interchange at the Southern State Parkway on Long Island.;Bethpage State Parkway begins with an interchange at the Southern State Parkway on Long Island.;Bethpage State Parkway begins with an interchange at the Southern State Parkway on Long Island.;Bethpage State Parkway begins with an interchange at the Southern State Parkway on Long Island.;Bethpage State Parkway begins with an interchange at the Southern State Parkway on Long Island.;Bethpage State Parkway begins with an interchange at the Southern State Parkway.;Bethpage State Parkway begins with an interchange at the Southern State Parkway on Long Island.;Bethpage State Parkway begins with an interchange at the Southern State Parkway on Long Island.;Bethpage State Parkway begins with an interchange at the Southern State Parkway on Long Island.,"1. Bethpage State Parkway starts with an interchange at the Southern State Parkway on Long Island.;2. The Southern State Parkway on Long Island is where Bethpage State Parkway begins with an interchange.;3. On Long Island, Bethpage State Parkway initiates with an interchange at the Southern State Parkway.;4. The interchange at the Southern State Parkway on Long Island marks the beginning of Bethpage State Parkway.;5. Bethpage State Parkway commences with an interchange at the Southern State Parkway on Long Island.",YES;YES;YES;YES;YES,"1. Bethpage State Parkway does not begin with an interchange at the Southern State Parkway on Long Island.;2. The Southern State Parkway on Long Island is not where Bethpage State Parkway begins with an interchange.;3. Bethpage State Parkway does not start with an interchange at the Southern State Parkway on Long Island.;4. The interchange at the Southern State Parkway on Long Island is not the beginning of Bethpage State Parkway.;5. On Long Island, Bethpage State Parkway does not begin with an interchange at the Southern State Parkway.",NO;NOT SURE;NO;NOT SURE;NO,0,no
