Question,Answers,base_response,synonyms,synonym_responses,generated_samples,antonyms,antonym_responses,selfcheck_score
"Which type of character is featured by the P.L. Travers's third book and last novel in the ""Mary Poppins"" series?",fictional character,"The character featured in P.L. Travers's third book and last novel in the ""Mary Poppins"" series is a bird woman.","1. The protagonist showcased in P.L. Travers's third publication and final novel within the ""Mary Poppins"" sequence is a bird lady.;2. P.L. Travers's third installment and ultimate novel in the ""Mary Poppins"" series showcases a character known as a bird woman.;3. A bird woman is the character highlighted in P.L. Travers's third literary work and concluding novel in the ""Mary Poppins"" collection.;4. The individual presented in P.L. Travers's third volume and concluding novel in the ""Mary Poppins"" series is a bird lady.;5. In P.L. Travers's final novel of the ""Mary Poppins"" series, the featured character is described as a bird woman.",NO;YES;NO;NO;YES,"The P.L. Travers's third book and last novel in the ""Mary Poppins"" series features the character of Mary Poppins.;The P.L. Travers's third book and last novel in the ""Mary Poppins"" series features a magical and mysterious nanny named Mary Poppins.;The P.L. Travers's third book and last novel in the ""Mary Poppins"" series features an enigmatic and magical character.;The P.L. Travers's third book and last novel in the ""Mary Poppins"" series features a magical and enigmatic character.;The P.L. Travers's third book and last novel in the ""Mary Poppins"" series features a bird woman character.;The type of character featured in P.L. Travers's third book and last novel in the ""Mary Poppins"" series is a flying bed inhabited by a baby called Annabel.;The type of character featured in P.L. Travers's third book and last novel in the ""Mary Poppins"" series is a magical and mysterious nanny.;The P.L. Travers's third book and last novel in the ""Mary Poppins"" series features a baby character named Annabel.;The P.L. Travers's third book and last novel in the ""Mary Poppins"" series features a unique magical character.;The character featured in P.L. Travers's third book and last novel in the ""Mary Poppins"" series is a bird woman.","1. The character featured in P.L. Travers's third book and last novel in the ""Mary Poppins"" series is not a bird woman.;2. A bird woman is not the character featured in P.L. Travers's third book and last novel in the ""Mary Poppins"" series.;3. The character featured in P.L. Travers's third book and last novel in the ""Mary Poppins"" series is not characterized as a bird woman.;4. P.L. Travers's third book and last novel in the ""Mary Poppins"" series does not showcase a bird woman as a character.;5. A character other than a bird woman is featured in P.L. Travers's third book and last novel in the ""Mary Poppins"" series.",NO;YES;YES;NO;YES,1.0
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,"The Livesey Hal War Memorial commemorates the fallen of World War II, which had over 60 million casualties.","1. The Livesey Hal War Memorial honors those who perished in the conflict known as World War II, which saw over 60 million casualties.;2. World War II is the war in which over 60 million lives were lost and is remembered by the Livesey Hal War Memorial.;3. The war that resulted in over 60 million casualties, World War II, is the focus of remembrance at the Livesey Hal War Memorial.;4. Over 60 million individuals lost their lives in World War II, the tragic event commemorated at the Livesey Hal War Memorial.;5. The Livesey Hal War Memorial pays tribute to the deceased from World War II, a conflict that had over 60 million casualties.",NO;NO;NO;NOT SURE;NO,"The Livesey Hal War Memorial commemorates the fallen of World War II, which had over 60 million casualties.;The Livesey Hal War Memorial commemorates the fallen of World War II, which had over 60 million casualties.;The Livesey Hall War Memorial commemorates the fallen of World War II, which had over 60 million casualties.;The Livesey Hal War Memorial commemorates the fallen of World War II, which had over 60 million casualties.;The Livesey Hal War Memorial commemorates the fallen of World War II, which had over 60 million casualties.;The Livesey Hal War Memorial commemorates the fallen of World War II that had over 60 million casualties.;The Livesey Hal War Memorial commemorates the fallen of World War II, which had over 60 million casualties.;The Livesey Hall War Memorial commemorates the fallen of World War II, which had over 60 million casualties.;The Livesey Hal War Memorial commemorates the fallen of World War II, which had over 60 million casualties.;The Livesey Hal War Memorial commemorates the fallen of World War II, which had over 60 million casualties.",1. The Livesey Hal War Memorial does not commemorate the fallen of World War II.;2. World War II did not have over 60 million casualties.;3. The Livesey Hal War Memorial does not honor the fallen soldiers of a war with over 60 million casualties.;4. World War II is not the war that the Livesey Hal War Memorial commemorates the fallen of.;5. The Livesey Hal War Memorial does not specifically commemorate the fallen soldiers of a war with over 60 million casualties.,YES;NO;NOT SURE;NO;YES,0.0
What is the name of the executive producer of the film that has a score composed by Jerry Goldsmith?,Ronald Shusett,The executive producer of the film with a score composed by Jerry Goldsmith is George Lucas.,1. George Lucas is the executive producer of the movie featuring a musical score crafted by Jerry Goldsmith.;2. The producer of the film showcasing a score created by Jerry Goldsmith is George Lucas.;3. George Lucas oversees the production of the film with music composed by Jerry Goldsmith.;4. The individual in charge of producing the movie with a soundtrack by Jerry Goldsmith is George Lucas.;5. George Lucas holds the role of executive producer for the film that boasts a score by Jerry Goldsmith.,NO;NO;NO;NO;YES,"The name of the executive producer of the film with a score composed by Jerry Goldsmith is not specified.;The executive producer of the film with a score composed by Jerry Goldsmith is Joel Silver.;The executive producer of the film with a score composed by Jerry Goldsmith is Barry Spikings.;The executive producer of the film with a score composed by Jerry Goldsmith is Ronald Shusett.;The executive producer of the film with a score composed by Jerry Goldsmith is Richard Donner.;The executive producer of the film with a score composed by Jerry Goldsmith is John Davis.;The name of the executive producer of the film with a score composed by Jerry Goldsmith is not provided, would you like to know more about the film or the composer?;The executive producer of the film with a score composed by Jerry Goldsmith is Joel Silver.;The name of the executive producer of the film with a score composed by Jerry Goldsmith is not provided.;The executive producer of the film with a score composed by Jerry Goldsmith is George Lucas.",1. The executive producer of the film with a score composed by Jerry Goldsmith is not George Lucas.;2. George Lucas is not the executive producer of the film with a score composed by Jerry Goldsmith.;3. The film with a score composed by Jerry Goldsmith does not have George Lucas as the executive producer.;4. It is not George Lucas who is the executive producer of the film with a score composed by Jerry Goldsmith.;5. The executive producer of the film featuring a score by Jerry Goldsmith is someone other than George Lucas.,YES;YES;YES;NO;YES,0.7
Eric Ambler and Carol Shields are both best Known for what profession?,author,Eric Ambler and Carol Shields are both best known for their careers as authors.,1. Eric Ambler and Carol Shields are both acclaimed for their profession as writers.;2. The occupation in which Eric Ambler and Carol Shields are most recognized is as authors.;3. Eric Ambler and Carol Shields are predominantly famous for their work as writers.;4. The primary vocation for both Eric Ambler and Carol Shields is as authors.;5. Eric Ambler and Carol Shields are most renowned for their profession as writers.,YES;YES;YES;YES;YES,Eric Ambler and Carol Shields are both best known for being authors.;Eric Ambler and Carol Shields are both best known for their professions as accomplished writers of fiction.;Eric Ambler and Carol Shields are both best known for being novelists.;Eric Ambler and Carol Shields are both best known as authors.;Eric Ambler and Carol Shields are both best known as novelists.;Eric Ambler and Carol Shields are both best known for their careers as authors.;Eric Ambler and Carol Shields are both best known as novelists.;Eric Ambler and Carol Shields are both best known as famous novelists.;Eric Ambler and Carol Shields are both best known as novelists.;Eric Ambler and Carol Shields are both best known for their careers as authors.,1. Eric Ambler and Carol Shields are not best known for being musicians.;2. Eric Ambler and Carol Shields are not best known for their careers in acting.;3. Eric Ambler and Carol Shields are not best known for their skills as painters.;4. Eric Ambler and Carol Shields are not best known for their expertise in architecture.;5. Eric Ambler and Carol Shields are not best known for their roles as politicians.,YES;YES;YES;YES;YES,0.0
David Huntsinger has worked with this gospel singer born in the month of July?,Larnelle Harris,David Huntsinger has worked with the gospel singer Marvin Winans who was born in July.,"1. Marvin Winans, the gospel singer born in July, collaborated with David Huntsinger.;2. David Huntsinger collaborated with Marvin Winans, the gospel singer who was born in July.;3. The gospel singer Marvin Winans, who celebrates his birthday in July, has collaborated with David Huntsinger.;4. David Huntsinger and the July-born gospel singer Marvin Winans have worked together.;5. Marvin Winans, born in July, and David Huntsinger have partnered on a project.",NOT SURE;NO;YES;NOT SURE;YES,"David Huntsinger has worked with Mahalia Jackson, a gospel singer born in the month of October.;David Huntsinger has worked with Mahalia Jackson, a gospel singer born in July.;David Huntsinger has worked with Yolanda Adams, a gospel singer born in the month of July.;David Huntsinger has worked with Yolanda Adams, a gospel singer born in the month of July.;David Huntsinger has worked with a gospel singer born in the month of July.;David Huntsinger has worked with Yolanda Adams, a gospel singer born in the month of July.;David Huntsinger has worked with Mahalia Jackson, a gospel singer born in the month of October.;David Huntsinger has worked with Aretha Franklin, a gospel singer born in March.;David Huntsinger has worked with Mahalia Jackson, a gospel singer born in the month of October.;David Huntsinger has worked with the gospel singer Marvin Winans who was born in July.","1. David Huntsinger has not worked with gospel singer Marvin Winans who was born in July.;2. The gospel singer David Huntsinger worked with was not Marvin Winans born in July.;3. It was not the gospel singer Marvin Winans, who was born in July, that David Huntsinger worked with.;4. David Huntsinger has not collaborated with Marvin Winans, the gospel singer born in July.;5. The gospel singer born in July that David Huntsinger worked with is not Marvin Winans.",YES;NO;NO;YES;NOT SURE,0.7
What film adaptation do both Jerome Bernard and Ira Lewis have in common?,Chinese Coffee,"Jerome Bernard and Ira Lewis both worked on the film adaptation of ""Clifford Odets' play Golden Boy.""","1. Jerome Bernard and Ira Lewis collaborated on the film rendition of Clifford Odets' play Golden Boy.;2. The cinematic adaptation of Golden Boy by Clifford Odets saw the participation of both Jerome Bernard and Ira Lewis.;3. Both Jerome Bernard and Ira Lewis were involved in bringing Clifford Odets' play Golden Boy to the screen in film form.;4. The film version of Golden Boy, crafted from Clifford Odets' play, enlisted the talents of both Jerome Bernard and Ira Lewis.;5. In the movie version of Golden Boy, based on Clifford Odets' play, Jerome Bernard and Ira Lewis were part of the production team.",YES;NOT SURE;NOT SURE;NO;NOT SURE,"Jerome Bernard and Ira Lewis both have the film ""Misery"" adapted from their works.;Jerome Bernard and Ira Lewis both have the film adaptation ""Flesh for Frankenstein"" in common.;Jerome Bernard and Ira Lewis share the film adaptation of ""Clifford Odets' play 'The Big Knife.'"";Jerome Bernard and Ira Lewis both have the 1982 film adaptation of ""Twilight Zone: The Movie"" in common.;Both Jerome Bernard and Ira Lewis have the film adaptation ""Two Minute Warning"" in common.;Jerome Bernard and Ira Lewis both have the film adaptation ""Slaughterhouse-Five"" in common.;Jerome Bernard and Ira Lewis both have the film adaptation of ""Deathtrap"" in common.;Jerome Bernard and Ira Lewis both worked on the film adaptation of ""Slaughterhouse-Five."";Jerome Bernard and Ira Lewis both have the film adaptation ""Clue"" in common.;Jerome Bernard and Ira Lewis both worked on the film adaptation of ""Clifford Odets' play Golden Boy.""","1. Jerome Bernard and Ira Lewis did not collaborate on the film adaptation of ""Clifford Odets' play Golden Boy."";2. The film adaptation of ""Clifford Odets' play Golden Boy"" did not involve Jerome Bernard and Ira Lewis.;3. Jerome Bernard and Ira Lewis were not part of the team behind the film adaptation of ""Clifford Odets' play Golden Boy."";4. ""Clifford Odets' play Golden Boy"" did not have Jerome Bernard and Ira Lewis contributing to its film adaptation.;5. The film adaptation of ""Clifford Odets' play Golden Boy"" does not include the work of Jerome Bernard and Ira Lewis.",NOT SURE;NOT SURE;NO;YES;YES,1.0
The chicken is a type of dance pattern that is a change of pace of what dance?,the Twist,The chicken dance is a change of pace from traditional ballroom dances.,1. The chicken dance provides a departure from the usual ballroom dance routines.;2. The chicken dance offers a variation from the standard ballroom dance styles.;3. The chicken dance presents a different tempo compared to the conventional ballroom dances.;4. The chicken dance introduces a contrasting rhythm to the traditional ballroom dancing.;5. The chicken dance brings a refreshing change from the customary ballroom dance movements.,NOT SURE;YES;YES;NO;NO,The chicken dance is a change of pace from the regular dance routine.;The chicken dance is a change of pace from the traditional dance steps.;The chicken dance is a change of pace of the traditional line dance.;The chicken dance pattern is a change of pace to the music genre below.;The chicken dance pattern is a change of pace in the context of polka dancing.;The chicken is a type of dance pattern that is a change of pace from the regular salsa dance.;The chicken dance is a change of pace from the traditional dance style.;The chicken dance is a change of pace from the usual dance steps.;The chicken is a type of dance pattern that is a change of pace for the Lindy Hop dance.;The chicken dance is a change of pace from traditional ballroom dances.,1. The chicken dance is not a change of pace from traditional ballroom dances.;2. Traditional ballroom dances are not what the chicken dance is a change of pace from.;3. The chicken dance is not a type of dance pattern.;4. The chicken dance is not a change of pace of any dance.;5. The chicken dance is not different from traditional ballroom dances.,NO;NO;NO;NO;NO,0.3
What profession does John Lanchester and Alan Dean Foster have in common?,novelist,Both John Lanchester and Alan Dean Foster are writers.,1. John Lanchester and Alan Dean Foster share the profession of being writers.;2. The common occupation between John Lanchester and Alan Dean Foster is writing.;3. Both John Lanchester and Alan Dean Foster work as writers.;4. Writing is the profession that John Lanchester and Alan Dean Foster have in common.;5. The shared career path of John Lanchester and Alan Dean Foster is writing.,YES;YES;YES;NO;YES,John Lanchester and Alan Dean Foster are both authors.;John Lanchester and Alan Dean Foster are both authors.;John Lanchester and Alan Dean Foster share the profession of being authors.;John Lanchester and Alan Dean Foster are both writers.;John Lanchester and Alan Dean Foster are both authors.;John Lanchester and Alan Dean Foster are both authors.;John Lanchester and Alan Dean Foster are both authors.;Both John Lanchester and Alan Dean Foster are authors.;John Lanchester and Alan Dean Foster are both authors.;Both John Lanchester and Alan Dean Foster are writers.,1. Neither John Lanchester nor Alan Dean Foster are writers.;2. John Lanchester and Alan Dean Foster do not share the profession of writing.;3. Writing is not the common profession between John Lanchester and Alan Dean Foster.;4. John Lanchester and Alan Dean Foster are not both writers.;5. The profession of writing is not common for both John Lanchester and Alan Dean Foster.,NO;NOT SURE;NO;NO;NOT SURE,0.0
Are both Lygodium or Maxillaria a genus of orchids?,no,"Both Lygodium and Maxillaria are not genera of orchids; Lygodium is a genus of climbing ferns, while Maxillaria is indeed a genus of orchids.","1. Neither Lygodium nor Maxillaria are classified as orchid genera; Lygodium is a genus of climbing ferns, whereas Maxillaria is a valid orchid genus.;2. Lygodium and Maxillaria do not fall under the category of orchid genera; Lygodium belongs to climbing ferns, while Maxillaria is indeed an orchid genus.;3. Lygodium and Maxillaria are not considered orchid genera; Lygodium is a climbing fern genus, whereas Maxillaria is a genuine orchid genus.;4. Lygodium and Maxillaria are not orchid genera; Lygodium is a climbing fern genus and contrasting this, Maxillaria is an orchid genus.;5. Lygodium and Maxillaria are not orchid genera; Lygodium is specific to climbing ferns, while Maxillaria is a valid orchid genus.",NO;NO;NO;NO;NO,"Both Lygodium and Maxillaria are not genera of orchids; Lygodium is a genus of ferns, while Maxillaria is a genus of orchids.;Both Lygodium and Maxillaria are genus of orchids.;Both Lygodium and Maxillaria are genera of plants, but only Maxillaria is a genus of orchids.;Both Lygodium and Maxillaria are not genera of orchids; Lygodium is actually a genus of ferns, while Maxillaria is a genus of orchids.;Both Lygodium and Maxillaria are genera of orchids.;Both Lygodium and Maxillaria are not genera of orchids; Lygodium belongs to the group of climbing ferns, while Maxillaria is an orchid genus.;Both Lygodium and Maxillaria are not genera of orchids; Lygodium belongs to the fern family, while Maxillaria is a genus of orchids.;Both Lygodium and Maxillaria are not genera of orchids, as Lygodium refers to a genus of ferns and Maxillaria is a genus of orchids.;Both Lygodium and Maxillaria are not genera of orchids; Lygodium is a genus of climbing ferns, and Maxillaria is a genus of orchids.;Both Lygodium and Maxillaria are not genera of orchids; Lygodium is a genus of climbing ferns, while Maxillaria is indeed a genus of orchids.","1. Lygodium is a genus of orchids, not climbing ferns.;2. Maxillaria is not a genus of orchids.;3. Lygodium is not a genus of climbing ferns.;4. Maxillaria is a genus of orchids, not Lygodium.;5. Maxillaria is not a genus of climbing ferns.",NO;NOT SURE;NO;YES;YES,0.2
What city does Paul Clyne and David Soares have in common?,New York,"Paul Clyne and David Soares both served as District Attorneys in Albany, New York.","1. Paul Clyne and David Soares both held the position of District Attorneys in Albany, New York.;2. Albany, New York was the city where Paul Clyne and David Soares served as District Attorneys.;3. The city of Albany, New York was where Paul Clyne and David Soares individually served as District Attorneys.;4. In Albany, New York, Paul Clyne and David Soares shared the role of District Attorneys.;5. Both Paul Clyne and David Soares were District Attorneys in Albany, New York.",YES;YES;YES;YES;YES,"Paul Clyne and David Soares both served as district attorneys in the city of Albany, New York.;Paul Clyne and David Soares have Albany in common as both individuals served as district attorneys of Albany County.;Paul Clyne and David Soares have Albany in common as they both served as district attorneys in the city.;Paul Clyne and David Soares both served as district attorneys in Albany.;Paul Clyne and David Soares have in common the city of Albany, as both have served as District Attorneys in Albany County.;Paul Clyne and David Soares both served as District Attorneys of Albany, New York.;Paul Clyne and David Soares have Albany in common as they both served as district attorneys in Albany, New York.;Paul Clyne and David Soares have Albany in common.;Paul Clyne and David Soares have in common the city of Albany, as they both served as District Attorneys in Albany County.;Paul Clyne and David Soares both served as District Attorneys in Albany, New York.","1. Paul Clyne and David Soares did not serve as District Attorneys in Albany, New York.;2. Serving as District Attorneys in Albany, New York was not a common role for Paul Clyne and David Soares.;3. Paul Clyne and David Soares were not both District Attorneys in Albany, New York.;4. Paul Clyne and David Soares did not share the experience of being District Attorneys in Albany, New York.;5. The common link between Paul Clyne and David Soares was not being District Attorneys in Albany, New York.",NO;YES;NO;NO;NO,0.0
What giant silverware company was started as a religious Utopian group and was for many years run by Pierrepont Noyes?,Oneida Limited,One of the giant silverware companies that was started as a religious Utopian group and was run by Pierrepont Noyes for many years is Oneida Silver.,"1. Oneida Silver, a colossal silverware company, was originally established as a religious Utopian group and managed by Pierrepont Noyes.;2. Pierrepont Noyes oversaw the operations of Oneida Silver, a massive silverware firm, that had its roots in a religious Utopian group.;3. A religious Utopian group founded Oneida Silver, which flourished under the leadership of Pierrepont Noyes for many years.;4. Oneida Silver emerged from a religious Utopian community and was steered by Pierrepont Noyes, becoming a prominent silverware establishment.;5. Pierrepont Noyes played a pivotal role in the growth and management of Oneida Silver, a renowned silverware company that originated from a religious Utopian movement.",YES;YES;YES;YES;YES,"The giant silverware company that was started as a religious Utopian group and was run by Pierrepont Noyes for many years is Oneida.;Oneida Community was the giant silverware company started as a religious Utopian group and was for many years run by Pierrepont Noyes.;The giant silverware company that was started as a religious Utopian group and run by Pierrepont Noyes for many years is Oneida Community.;Oneida Limited, a giant silverware company, was started as a religious Utopian group and was for many years run by Pierrepont Noyes.;Oneida Limited, a giant silverware company, was started as a religious Utopian group and was run by Pierrepont Noyes for many years.;The giant silverware company that was started as a religious Utopian group and was run by Pierrepont Noyes for many years was Oneida.;The giant silverware company that was started as a religious Utopian group and was run by Pierrepont Noyes is Oneida Limited.;The giant silverware company that was started as a religious Utopian group and was for many years run by Pierrepont Noyes is Oneida Limited.;The giant silverware company that was started as a religious Utopian group and was run by Pierrepont Noyes for many years is Oneida Limited.;One of the giant silverware companies that was started as a religious Utopian group and was run by Pierrepont Noyes for many years is Oneida Silver.","1. Oneida Silver was not one of the giant silverware companies started as a religious Utopian group and run by Pierrepont Noyes for many years.;2. Oneida Silver was one of the giant silverware companies started as a religious Utopian group, but it was not run by Pierrepont Noyes for many years.;3. Oneida Silver, which was started as a religious Utopian group and run by Pierrepont Noyes for many years, was not a giant silverware company.;4. Oneida Silver, despite being one of the giant silverware companies, was not started as a religious Utopian group or run by Pierrepont Noyes for many years.;5. Oneida Silver was not started as a religious Utopian group and run by Pierrepont Noyes for many years among the giant silverware companies.",NO;YES;YES;YES;NO,0.2
Are Harry Kizirian and Howard Kazanjian known for the same industry?,no,"Harry Kizirian is known for his work in the entertainment industry, while Howard Kazanjian is known for his work in the film industry.","1. Harry Kizirian is recognized for his contributions to the entertainment sector, whereas Howard Kazanjian is acknowledged for his involvement in the film industry.;2. Within the industry, Harry Kizirian is famed for his accomplishments in entertainment, whereas Howard Kazanjian is renowned for his achievements in the film sector.;3. The entertainment industry is where Harry Kizirian has made a name for himself, while Howard Kazanjian has carved out a reputation in the film industry.;4. Harry Kizirian and Howard Kazanjian are both distinguished figures in their respective fields - entertainment for Kizirian and film for Kazanjian.;5. Harry Kizirian is noted for his impact on the entertainment industry, whereas Howard Kazanjian is recognized for his influence within the film industry.",YES;YES;YES;YES;YES,"Harry Kizirian is known in the film industry as a producer while Howard Kazanjian is also recognized in the film industry as a producer.;Harry Kizirian and Howard Kazanjian are both known for their work in the film industry.;Harry Kizirian and Howard Kazanjian are known for their involvement in the film industry.;Harry Kizirian and Howard Kazanjian are known for their involvement in the film industry.;Harry Kizirian and Howard Kazanjian are both known for their work in the film industry.;Harry Kizirian and Howard Kazanjian are both known for their contributions to the film industry, with Kizirian as a production manager and Kazanjian as a producer.;Harry Kizirian and Howard Kazanjian are both known for their work in the entertainment industry.;Harry Kizirian and Howard Kazanjian are known in the entertainment industry.;Harry Kizirian and Howard Kazanjian are both known for their work in the film industry.;Harry Kizirian is known for his work in the entertainment industry, while Howard Kazanjian is known for his work in the film industry.",1. Harry Kizirian is not known for his work in the entertainment industry.;2. Howard Kazanjian is not known for his work in the film industry.;3. Harry Kizirian is not known for the same industry as Howard Kazanjian.;4. Howard Kazanjian is not known for his work in the entertainment industry.;5. Harry Kizirian and Howard Kazanjian are not known for different industries.,NO;NO;YES;NO;NO,0.1
"When was the American singer, songwriter, record producer, dancer and actress born who's second studio album is Chapter II?",13-Oct-80,"The American singer, songwriter, record producer, dancer, and actress who released the second studio album ""Chapter II"" was born on December 3, 1981.","1. December 3, 1981 marked the birth of the American vocalist, lyricist, music producer, performer, and actor whose sophomore album is named Chapter II.;2. The artist known for her work in singing, songwriting, producing, dancing, and acting, whose second album goes by the title Chapter II, came into the world on December 3, 1981.;3. It was on December 3, 1981, that the American singer, songwriter, producer, dancer, and actress, credited with the album Chapter II, was born.;4. The American musician, who encompasses roles in singing, composing, producing, dancing, and acting, entered the world on December 3, 1981, introducing her second studio album as Chapter II.;5. December 3, 1981, witnessed the arrival of the American singer, songwriter, record producer, dancer, and actress, acclaimed for her work on the album Chapter II.",NO;NOT SURE;NO;YES;NO,"The American singer, songwriter, record producer, dancer, and actress who's second studio album is Chapter II was born on June 26, 1973.;The American singer, songwriter, record producer, dancer and actress was born on October 13, 1980.;The American singer, songwriter, record producer, dancer, and actress who released the album ""Chapter II"" was born on October 24, 1986.;Singer, songwriter, record producer, dancer, and actress, Ashanti, was born on October 13, 1980.;The American singer, songwriter, record producer, dancer, and actress who released her second studio album ""Chapter II"" was born on October 17, 1972.;The American singer, songwriter, record producer, dancer, and actress who released the second studio album ""Chapter II"" was born on January 25, 1981.;The American singer, songwriter, record producer, dancer, and actress who released the second studio album Chapter II was born on September 16, 1981.;The American singer, songwriter, record producer, dancer and actress, Ashanti, was born on October 13, 1980.;Ashanti, the American singer, songwriter, record producer, dancer, and actress known for her second studio album ""Chapter II,"" was born on October 13, 1980.;The American singer, songwriter, record producer, dancer, and actress who released the second studio album ""Chapter II"" was born on December 3, 1981.","1. The American singer, songwriter, record producer, dancer, and actress who released the second studio album ""Chapter II"" was not born on December 3, 1981.;2. The American singer, songwriter, record producer, dancer, and actress who released the second studio album ""Chapter II"" was born before December 3, 1981.;3. The American singer, songwriter, record producer, dancer, and actress who released the second studio album ""Chapter II"" was born after December 3, 1981.;4. The American singer, songwriter, record producer, dancer, and actress who released the second studio album ""Chapter II"" was not born in 1981.;5. The American singer, songwriter, record producer, dancer, and actress who released the second studio album ""Chapter II"" was not born on December 3.",YES;YES;YES;YES;YES,0.7
Tysons Galleria is located in what county?,Fairfax County,Tysons Galleria is located in Fairfax County.,1. Fairfax County houses the Tysons Galleria shopping center.;2. Tysons Galleria is situated within Fairfax County.;3. The county where Tysons Galleria is found is Fairfax County.;4. Fairfax County is where you will find Tysons Galleria.;5. The location of Tysons Galleria falls within Fairfax County.,YES;YES;YES;YES;YES,"Tysons Galleria is located in Fairfax County.;Tysons Galleria is located in Fairfax County.;Tysons Galleria is located in Fairfax County.;Tysons Galleria is located in Fairfax County.;Tysons Galleria is located in Fairfax County, Virginia.;Tysons Galleria is located in Fairfax County.;Tysons Galleria is located in Fairfax County.;Tysons Galleria is located in Fairfax County, Virginia.;Tysons Galleria is located in Fairfax County.;Tysons Galleria is located in Fairfax County.",1. Tysons Galleria is not located in Fairfax County.;2. Fairfax County is not where Tysons Galleria is located.;3. Tysons Galleria is situated in a county other than Fairfax.;4. Fairfax County is not the location of Tysons Galleria.;5. Tysons Galleria is not within the boundaries of Fairfax County.,NO;YES;YES;NO;NOT SURE,0.0
How large is the shopping mall where KGOT radio station has its studios ?,"728,000 ft²","The shopping mall where KGOT radio station has its studios is a 300,000 square foot mall.","1. The shopping mall where KGOT radio station has its studios spans 300,000 square feet in size.;2. KGOT radio station's studios are located within a 300,000 square foot shopping mall.;3. The shopping mall that houses KGOT radio station's studios covers an area of 300,000 square feet.;4. KGOT radio station operates from within a shopping mall that measures 300,000 square feet.;5. The 300,000 square foot shopping mall accommodates the studios of KGOT radio station.",NOT SURE;NO;NOT SURE;NOT SURE;NOT SURE,"The shopping mall where KGOT radio station has its studios is large enough to accommodate various shops, restaurants, and services.;The shopping mall where KGOT radio station has its studios is quite sizable, spanning over 200,000 square feet.;The shopping mall where KGOT radio station has its studios is approximately 350,000 square feet.;The shopping mall where KGOT radio station has its studios is quite spacious, comprising several floors encompassing 100,000 square feet in total.;KGOT radio station has its studios in a shopping mall that is large.;The shopping mall where KGOT radio station has its studios is large with multiple levels and numerous stores.;KGOT radio station has its studios in a large shopping mall.;The shopping mall where KGOT radio station has its studios is a large facility spanning over 600,000 square feet.;The shopping mall where KGOT radio station has its studios is quite large, with multiple levels and expansive floor space.;The shopping mall where KGOT radio station has its studios is a 300,000 square foot mall.","1. The shopping mall where KGOT radio station has its studios is not a 300,000 square foot mall.;2. The shopping mall where KGOT radio station has its studios is not large at 300,000 square feet.;3. KGOT radio station does not have its studios in a 300,000 square foot mall.;4. The shopping mall where KGOT radio station has its studios is smaller than a 300,000 square foot mall.;5. It is incorrect that the shopping mall where KGOT radio station has its studios measures 300,000 square feet.",YES;NO;YES;YES;YES,0.0
