,Unnamed: 0,Questions,Answers,extended_answer,base_response,synonyms,synonym_responses,antonyms,antonym_responses
37,37,How large is the shopping mall where KGOT radio station has its studios ?,"728,000 ft²","The shopping mall where KGOT radio station has its studios is 728,000 ft² in size.","The shopping mall where KGOT radio station has its studios is the Ward Village Shopping Center, which is a 250,000-square-foot outdoor shopping center located in Honolulu, Hawaii.","1. The Ward Village Shopping Center, where KGOT radio station is situated, spans an area of 250,000 square feet.;2. The outdoor shopping mall housing KGOT radio station's studios measures 250,000 square feet in size.;3. With a total floor area of 250,000 square feet, the Ward Village Shopping Center is the home of KGOT radio station's studios.;4. The shopping center where KGOT radio station is based covers a vast 250,000 square feet of outdoor space.;5. Measuring 250,000 square feet, the Ward Village Shopping Center is the location of KGOT radio station's studios in Honolulu, Hawaii.",YES;NO;NO;NO;NO,"1. The shopping mall where KGOT radio station has its studios is not the Ward Village Shopping Center.;2. The Ward Village Shopping Center is not a 250,000-square-foot outdoor shopping center.;3. The shopping mall where KGOT radio station has its studios is not located in Honolulu, Hawaii.;4. The shopping mall where KGOT radio station has its studios is not 250,000 square feet.;5. The shopping mall where KGOT radio station has its studios is not an outdoor shopping center.",NO;NO;NO;NO;NO
38,38,"Jacques Mathou starred in Delicatessen, the 1991 French movie in the style of which celebrated American animator?",Terry Gilliam,"Jacques Mathou starred in Delicatessen, the 1991 French movie in the style of Terry Gilliam, the celebrated American animator.","The 1991 French movie Delicatessen, starring Jacques Mathou, was in the style of celebrated American animator Tim Burton, known for his dark and quirky sense of humor.","1. The 1991 French movie Delicatessen, starring Jacques Mathou, was in the style of celebrated American animator Tim Burton, known for his dark and quirky sense of humor.;2. Jacques Mathou's 1991 French film Delicatessen was reminiscent of the distinctive style of celebrated American animator Tim Burton, famous for his dark and offbeat humor.;3. Tim Burton's signature dark and quirky humor was evident in the 1991 French movie Delicatessen, starring Jacques Mathou, which paid homage to his celebrated American animation style.;4. The 1991 French film Delicatessen, starring Jacques Mathou, was heavily influenced by the unique style of celebrated American animator Tim Burton, known for his dark and whimsical sense of humor.;5. Celebrated American animator Tim Burton's dark and quirky aesthetic was reflected in the 1991 French movie Delicatessen, starring Jacques Mathou, which showcased his signature style.",YES;YES;NO;NO;NO,"1. The 1991 French movie Delicatessen, starring Jacques Mathou, was not in the style of celebrated American animator Tim Burton, known for his dark and quirky sense of humor.;2. Tim Burton, known for his dark and quirky sense of humor, did not influence the style of the 1991 French movie Delicatessen, starring Jacques Mathou.;3. The 1991 French movie Delicatessen, starring Jacques Mathou, was not influenced by the style of celebrated American animator Tim Burton, known for his dark and quirky sense of humor.;4. The style of the 1991 French movie Delicatessen, starring Jacques Mathou, was not characterized by celebrated American animator Tim Burton, known for his dark and quirky sense of humor.;5. Delicatessen, the 1991 French movie starring Jacques Mathou, was not in the style of Tim Burton, known for his dark and quirky sense of humor.",NO;NO;NO;NO;NO
39,39,What is the height of the player who won the 2015 AFL Rising Star award?,1.95 m,The player who won the 2015 AFL Rising Star award is 1.95 m tall.,"The player who won the 2015 AFL Rising Star award, Jacob Weitering, is 196 centimeters (6 feet 5 inches) tall.","1. Jacob Weitering, the recipient of the 2015 AFL Rising Star award, stands at 196 centimeters (6 feet 5 inches) in height.;2. The winner of the 2015 AFL Rising Star award, Jacob Weitering, measures 196 centimeters (6 feet 5 inches) tall.;3. Jacob Weitering, the 2015 AFL Rising Star award winner, has a height of 196 centimeters (6 feet 5 inches).;4. At 196 centimeters (6 feet 5 inches) tall, Jacob Weitering was the 2015 AFL Rising Star award winner.;5. Jacob Weitering, the 2015 AFL Rising Star award recipient, is 196 centimeters (6 feet 5 inches) in stature.",YES;YES;YES;NO;YES,1. The player who won the 2015 AFL Rising Star award is not 196 centimeters (6 feet 5 inches) tall.;2. Jacob Weitering is not 196 centimeters (6 feet 5 inches) tall.;3. The player who won the 2015 AFL Rising Star award is not 196 centimeters tall.;4. The height of the player who won the 2015 AFL Rising Star award is not 196 centimeters (6 feet 5 inches).;5. Jacob Weitering is not 6 feet 5 inches tall.,NO;NO;NO;NO;NO
40,40,The movies The Boatniks and The Great Locomotive Chase were both made by which production company?,Walt Disney Productions,"The movies The Boatniks and The Great Locomotive Chase were both made by Walt Disney Productions, a renowned production company known for creating beloved family-friendly films.",The movies The Boatniks and The Great Locomotive Chase were both produced by Walt Disney Productions.,1. Walt Disney Productions was responsible for creating both The Boatniks and The Great Locomotive Chase.;2. Walt Disney Productions produced the films The Boatniks and The Great Locomotive Chase.;3. The Boatniks and The Great Locomotive Chase were produced under the banner of Walt Disney Productions.;4. Walt Disney Productions brought The Boatniks and The Great Locomotive Chase to the big screen.;5. Walt Disney Productions was the production company behind the movies The Boatniks and The Great Locomotive Chase.,YES;NO;YES;YES;NO,1. The movies The Boatniks and The Great Locomotive Chase were not both produced by Walt Disney Productions.;2. Walt Disney Productions did not produce both The Boatniks and The Great Locomotive Chase.;3. The Boatniks and The Great Locomotive Chase were not produced by Walt Disney Productions.;4. Walt Disney Productions did not make both The Boatniks and The Great Locomotive Chase.;5. The movies The Boatniks and The Great Locomotive Chase were produced by a company other than Walt Disney Productions.,YES;YES;NO;YES;NO
41,41,Mick Carter is the landlord of a public house located at what address?,"46 Albert Square, Walford, London E20","Mick Carter is the landlord of a public house located at 46 Albert Square, Walford, London E20, which is the address where he manages the establishment.","Mick Carter is the landlord of the Queen Vic, a fictional public house located at 44 Evergreen Road in the BBC soap opera EastEnders.","1. Mick Carter is the proprietor of the Queen Vic, a fictional public house situated at 44 Evergreen Road in the BBC soap opera EastEnders.;2. The Queen Vic, a fictional public house located at 44 Evergreen Road in the BBC soap opera EastEnders, is managed by Mick Carter.;3. Mick Carter is the owner of the Queen Vic, a fictional public house situated at 44 Evergreen Road, which is a part of the BBC soap opera EastEnders.;4. At 44 Evergreen Road in the BBC soap opera EastEnders, the Queen Vic, a fictional public house, is run by Mick Carter.;5. Mick Carter is the landlord of the Queen Vic, a fictional public house located at 44 Evergreen Road, which is a key setting in the BBC soap opera EastEnders.",YES;YES;YES;YES;YES,1. Mick Carter is not the landlord of the Queen Vic.;2. The Queen Vic is not located at 44 Evergreen Road.;3. Mick Carter is not the landlord of a public house located at 44 Evergreen Road.;4. The Queen Vic is not a fictional public house.;5. Mick Carter is not the landlord of a public house in the BBC soap opera EastEnders.,NO;NO;NO;YES;NO
42,42,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,Art Laboe and Scout Tufankjian share Armenian as their country of ancestry.,"Art Laboe and Scout Tufankjian share Armenian ancestry, as Laboe's parents were Armenian immigrants and Tufankjian's family has Armenian roots.","1. Art Laboe and Scout Tufankjian share a common ancestral homeland, Armenia, as Laboe's parents were Armenian immigrants and Tufankjian's family has Armenian roots.;2. The ancestral country of Art Laboe and Scout Tufankjian is Armenia, as Laboe's parents were Armenian immigrants and Tufankjian's family has Armenian roots.;3. Art Laboe and Scout Tufankjian have a shared ancestral origin in Armenia, as Laboe's parents were Armenian immigrants and Tufankjian's family has Armenian roots.;4. Armenia is the ancestral country of Art Laboe and Scout Tufankjian, as Laboe's parents were Armenian immigrants and Tufankjian's family has Armenian roots.;5. Art Laboe and Scout Tufankjian share a common ancestral heritage from Armenia, as Laboe's parents were Armenian immigrants and Tufankjian's family has Armenian roots.",YES;YES;YES;YES;YES,1. Art Laboe and Scout Tufankjian do not share Armenian ancestry.;2. Art Laboe and Scout Tufankjian do not share Armenian roots.;3. Art Laboe and Scout Tufankjian's parents and family do not have Armenian ancestry.;4. Art Laboe and Scout Tufankjian do not have Armenian immigrant parents.;5. Art Laboe and Scout Tufankjian's ancestry is not Armenian.,NO;NO;NO;NO;NO
43,43,How many Senate seats will be contested during the midterm elections that Nancy Soderberg has filed to run for Congress in?,33,33 Senate seats will be contested during the midterm elections that Nancy Soderberg has filed to run for Congress in.,"Nancy Soderberg has filed to run for Florida's 22nd congressional district, which is a House of Representatives seat, not a Senate seat, and therefore will not be contested during the midterm elections.","1. Nancy Soderberg has filed to run for a House of Representatives seat, which will not be contested during the midterm elections.;2. Florida's 22nd congressional district, the seat Nancy Soderberg has filed to run for, is a House of Representatives seat, not a Senate seat, and therefore will not be contested during the midterm elections.;3. Nancy Soderberg's bid for Congress in Florida's 22nd district, a House of Representatives seat, will not involve contesting Senate seats during the midterm elections.;4. The midterm elections will not feature Nancy Soderberg contesting any Senate seats, as she has filed to run for a House of Representatives seat in Florida's 22nd district.;5. Nancy Soderberg's congressional campaign in Florida's 22nd district, a House of Representatives seat, will not involve competing for Senate seats during the midterm elections.",NO;NO;NO;YES;NO,"1. Nancy Soderberg will contest Senate seats during the midterm elections.;2. Senate seats will be contested during the midterm elections that Nancy Soderberg has filed to run for Congress in.;3. Nancy Soderberg's congressional run will result in Senate seats being contested during the midterm elections.;4. The midterm elections will feature Senate seats being contested, as a result of Nancy Soderberg's decision to run for Congress.;5. Nancy Soderberg's decision to run for Congress will not affect the number of Senate seats being contested during the midterm elections.",YES;NO;NO;NO;NO
44,44,How many restaurants comprise the quick service restaurant chain that Ron Joyce helped found?,"4,613","Ron Joyce helped found a quick service restaurant chain that comprises a total of 4,613 restaurants.","Tim Hortons, the quick service restaurant chain co-founded by Ron Joyce, has over 4,800 locations worldwide.","1. Tim Hortons, the quick service restaurant chain co-founded by Ron Joyce, has more than 4,800 eateries globally.;2. The quick service restaurant chain co-founded by Ron Joyce, Tim Hortons, has over 4,800 establishments worldwide.;3. With over 4,800 locations globally, Tim Hortons, the quick service restaurant chain co-founded by Ron Joyce, is a significant presence.;4. Tim Hortons, the quick service restaurant chain co-founded by Ron Joyce, boasts a global network of over 4,800 restaurants.;5. The quick service restaurant chain co-founded by Ron Joyce, Tim Hortons, has a worldwide presence of more than 4,800 locations.",YES;YES;YES;YES;YES,"1. Tim Hortons, the quick service restaurant chain co-founded by Ron Joyce, has fewer than 4,800 locations worldwide.;2. Tim Hortons, the quick service restaurant chain co-founded by Ron Joyce, does not have over 4,800 locations worldwide.;3. There are less than 4,800 locations in the quick service restaurant chain co-founded by Ron Joyce.;4. The quick service restaurant chain co-founded by Ron Joyce does not have more than 4,800 locations worldwide.;5. Tim Hortons, the quick service restaurant chain co-founded by Ron Joyce, has 4,799 or fewer locations worldwide.",YES;NO;NO;NO;NO
45,45,"What type of film are both ""500 Years Later"" and ""Manson""?",documentary,"Both ""500 Years Later"" and ""Manson"" are documentary films.","Both ""500 Years Later"" and ""Manson"" are documentary films, with ""500 Years Later"" being a 2004 documentary about the legacy of Christopher Columbus and ""Manson"" being a 2017 documentary about the life and crimes of Charles Manson.","1. Both ""500 Years Later"" and ""Manson"" are non-fiction films.;2. The films ""500 Years Later"" and ""Manson"" belong to the documentary genre.;3. ""500 Years Later"" and ""Manson"" are factual films that explore historical events.;4. The movies ""500 Years Later"" and ""Manson"" are informative documentaries.;5. ""500 Years Later"" and ""Manson"" are documentary-style films that examine real-life subjects.",NO;NO;NO;NO;NO,"1. Both ""500 Years Later"" and ""Manson"" are not documentary films.;2. ""500 Years Later"" and ""Manson"" are not both documentary films.;3. ""500 Years Later"" and ""Manson"" are not documentaries.;4. ""500 Years Later"" is not a documentary film, nor is ""Manson"".;5. Neither ""500 Years Later"" nor ""Manson"" is a documentary film.",YES;YES;NO;NO;NO
46,46,What professions did S. Sylvan Simon and Danny Cannon have in common?,director and producer,S. Sylvan Simon and Danny Cannon had the professions of director and producer in common.,"S. Sylvan Simon and Danny Cannon were both film directors, with Simon directing over 30 films during his career and Cannon directing films such as ""Point of No Return"" and ""Batman Forever"".","1. S. Sylvan Simon and Danny Cannon shared a profession as cinematic storytellers.;2. Both S. Sylvan Simon and Danny Cannon were masters of the silver screen, with Simon helming over 30 films and Cannon directing notable films like ""Point of No Return"" and ""Batman Forever"".;3. S. Sylvan Simon and Danny Cannon had a common occupation as film helmers, with Simon's extensive career spanning over 30 films and Cannon's credits including ""Point of No Return"" and ""Batman Forever"".;4. S. Sylvan Simon and Danny Cannon were united in their profession as movie directors, with Simon's impressive body of work and Cannon's notable films like ""Point of No Return"" and ""Batman Forever"".;5. S. Sylvan Simon and Danny Cannon shared a profession as film directors, with Simon's prolific career and Cannon's credits including ""Point of No Return"" and ""Batman Forever"".",NO;NO;NO;NO;NO,1. S. Sylvan Simon and Danny Cannon were not both film directors.;2. S. Sylvan Simon and Danny Cannon did not have film direction in common.;3. S. Sylvan Simon and Danny Cannon did not share a profession.;4. S. Sylvan Simon and Danny Cannon were not film directors.;5. S. Sylvan Simon and Danny Cannon did not have a common profession in film direction.,YES;NO;NO;NO;NO
47,47,"Where is the academy, for which Joseph D. Stewart was appointed Superintendent, located?","Kings Point, New York","The academy, for which Joseph D. Stewart was appointed Superintendent, is located in Kings Point, New York.","The academy for which Joseph D. Stewart was appointed Superintendent is the University of the South, a private Episcopal liberal arts university located in Sewanee, Tennessee, United States.","1. The academy where Joseph D. Stewart served as Superintendent is situated in Sewanee, Tennessee, United States, and is known as the University of the South, a private Episcopal liberal arts institution.;2. Located in Sewanee, Tennessee, United States, the University of the South, a private Episcopal liberal arts university, is the academy where Joseph D. Stewart was appointed Superintendent.;3. The University of the South, a private Episcopal liberal arts university in Sewanee, Tennessee, United States, is the academy that Joseph D. Stewart was appointed to lead as Superintendent.;4. In Sewanee, Tennessee, United States, the University of the South, a private Episcopal liberal arts university, is the academy where Joseph D. Stewart held the position of Superintendent.;5. The University of the South, a private Episcopal liberal arts university located in Sewanee, Tennessee, United States, is the academy that Joseph D. Stewart was appointed to oversee as Superintendent.",YES;NO;NO;NO;YES,"1. The academy for which Joseph D. Stewart was appointed Superintendent is not the University of the South.;2. The University of the South is not the academy for which Joseph D. Stewart was appointed Superintendent.;3. Joseph D. Stewart was not appointed Superintendent of the University of the South.;4. The academy for which Joseph D. Stewart was appointed Superintendent is not located in Sewanee, Tennessee, United States.;5. The academy for which Joseph D. Stewart was appointed Superintendent is not a private Episcopal liberal arts university.",NO;NO;NO;NO;NO
48,48,Luke Null is an actor who was on the program that premiered its 43rd season on which date?,30-Sep-17,"Luke Null is an actor who was on the program that premiered its 43rd season on September 30, 2017.","Luke Null, an actor, was on Saturday Night Live, which premiered its 43rd season on September 29, 2018.","1. Luke Null, a talented actor, was part of the cast on Saturday Night Live, which kicked off its 43rd season on September 29, 2018.;2. The actor Luke Null was featured on Saturday Night Live, which debuted its 43rd season on September 29, 2018.;3. Luke Null, a skilled actor, was a cast member on Saturday Night Live, which premiered its 43rd season on September 29, 2018.;4. Saturday Night Live, which launched its 43rd season on September 29, 2018, had Luke Null, an actor, as part of its cast.;5. Luke Null, an actor with impressive credentials, was a part of the Saturday Night Live team, which began its 43rd season on September 29, 2018.",NO;NO;NO;NO;NO,"1. Luke Null is not an actor who was on the program that premiered its 43rd season on September 29, 2018.;2. Luke Null was not on Saturday Night Live, which premiered its 43rd season on September 29, 2018.;3. Saturday Night Live did not premiere its 43rd season on September 29, 2018.;4. Luke Null was not on the program that premiered its 43rd season on September 29, 2018.;5. Saturday Night Live did not premiere its 43rd season.",NO;NO;NO;NO;NO
49,49,"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but whose attempt to rid India of British rule during what war left a troubled legacy?",World War II,"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but his attempt to rid India of British rule during World War II left a troubled legacy.","The Azad Hind Dal was created by Subhas Chandra Bose, an Indian nationalist who led the Indian National Army during World War II, attempting to rid India of British rule through armed struggle, leaving a complex and contested legacy.","1. The Azad Hind Dal was founded by Subhas Chandra Bose, a renowned Indian nationalist whose unwavering patriotism earned him a revered status in India, but whose endeavor to liberate India from British dominance during World War II has been shrouded in controversy.;2. Subhas Chandra Bose, a prominent Indian nationalist, created the Azad Hind Dal, which he led during World War II in a bold attempt to expel British colonial rule from India, leaving behind a legacy marked by both admiration and debate.;3. The Azad Hind Dal was established by Subhas Chandra Bose, an Indian nationalist whose unyielding patriotism made him a celebrated figure in India, but whose campaign to free India from British occupation during World War II has been the subject of ongoing historical scrutiny.;4. Subhas Chandra Bose, a celebrated Indian nationalist, founded the Azad Hind Dal, which he led during World War II in a daring bid to overthrow British colonial rule in India, resulting in a complex and contested historical record.;5. The Azad Hind Dal was created by Subhas Chandra Bose, an Indian nationalist whose unshakeable patriotism earned him a revered status in India, but whose attempt to rid India of British dominance during World War II has been the subject of ongoing historical debate and analysis.",YES;YES;YES;YES;YES,1. The Azad Hind Dal was not created by Subhas Chandra Bose.;2. Subhas Chandra Bose did not lead the Indian National Army during World War II.;3. The Azad Hind Dal was not created to rid India of British rule.;4. Subhas Chandra Bose's attempt to rid India of British rule during World War II did not leave a complex and contested legacy.;5. Subhas Chandra Bose was not an Indian nationalist.,NO;NO;NO;NO;NO
50,50,"The 2011 La Manga Cup was won by Viking, who beat which Norwegian football club from the town of Kristiansand, currently playing in Tippeligaen having been promoted from Adeccoligaen in 2012?",IK Start,"IK Start, the Norwegian football club from the town of Kristiansand, currently playing in Tippeligaen having been promoted from Adeccoligaen in 2012, was beaten by Viking in the 2011 La Manga Cup.","Viking beat Start, a Norwegian football club from Kristiansand, in the 2011 La Manga Cup final.","1. Viking emerged victorious in the 2011 La Manga Cup by defeating Start, a Norwegian football club from Kristiansand, currently playing in Tippeligaen after being promoted from Adeccoligaen in 2012.;2. In the 2011 La Manga Cup final, Viking triumphed over Start, a Norwegian football club from Kristiansand, which had been promoted from Adeccoligaen to Tippeligaen in 2012.;3. Viking won the 2011 La Manga Cup by defeating Start, a Norwegian football club from Kristiansand, that had risen to Tippeligaen after being promoted from Adeccoligaen in 2012.;4. The 2011 La Manga Cup was won by Viking, who defeated Start, a Norwegian football club from Kristiansand, currently playing in Tippeligaen after being promoted from Adeccoligaen in 2012.;5. Viking claimed victory in the 2011 La Manga Cup by beating Start, a Norwegian football club from Kristiansand, which had been promoted from Adeccoligaen to Tippeligaen in 2012.",NO;NO;NO;NO;NO,"1. Viking did not beat Start in the 2011 La Manga Cup final.;2. The 2011 La Manga Cup was not won by Viking, who beat Start.;3. Viking did not win the 2011 La Manga Cup, beating Start.;4. Start did not lose to Viking in the 2011 La Manga Cup final.;5. Viking did not beat a Norwegian football club from Kristiansand in the 2011 La Manga Cup final.",NO;NO;NO;NO;NO
51,51,"Which band has released the most studio albums, Blonde Redhead or Rob Zombie's band White Zombie?",Blonde Redhead,Blonde Redhead has released the most studio albums compared to Rob Zombie's band White Zombie.,"Blonde Redhead has released 12 studio albums, while White Zombie, the band led by Rob Zombie, has released 4 studio albums.","1. Blonde Redhead has surpassed all others in terms of studio album releases, with a total of 12.;2. White Zombie, the band founded by Rob Zombie, has a relatively modest output of 4 studio albums.;3. Blonde Redhead has a significant lead in the number of studio albums released, with a total of 12.;4. Rob Zombie's band White Zombie has a relatively limited discography, with only 4 studio albums to its name.;5. Blonde Redhead has a substantial advantage in terms of studio album releases, with a total of 12 compared to White Zombie's 4.",NO;YES;NO;YES;YES,"1. Blonde Redhead has not released the most studio albums.;2. White Zombie's band, led by Rob Zombie, has released more studio albums than Blonde Redhead.;3. Blonde Redhead does not have the highest number of studio albums.;4. Rob Zombie's band, White Zombie, has not released the least number of studio albums.;5. Blonde Redhead is not the band with the fewest studio albums.",NO;NO;NO;NO;NO
52,52,Where was the movement that August Brancart published literature from centerd?,Western Europe,The movement that August Brancart published literature from was centered in Western Europe.,"The movement that August Brancart published literature from, known as the ""Belgian Literary Renaissance"", was centered in Brussels, Belgium.","1. The Belgian Literary Renaissance, a movement that August Brancart published literature from, had its core in Brussels, Belgium.;2. The literary movement that August Brancart was associated with, known as the ""Belgian Literary Renaissance"", had its epicenter in Brussels, Belgium.;3. The literary revival that August Brancart contributed to, referred to as the ""Belgian Literary Renaissance"", was rooted in Brussels, Belgium.;4. The ""Belgian Literary Renaissance"", a literary movement that August Brancart was a part of, had its focal point in Brussels, Belgium.;5. The ""Belgian Literary Renaissance"", a literary movement that August Brancart published literature from, was centered around Brussels, Belgium.",YES;YES;YES;YES;YES,"1. The movement that August Brancart published literature from was not centered in Brussels, Belgium.;2. The ""Belgian Literary Renaissance"" was not centered in Brussels, Belgium.;3. The movement that August Brancart published literature from was not centered in Belgium.;4. The movement that August Brancart published literature from was not centered somewhere.;5. The movement that August Brancart published literature from was not centered.",NO;NO;NO;NO;NO
53,53,Stephen susco wrote a movie produced by which american film actor?,Sam Raimi,Sam Raimi produced the movie written by Stephen Susco.,"Stephen Susco wrote the screenplay for the 2007 horror film ""P2"", which was produced by Mark Canton.","1. Mark Canton, an American film producer, brought Stephen Susco's screenplay to life in the 2007 horror film ""P2"".;2. The 2007 horror film ""P2"" was produced by Mark Canton, who collaborated with Stephen Susco on the screenplay.;3. Stephen Susco's screenplay for the 2007 horror film ""P2"" was produced by Mark Canton, a renowned American film producer.;4. Mark Canton, a prominent American film producer, oversaw the production of the 2007 horror film ""P2"", which was written by Stephen Susco.;5. Stephen Susco's work on the screenplay for the 2007 horror film ""P2"" was supported by Mark Canton, a talented American film producer.",YES;YES;YES;YES;YES,"1. Mark Canton did not produce a movie written by Stephen Susco.;2. Stephen Susco did not write a movie produced by Mark Canton.;3. The 2007 horror film ""P2"" was not produced by Mark Canton.;4. Mark Canton did not produce the screenplay for the 2007 horror film ""P2"".;5. Stephen Susco did not write the screenplay for a movie produced by Mark Canton.",NO;NO;NO;NO;NO
54,54,are the documentaries Out of Place and The Mosuo Sisters by the same director ?,no,"No, the documentaries Out of Place and The Mosuo Sisters are not directed by the same director.","The documentaries ""Out of Place"" and ""The Mosuo Sisters"" are both directed by Anne Bohringer, a French documentary filmmaker.","1. The documentaries ""Out of Place"" and ""The Mosuo Sisters"" share a common director, Anne Bohringer, a French documentary filmmaker.;2. Anne Bohringer, a French documentary filmmaker, is the director behind both ""Out of Place"" and ""The Mosuo Sisters"".;3. Both ""Out of Place"" and ""The Mosuo Sisters"" were directed by Anne Bohringer, a French documentary filmmaker known for her work.;4. Anne Bohringer, a French documentary filmmaker, is the sole director credited for the documentaries ""Out of Place"" and ""The Mosuo Sisters"".;5. The documentaries ""Out of Place"" and ""The Mosuo Sisters"" are the work of Anne Bohringer, a French documentary filmmaker with a distinct style.",YES;YES;NO;YES;NO,"1. The documentaries ""Out of Place"" and ""The Mosuo Sisters"" are not both directed by Anne Bohringer.;2. Anne Bohringer did not direct both documentaries ""Out of Place"" and ""The Mosuo Sisters"".;3. The documentaries ""Out of Place"" and ""The Mosuo Sisters"" have different directors.;4. Anne Bohringer is not the director of both documentaries ""Out of Place"" and ""The Mosuo Sisters"".;5. The director of ""Out of Place"" and ""The Mosuo Sisters"" is not Anne Bohringer.",NO;NO;YES;NO;NO
55,55,Watercliffe Meadow Primary Schools name change is an example of what term generally used to describe the avoidance of certain language?,political correctness,"The name change of Watercliffe Meadow Primary School is an example of political correctness, which is a term generally used to describe the avoidance of certain language.","The name change of Watercliffe Meadow Primary School from ""Watercliffe Meadows Primary School"" to ""Watercliffe Meadow Primary School"" is an example of euphemism, which is a term generally used to describe the avoidance of certain language or words that may be considered offensive, unpleasant, or sensitive.","1. The name change of Watercliffe Meadow Primary School from ""Watercliffe Meadows Primary School"" to ""Watercliffe Meadow Primary School"" is an illustration of circumlocution, which is a term generally used to describe the avoidance of certain language or words that may be considered offensive, unpleasant, or sensitive.;2. The renaming of Watercliffe Meadow Primary School from ""Watercliffe Meadows Primary School"" to ""Watercliffe Meadow Primary School"" exemplifies the concept of euphemism, which is a term generally used to describe the avoidance of certain language or words that may be considered offensive, unpleasant, or sensitive.;3. The alteration of Watercliffe Meadow Primary School's name from ""Watercliffe Meadows Primary School"" to ""Watercliffe Meadow Primary School"" is a prime example of evasive language, which is a term generally used to describe the avoidance of certain language or words that may be considered offensive, unpleasant, or sensitive.;4. The name change of Watercliffe Meadow Primary School from ""Watercliffe Meadows Primary School"" to ""Watercliffe Meadow Primary School"" is a manifestation of diplomatic language, which is a term generally used to describe the avoidance of certain language or words that may be considered offensive, unpleasant, or sensitive.;5. The renaming of Watercliffe Meadow Primary School from ""Watercliffe Meadows Primary School"" to ""Watercliffe Meadow Primary School"" is a case in point for the concept of indirect speech, which is a term generally used to describe the avoidance of certain language or words that may be considered offensive, unpleasant, or sensitive.",NO;NO;NO;NO;NO,"1. The name change of Watercliffe Meadow Primary School is not an example of euphemism.;2. The term euphemism is not generally used to describe the avoidance of certain language or words that may be considered offensive, unpleasant, or sensitive.;3. Watercliffe Meadow Primary School's name change is not an example of the term euphemism.;4. The name change of Watercliffe Meadow Primary School from ""Watercliffe Meadows Primary School"" to ""Watercliffe Meadow Primary School"" is not an example of euphemism.;5. Euphemism is not a term generally used to describe the name change of Watercliffe Meadow Primary School.",NO;NO;NO;NO;NO
56,56,"Approximately how many locations is BJ's Wholesale Club operating in, as of early 2008?",650 locations,"As of early 2008, BJ's Wholesale Club was operating approximately 650 locations.","As of early 2008, BJ's Wholesale Club was operating approximately 185 warehouse clubs across 15 states in the United States.","1. As of early 2008, BJ's Wholesale Club was operating roughly 185 warehouse clubs across 15 states in the United States.;2. By early 2008, BJ's Wholesale Club had established around 185 warehouse clubs in 15 states across the United States.;3. As of the early part of 2008, BJ's Wholesale Club was running approximately 185 warehouse clubs in 15 states within the United States.;4. By the beginning of 2008, BJ's Wholesale Club had approximately 185 warehouse clubs operating in 15 states across the United States.;5. As of the start of 2008, BJ's Wholesale Club was operating around 185 warehouse clubs in 15 states across the United States.",YES;YES;YES;YES;YES,"1. As of early 2008, BJ's Wholesale Club was not operating approximately 185 warehouse clubs across 15 states in the United States.;2. BJ's Wholesale Club was not operating approximately 185 warehouse clubs as of early 2008.;3. As of early 2008, BJ's Wholesale Club was not operating across 15 states in the United States.;4. BJ's Wholesale Club was not operating approximately 185 warehouse clubs as of early 2008 in the United States.;5. As of early 2008, BJ's Wholesale Club was not operating approximately 185 warehouse clubs.",NO;NO;NO;NO;YES
57,57,"What year was the American healthy lifestyle magazine, in which Georgia Rickard contributed, started?",1950,"The American healthy lifestyle magazine, in which Georgia Rickard contributed, was started in 1950.","The American healthy lifestyle magazine, in which Georgia Rickard contributed, was Self, which was first published in 1979.","1. Self, the American healthy lifestyle magazine where Georgia Rickard contributed, was launched in 1979.;2. In 1979, the American healthy lifestyle magazine that Georgia Rickard contributed to, Self, made its debut.;3. Georgia Rickard contributed to Self, the American healthy lifestyle magazine that was first published in 1979.;4. The American healthy lifestyle magazine, Self, which Georgia Rickard contributed to, was founded in 1979.;5. Georgia Rickard's contributions were to Self, the American healthy lifestyle magazine that started in 1979.",NO;NO;NO;NO;NO,"1. The American healthy lifestyle magazine, in which Georgia Rickard contributed, was not Self, which was first published in 1979.;2. Self, which was first published in 1979, was not the American healthy lifestyle magazine, in which Georgia Rickard contributed.;3. The American healthy lifestyle magazine, in which Georgia Rickard contributed, was not first published in 1979.;4. Self, which was not first published in 1979, was the American healthy lifestyle magazine, in which Georgia Rickard contributed.;5. The American healthy lifestyle magazine, in which Georgia Rickard contributed, was not started in 1979.",NO;NO;NO;NO;NO
