Questions,Answers
When was the rock band to which Pre-Creedence name was changed active? ,1960s and early 1970s
Which tour did The Beatles release their album Dark Horse?,American tour
"Swiss music duo Double released their best known single ""The Captain of Her Heart"" in what year?",1986
What did the main character in Unbroken do in the Olympics?,Olympic distance runner
"Which continent are both magazines, Sayidaty and Closer published?",Europe
"Which documentary was filmed first, Almost Sunrise or Hail! Hail! Rock 'n' Roll?",Hail! Hail! Rock 'n' Roll
Chandgi Ram won a gold medal in 1970 in a continental multi-sport event held at which city ?,Bangkok
Gary L. Bennett was a part of the space missions that have a primary destination of what celestial body?,Sun
What position did the former Major League Baseball player play who worked on the same broadcast team as Kim Kelch?,first baseman
The Fort Worth Zoo was rated as one of the top zoos by a magazine published where? ,"Birmingham, Alabama"
What creature of American folklore gained notoriety in 1964?,Dewey Lake Monster
Pandikona and Berger Blanc Suisse are both what kinds of animals?,dogs
What profession do Raj Kapoor and Mike Cahill share?,director
Robbie Tucker plays in what series that follows a group of friends who run an Irish bar?,It's Always Sunny in Philadelphia
Are the Sleepers located north or south of the Kancamagus Highway?,south
"Illmatic, the debut studio album by Nas which featured the song ""N.Y. State of Mind"", was released on what date by which record label?","April 19, 1994, by Columbia Records"
"What party was Johan Henrik Deuntzer a part of before the party that translates to the ""Radical Left?""","Liberal ""Venstre"" party"
"What film was the screen debut of the musician nicknamed ""Lady Day""?",Symphony in Black
"Who was considered more iconic, Charlie Chaplin or Bruce Bilson?","Charles Spencer ""Charlie"" Chaplin"
To where did the war criminal who is the fictional defendant in the film After the Truth flee in real life ?,South America
Were Jeff Martin and Kyle Patrick both in The Click Five?,no
What military formation were participated in by both Oscar W. Koch and General George Smith Patton Jr. ?,Third Army
Paul Keenan composes works from Anglo-Saxon texts such as the codex donated to the library of Exeter Cathedral by whom?,Leofric
What is the 2010 census population of the county where Wildcat Brook flows through Jackson?,"47,818"
"Which man, Ibn Tufail or Ali Qushji, is best known for the development of astronomical physics independent from natural philosophy?",Ali Qushji
Which comic series involves characters such as Nick Fury and Baron von Strucker?,Marvel
Which system of mountains in eastern North America is Hamburg Mountains a range region of,The Appalachian Mountains
"What was the nickname of Anthony Corallo, boss to ""Sal"" Avellino and head of the Lucchese mob family mob in New York?",Tony Ducks
Are Brainerd Lakes Regional Airport and Sawyer International Airport located in Europe?,no
"Pawnography, featuring Richard Corey Harrison, is filmed in what shop and town?",Gold & Silver Pawn Shop in Las Vegas
" Also known as the Great Action, what other name did this event go by?",Große Aktion
"Which film was released first, Jawbreaker or Havenhurst?",Jawbreaker
"The actress who played Laurie Keller in the episode ""Pilot"" of the show Cougartown won what award in 2011?",Critics' Choice Television Award for Best Supporting Actress in a Comedy Series
MadMaze was developed by Eric Goldberg as what type of game? ,role-playing game
What year was the Argentine singer and actor who both directed and starred in El Tio Disparate born?,1942
Where is the English punk rock band which Howard Devoto is the original singer of formed,in Bolton
What is the current home arena of the NHL team Chris Summers plays for?,PPG Paints Arena
The star in a 1953 epic Metro-Goldwyn-Mayer film adaption of the play by Shakespeare had what occupation?,"American actor, film director and political activist"
What singer who sang in church during her childhood did Stacy Barthe pen album tracks for?,Katy Perry
"What writer is older, Bernard Malamud or Lois McMaster Bujold?",Bernard Malamud
Arabella Chapman graduated from which school that was opened as the Albany Free Academy?,Albany High School
What is the height of the tallest mountain from which the Glen River flows?,850 m
Who was the vizier of Ebla after one who had served king Ishar Damu for 17 years?,Ibrium
What company claims to manufacture one out of every three objects that provide a shelf life typically ranging from one to five years?,Crown Holdings Incorporated
"What cartel drug lord with the reputation as ""The King of Cocaine"" partnered with Jack Carlton Reed to provide drugs to the United States in the 20th century?",Pablo Escobar
"Chris Cornell and Godsmack are both American rock icons, who is the founder of Godsmack?",Sully Erna
"In what city was the second bowl game to air on all the ""big four"" television networks played?",Miami
What type of games are both Castle Risk and Elfenland?,board game
Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André
What psychosis shares a name with an enemy fought by the protagonists in an animated show by Hasbro?,Wendigo
What was the birth name of the ex-slave abolitionist featured in the art installation The Dinner Party?,Isabella (Belle) Baumfree
When did Belgium racer Stoffel Vandoorne win the Monaco GP2 Series round?,22 and 23 May 2015
"Who was born more recently, Flula Borg, or Dirk Nowitzki?",Flula Borg
In what basketball position does the brother of Saulius Kuzminskas play?,small forward
What type of the district is the Downtown Bentonville of the state in the southeastern region of the United States which is home to over 3 million people as of 2017?,business district
Dru Decaro is the lead guitarist for the RnB artist who began creating music at what age?,thirteen
What country of origin does Jerry Barrett and Florence Nightingale have in common?,English
"Who was this American Founding Father, a proponent of democracy, republicanism, and individual rights, examined Ice Age fossils of Kentucky's Big Bone Lick?",Thomas Jefferson
"Who was the director of the 2007 American fantasy comedy film in which the actor best known for playing Michael Scott on the the American version of ""The Office"" starred?",Tom Shadyac
Which of the three main psychedelic compounds found in the Psilocybin genus mushroom are converted to psilocin by the body?,psilocin
Where did Henri Christophe and other slaves hold an uprising from 1791 to 1804 that led to the founding of a state which was both free from slavery and ruled by non-whites and former captives?,Saint-Domingue
What profession is shared by both Monty Banks and George Seaton?,film director
How many employees does the company that unveiled a deal to acquire IGATE have? ,"190,000 employees"
"When was the movie adaption of Jennifer Weiner's novel ""In Her Shoes"" released?",2005
Korea University College of Education is based in the city that ranks what in the world by terms of size?,16th
"Which writer had a longer lifespan, Ann-Marie MacDonald or Michel Butor?",Michel Butor
"What is the name of the genocidal mass slaughter of Tutsi Rwanda, in which Cyprian and Daphrose Rugamba were assassinated?",Rwandan genocide
Who was the original female founder of the brewery that was purchased in 2006 by the largest brewery in the state of Maryland?,Marjorie McGinnis
SR connector is based on the connector that is often used for what type of cable?,coaxial
"Who is the creator of the animated television series that its fourteenth episode of season three's title is ""Time Keeps on Slippin""?",Matt Groening
"What role on ""Switched at Birth"" was played by the actor who is being replaced by Daniel Hall on ""The Young and the Restless""?","Tyler ""Ty"" Mendoza"
When did the Italian luxury fashion house which Daas has appeared in campaigns for brands like founded,in 1985
What did Felix Salten originally title his most famous work?,Bambi: Eine Lebensgeschichte aus dem Walde
"a cabinet-making firm was found which year, from Lancaster?",1730
Are Broughtonia and Perilla both types of mint?,no
"Which song, released on December 7, 2008 was co-written by Liz Rose?",White Horse
Ben Stein had a part in the 1994 superhero fantasy film directed by whom?,Charles Russell
Tui Flower and Julia child were both known for what?,Cooking
Which fictional MI6 agent is a fictional character created by the British journalist and novelist Ian Fleming in 1952?,Commander James Bond RN
Black Journal is based on the real life events of what serial killer that  murdered three women in Correggio?,Leonarda Cianciulli
"Inserra Supermarkets is a supermarket chain that is a member of what cooperative that was founded in 1946 and based in Keasbey, New Jersey?",Wakefern Food Corporation
Mick Chatterton's best season was in 1969 finishing 16th place for the year in the oldest established what?,motorsport world championship
Which university Founded as a college in 1881 is Janet Beer the Vice-Chancellor of,The University of Liverpool
Kenneth Arnold reported the first unidentified object sighting in what city and state in 1947?,"Mount Rainier, Washington"
"Soundcloud rap has been used by which rapper from Lauderhill, Florida?",Jahseh Dwayne Onfroy
Private Music signed the drummer who was part of which English group?,Beatles
Olivia DeJonge starred in an American horror film directed by Shyamalan called what,The Visit
Which of Jonny Craig and Pete Doherty has been a member of more bands ?,"Jonny"" Craig"
The Greatest Event in Television History aired on the channel that was founded by whom?,Betty Cohen
The channel that has interviewed players such as the forward for the French national team is on what platform?,YouTube
"The man known as the voice of ""Elgar"" voices the English character in what Manga inspired by Keitaro Arima?",Love Hina
What film directed by David Greene did Merrell Jackson play an apostle in?,Godspell
How many kilometers did Sabrina Mockenhaupt run when she set her best record?,42.195
"Which band was formed first, Fitz and The Tantrums or The Contortionist?",The Contortionist
What subsidiary of the largest airline of the Republic of China (Taiwan) has a main hub at Taichung Airport?,Mandarin Airlines
In what city did Brian Mannal convene when he was a member of the 188th and 189th General Court?,Boston
The Nike Mercurial Vapor is endorsed by a Stoke City football player who also plays for what national team?,the Switzerland national team
In what country are both Ugni and Stenomesson native plants?,Chile
" Is it correct to state that Tetrapanax is an evergreen shrub as opposed to Hippophae which is a genus of sea buckthorns, a deciduous shrub?",yes
What was the creator of the Moshulu Parkway known as?,"""master builder"" of mid-20th century New York City"
The king deposed in the Glorious Revolution of 1688 was supported by the grandson of what Viscount Barnewall?,Nicholas Barnewall
The king of the Molossians and Epirus encamped between what two cities?,Pandosia and Heraclea
Who wrote the 1995 American action film starring a two-time consensus All-American?,Steven Selling
"What is the Latin name for one of the five ""big cats"" that the word ""Panther"" may refer to when outside of the Americas?",Panthera pardus
A golfer born in 1993 participated in which tournament?,2015 FedEx Cup
What star of Parks and Recreation appeared in November?,Nick Offerman
"Between Death in the Afternoon and Hennchata, whose inventor has more literary fame?",Death in the Afternoon
What was Todd Boehly's former position at the firm where Mark Walter is the CEO?,president
Who was the football manager that played in the Football League Cup in 1985 and managed to lead the Birmingham City Football Club's 103rd season to finish in the 18th position?,"Stephen Roger ""Steve"" Bruce"
"What Northern Ireland town founded in 1620 is the birthplace of one of the final four contestants from the seventh UK series of ""The Apprentice""?",Cookstown
"Which Italian-American composer and librettist wrote the English language opera, Maria Golovin?",Gian Carlo Menotti
Gleanntáin Ghlas' Ghaoth Dobhair is a song that can be heard in pubs licensed to serve what?,alcoholic drinks
"Matilda of Chester, Countess of Huntingdon's father was the son of which woman?",Maud of Gloucester
Are Alek Keshishian and Kirk Kerkorian both Armenian-American?,yes
The 22nd AVN Awards took place in what Nevada county?,Clark County
The Old Ones are more powerful than which of the mightiest Gods?,mightiest Gods in Palladium
"What scientist as well as a practising Roman Cathloic described the electronic voice phenomena as typically brief, usually the length of a work or short phrase?",Konstantīns Raudive
Which civilization instigated a war with Rome and significantly influenced the Latin language?,the Etruscan civilization
What was the first name of the wife of the namesake of the high school located at 123 Coles Street in Jersey City?,Cheryl
This radio programme that originally aired from October 1995 to April 2000 starred a critic working in what field?,pop music and popular culture
Where are Neoregelia and Aloysia known to grow,"temperate climates,"
"Which movie came out first, ""Bambi"" or ""Underdog""?",Bambi
"How many Golden Globe Awards did the artist who published the photo book ""In Mexico"" win?",five
What was the former name of the stadium where the OFC U-20 Championship was played in 1986?,Ericsson Stadium
"What was the first air date that the CGI animated series that preceded ""Mixels""?  ",16-Jan-13
The Prussian General Carl von Clausewitz is associated with what type of realism?,Modern thinkers associated with classical realism are Carl von Clausewitz
Which television series was part of Cartoon Network's 2017 April Fools' prank and had a song by Justin Roiland played during the third season of the same show?,Rick and Morty
The Airport located next to the A13 handled how many passengers in 2016 ?,1.6 million passengers
Osireion is located to the rear of the temple named after which New Kingdom Nineteenth Dynasty of Egypt pharaoh?,Seti I
The fourth episode The Simpsons' seventh season has what kind of theme?,spiritual
In what county is The Third Fitzwilliam Meetinghouse located?,"Cheshire County, New Hampshire"
"What Mexican actress of film, television, and theatre was a protagonist in La Heredera?",Silvia Navarro
Katherine Ann Dettwyler wasn't rehired after she commented on the death of the student who was arrested in North Korea in what month and year?,Jan-16
Roxie Hart starred the entertainer and comedic actor who had what nickname?,The King of Chutzpah
Did the the Battle of Stones River occur before the Battle of Saipan?,yes
What is one risk to Norway's financial reserve?,terrorist activity
"Just Before I Go stars an actress who plays what character in the series ""24""?",Kim Bauer
Which pickup truck that's name was retired in North America in 1976 is part of Toyota's IMV program with the Fortuner SUV?,Toyota Hilux
The Out of Control Tour began in an indoor arena above what?,Manchester Victoria station
At what frequency an academic journal publishes which covers numerical and computational techniques to reduce any substantial losses or gains suffered by an individual or an organization?,quarterly
Metro West Ambulance serves event support for the building in Portland formerly known as what?,Rose Garden
Where in the traditional West Riding of Lindsey is the Trolleybus Museum Located?,Isle of Axholme
What is the population of the town that gets it's water supply from Canobie Lake?,"28,776 at the 2010 census"
"What is the name of the company manged by Joseph Reiser based in Biel/Bienne, Switzerland?",Omega SA
Where is Hawthornden Castle located relative to a castle 9 miles south of Edinburgh?,downstream
What German state was Karl Julius Perleb born in?,Baden-Württemberg
"Shane and Friends have interviewed an American YouTube personality who has two active YouTube channels, which have a combined total of how many views?",1.7 billion
Dost Mohammad Khan was killed by a ruler who became the third king of what country?,Afghanistan
What was the name of the first biography of Brontë written by the author of Mary Barton?,Elizabeth Gaskell
Who described the captain of the winners of the 1964-65 European Cup Winners Cup as the best defender he had ever played against ?,Pelé
"Which of the two came out first, The Wind in the Willows or The Bears and I?",The Wind in the Willows
Suzie Toase is best known for her role as Alecto Carrow in the Part 2 of a movie directed by who?,David Yates
Do writers John O'Hara and Bobbie Ann Mason share the same nationality?,yes
" Underfist: Halloween Bash was going to be the setup for a new series spin-off but the contract expired with a cable and television station that was launched on October 1, 19962 by whom?",Betty Cohen
How many albums did the company who released Tift Merritt's debut album release for Tif Merritt?,two
Priest Rapids Dam is located near which nuclear production complex?,Hanford Site
Were the Tundra Mine and Negus Mine located in the same country?,yes
What collegiate division does the team coached by P.W. Underwood play in?,Division I
In what year was the British actress who starred in a film adaptation of a series of eight children's books written by P. L. Travers born?,9-Nov-55
The Legendary A&M Sessions contain five songs by the singer whose work was conducted with what band?,Magic Band
"In the British experimental jazz band Polar Bear, who handles digital devices?",Leafcutter John
What is the first name of Jack Benny Binion's father?,Lester
What sports club based in Hamburg Germany had a Persian born football player who played for eight seasons?,Mehdi Mahdavikia
Who was the son and heir of Henry Beauclerc?,William Adelin
What was the name of the alum by the Scorpions that contained one of their most famous songs written by Klaus Meine and Herman Rarebell?,Love at First Sting
Where was the maker of Cougar bourbon whiskey headquartered before its acquisition by Anheuser-Busch InBev?,"Woking, England"
"Which plant is indigenous to the western hemisphere, Stephanocereus or Nepenthes?",Stephanocereus
 Who was the founder of a chain of supermarkets that is now headquartered on Nott Street in Schenectady?,Joseph E. Grosberg
Which swiss watch company was forced to merge by the swiss banks in 1983?,The Swatch Group
"What census-designated place located in Nassau County, New York has as portions of it's territory, districts of Brian Curran, New York State assemblyman?",Baldwin
"Which band, Matthew Good Band or Switchfoot is still together?",Switchfoot
Who developed the jet fighters operated by the 41st Tactical Squadron of the Polish Air Force?,the Mikoyan design bureau
What club does the footballer who surpassed David Beckham for the appearance record play for?,Premier League club Everton
"""Lesbian Request Denied"" is the third episode of the first season of a series created by who?",Jenji Kohan
Horse the blind is known for nintendocore which emerged from hardcore punk and what genre?,heavy metal
What was the original name of the theatrical program that was founded by Joseph Papp? ,New York Shakespeare Festival
What is the architectural distinction of the hotel whose owner and chief developer is Frank Augustus Miller?,largest Mission Revival Style building in the United States
What was the companion piece that Poe's brother published?,"""The Whalestoe Letters"""
Why does the City of Boston get their christmas tree from Ainslee Glen Nova Scotia?,for their assistance after the 1917 Halifax Explosion
"What type of development, currently existing in Pasay, is currently being considered for malls such as one in M.A. Roxas Avenue in Clark Freeport, Angeles City in Pampanga Philippines?",SM Lifestyle Cities
"Which is a university in Pennsylvania, University of New Haven or Carnegie Mellon University?",Carnegie Mellon University
"Which university was founded first, University of California, Berkeley or Saint Louis University?",Saint Louis University
What was Thomas Boutflower Bennet's role at The Collegiate School of St Peter?,schoolmaster at J. L. Young's Adelaide Educational Institution and at Saint Peter's College.
What is the first two words of the fifth studio album of Joseph Edgar Foreman?,The Hungry
Which radioshow did Frank Sinatra appear on the year he won an Academy Award?,"BBC Radio's ""The Show Band Show"""
Jeff Bhasker won a Grammy Award for a song that was the fourth single from what studio album?,My Beautiful Dark Twisted Fantasy
"In what year year was the believed subject of the Lenny Kravitz song ""Lady"" born?",1967
What prince is a claimant to the former throne of Italy and born in September 1943?,Prince Amedeo
Who distributed a American-Indian-Irish computer-animated comedy-adventure film starring an Irish actor known for playing Miles O'Brien?,Lionsgate
"Which New South Wales town is larger, Port Macquarie or Bonny Hills?",Port Macquarie
Rafael de Souza Pereira is a defensive midfielder for what organization that is the top level of the Mexican football league system?,Liga MX
Seal Harris was born in what county?,Polk County
Which county located in the commonwealth of Kentucky is Kentucky Route 393 (KY 393) a state highway in ,"Oldham County, Kentucky"
Profile Lake is located at the foot of a mountain that is how many feet tall?,4080
"The Order of th elithuanian Grand Duke Gediminas features one of the earliest symbols of Lithuania, that was used by the Lithuanian Republic as a minor state symbol during what period?",between World War I and World War II
Pippa Hinchleyplayed Elaine Fenwick on a British Soap opera shown on what channel?,ITV
"When is the national league which the Manchester United is participating in, set to end in 2018?",13-May-18
What is the name of the fashion label that the founder of the Faena Arts Center founded in 1985?,Via Vai
What type of vehicle is the Blue Bird Wanderlodge which was manufactured in Georgia by the Blue Bird Corporation?,Class A motorhome recreational vehicle
What was Richard Connell's best known work The Hounds of Zaroff also published as?,The Most Dangerous Game
"Which car brand was one step above the brand started on November 3, 1911?",Oakland
"The director of American crime film, Secret of the Chateau, was known to work at which company?",Metro-Goldwyn-Mayer
What genre of music is Adnan Sami noted for playing on the piano created through a trapezoid-shapped hammered dulcimer?,Indian classical music
Revival of 1800 was a series of evangelical christian meetings. In what month did Francis Asbury begin attending the revival meetings ?,June
"Gerald Grosvenor, 6th Duke of Westminster was succeeded by the British aristocrat who is estimated to be worth how much?",US$13 billion
"In which year did this American rapper and actor, from Cleveland, Ohio, who guest-featured in the album ""Excuse My French"" first release a mixtape?",2006
What company founded in 1886 has owned the K-Y brand?,Johnson & Johnson
Which segment of If These Walls Could Talk did the Goddess of Pop direct?,the third
 Legends of the Fall was based on a novella by what poetry and fiction writer?,James Harrison
What breed of dog are the Basset Bleu de Gascogne and the Beagle?,The Beagle is a breed of small hound
The Reverend Jesse Bushyhead was a member of a Cherokee faction led by a chief born in what year?,1790
How many chapters does Yōko Shōji's most famous manga have?,24
"Which composer was also a teacher, Philip Glass or Franz Schreker? ",Franz Schreker
"Besides acting in things such as Home Free, what else did Marian Mercer do?",and singer.
Which Arab World's car was  used in a  American action film directed by F. Gary Gray and written by Chris Morgan?,Lykan Hypersport
Which band was formed earlier: Marianas Trench or Tse Tse Fly?,Tse Tse Fly
What is the call sign of the airline that operates the flight with United Express Flight 3411 incident?,Brickyard
Are Willard Mack and Subhash Ghai both involved in film?,yes
What is the alcohol content of the drink normally consumed alongside Rippchen?,4.8%-7.0%
What American corporation owns Claim Jumper?,Landry's
When was the peer-reviewed open access scientific journal established in which Milivoje Kostic Editor-in-Chief of the Thermodynamics section?,1999
What city is the band that recorded Renegade from?,Chicago
"Who wrote the jukebox musical depicting the recording session between the ""King of Rock and Roll"" and 3 other famous musicians?",Floyd Mutrux and Colin Escott
To whom does the term Pietro Colonna Galatino is sometimes referred to as the inventor of refer?,the God of Israel
Where is the game which  High Rollers Casino is a type been played ,outside of casinos
UFO Magazine covers what subject named for Charles Hoy Fort?,Fortean
Did John Updike and Tom Clancy both publish more than 15 bestselling novels?,yes
"Who was born first, Martin Degville or Richie Furay?","""Richie"" Furay"
God Is Not Great is by a journalist which due to his actions made him what?,both a lauded intellectual and a controversial public figure
Are both Odds and Supergrass rock bands?,yes
Who is is known domestically for his humorous videos and stage performances and released his sixth studio album in 2012?,Psy
"What is the birth name of the woman that ""A Woman Called Moses"" is based on?",Araminta Ross
Are both Don Giovanni and Cardillac operas with three acts?,no
Do both Changle District and Longkou face water?,yes
The Cinematic Orchestra was signed to the record label based in what city?,London
Edoardo Soleri is playing on loan from which Italian football club?,A.S. Roma
"Q1: Which mountain is located in China, Kirat Chuli or Kangpenqing?","Kangpenqing (also Gang Benchhen) is a mountain in the Baiku Himalayas of Tibet, China."
What are the names of the co-directors of the psychological horror film starring Emily Browning and Elizabeth Banks?,Charles and Thomas Guard
"what is the group called that Dianne Morgan and Joe Wilkinson a part of in the BBC comedy ""Two Episodes of Mash""",the deadpan sketch group
"During the 2004-05 Atlanta Hawks season, the team acquired a former professional basketball player, who is the current head coach of what team?",Cleveland Cavaliers
"What mine was operated by Royal Oak Mines at at earlier date, Kemess Mine or Colomac Mine?",The Colomac Mine
"""Aroma-scope"" used in Spy Kids 4 is reminiscent of what marketing gimmick used in Polyester in 1981?","""Odorama"""
Suzanne Simone Baptiste Louverture is the wife of the leader of which revolution?,the Haitian Revolution
"In addition to the best known comic servant from Commedia dell'arte, who else is featured in La Surprise de l'amour?",Columbine
"In what town does the one-time star of ""And There's More"" now live?",Rochdale
Edward C. Hugger and Alexander Acosta served at appointees for what job?,Secretary of Labor
"Which club, founded in 1928, did Bob Johnson played for ",The club
A holdout is an accessory used by cheats in order for them to recieve what?,reward
In which football league does the son of Souleyman Sané play?,Premier League
"How many legs does the animal, in which Karl Kraepelin discusses in ""Scorpiones und Pedipalpi,"" have?",eight
"Who is older, Bertalan Farkas or Hans Schlegel?",Bertalan Farkas
What portrait hangs in the Smithsonian Institute along with what is known as the founder of nursing?,"Sister Anthony, S.C."
"Why did basketball player, ""The Process"" not play in the 77th season?",leg injury
"How many rooms are in the building built in 1883 at Garden City in Nassau County, New York?",500-room
Who is younger Chris Gould or Robbie Gould ?,Chris Gould
"San Jose Secondary Educational Center, is located on the cost of what sea? ",Mediterranean
"What member of the South Korean-Chinese boy group EXO stars in the upcoming movie ""The Underdog""?",Do Kyung-soo
"Did the host of Splash! win a gold, silver, or bronze Olympic medal?",bronze
"WFMT FM radio transmits from the second tallest building in the United States, which is located where?","Chicago, Illinois, United States"
"What is the birthday of the author of ""She Walks These Hills""?",26-Feb-48
Charles Coughlin was a controversial Canadian-American Roman Catholic who also started what rumor?,Boston Herald
Joe Ford played for which football club based out of Old Trafford?,Manchester United
Emily Beecham is best known for her role in a televsion series whose second season premiered on what date?,19-Mar-17
One of the directors of Mediastan is well-known for founding what organisation in 2006?,WikiLeaks
In which county does the United States Navy air base located in which  Attack Squadron 174 (VA-174) was based on?,Duval County
Where is the closest relative to the whale located?,sub-Saharan Africa
"Which player won more Grand Slam titles, Kevin Ullyett or Billie Jean King?",Billie Jean King
The physicist that saw a deficiency in Newton's classical theory of gravity received a Nobel Prize in what year?,1921
In what year did the parent show of The URL with Phred Show end?,2002
"What two shows is the director of the first ""Clone Wars"" series known for creating?","""Dexter's Laboratory"", ""Samurai Jack"""
What Chinese company helped develop the aircraft that preceded the Chengdu J-7?,Chengdu Aircraft Corporation
Michał Wiśniowiecki was related to the King of Poland and Grand Duke of Lithuania Michał Korybut Wiśniowiecki in what way?,grandfather
"How many acts is the ballet Rita Sangalli premiered in, in the year 1876?",two or three acts
"Billy King was an Australian rules footballer who participated in a game that was contested between the South Melbourne Football Club and Carlton Football Club, and was held at what location in Melbourne in 1945?",Princes Park
When did the park at which Tivolis Koncertsal is located open?,15 August 1843
Maine State Route 111 connects Alfred to Biddenford but what county is Alfred in?,York County
Do tennis players Kathy Jordan and Sergi Bruguera have the same nationality?,no
"Which University, University of New South Wales or Purbanchal University was established first ?",The University of New South Wales
What is the main base for the parent company of LATAM Express?,Comodoro Arturo Merino Benítez International Airport
Giovanna d'Arco is an opera that was created by the composer of what nationality?,Italian
Who manages the Laboratory that ran the Aurora Generator Test?,Battelle Energy Alliance
Drisheen is what type of product made in Ireland and other parts of Europe?,Black pudding
The 59th Infantry Division covered the deployment of the 35th Infantry during the Allied operation during what war?,World War II
Who signed into law the act made to lower barriers to adoption?,President Bill Clinton
"Who was born first, Steve Hogarth or Donnie Munro?",Donnie Munro
What are both Jack Rabbit and Leap-The-Dips made of?,wooden
"Michael Mark Brodsky is known for his translation of what Irish avant-garde novelist, playwright, theatre director, and poet?",Samuel Beckett
What man with a lazy left eye starred in Sacred Ground?,Jack Elam
What is the name of the girl group that the host of the Nickelodeon Australian Kids' Choice Awards 2006 was a member of?,Bardot
What man is linked to both Johnny Tremain and Magic Kingdom?,Walt Disney
"On what album is Samuel ""Sam"" Ervin Beam's cover of ""Such Great Heights"" featured?","""Give Up"""
What city in the Philippines is home to the Robinsons Galleria and the 4th largest shopping mall in the world?,Metro Manila
Which one of Magna Publishing Group's tiles is a spinoff of the UK's Club International?,Club
Rani Jhansi Marine National Park commemorates what queen of the princely state of Jhansi in North India?,"Lakshmibai, the Rani of Jhansi"
Which English singer from the 1960s has an album entitled Dangerous Acquaintances released in 1981?,Marianne Evelyn Gabriel Faithfull
The first Latina Supreme Court Justice was part of the majority decision of a case that upheld which previous supreme court case?,Apprendi v. New Jersey
Who was the pivotal in the formation of schools catering for the primary and early secondary education of children in remote and outback Australia?,Adelaide Laetitia
"In which 2017 film did this South Korean actor of  ""Dream High"" (2011) and the 2012 South Korean television drama series featuring Han Ga-in, Jung Il-woo and Kim Min-seo appeared in 2017?",Real
Where Ken Kwapis and John Woo both working on films in the 1980's?,yes
"What is the name of the town linked by rail to Kendal, named after a lake of the same name?","Windermere, Cumbria"
The company that Park Joo-mi made her entertainment debut as a model for has its headquarters in what building in Seoul?,Asiana Town building
What is the total circulation of the magazine that called Ohio State Route 78 one of the most scenic highways nationwide?,Car and Driver
Chancellor Otto von Bismark and Reichstadt agreement were also part of what League?,League of the Three Emperors
"Opel once owned and manufactured the brand known under one shared name in New Zealand and Australia, and that brand is now a subsidiary of what company?",General Motors
Who was the woman whose execution for treason by German firing squad was the reason for Prussian Generalleutnant (Lieutenant General) Traugott von Sauberzweig's replacement as Military Governor of Brussels in 1915?,Edith Louisa Cavell
"How has played in more bands, Kim Wilson or Chino Moreno?",Chino Moreno
"The album ""Mr. 12 String Guitar"" features a singer that hosted a variety show from 1969 to 1972 on what newtork?",CBS
Which Turkish leisure airline started operations under its own AOC in April 2011?,Corendon Airlines
Phil Urban CEO of Mitchells & Bustlers manages what in the United Kingdom?,"pubs, bars and restaurants"
"Which Walt Disney film was produced first, The Apple Dumpling Gang or Something Wicked This Way Comes?",The Apple Dumpling Gang
"What was the real name of the author of the book ""Coraline"" has been compared to?",Charles Lutwidge Dodgson
The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,Vaisakhi List
"Between MetroSource and Chicago, which magazine is published more frequently?",Chicago
"Who has a wider scope of profession,  José Echegaray or Graham Swift?",José Echegaray
Indie studio Jumpship developed what puzzle-platform video game released in July 2010?,Limbo
What genre does Orkworld and John Wick have in common?,role-playing
Are Stanley Elkin and Anne Tyler from the same country?,yes
"Which genus has more species in it, Othonna or Stangeria?",Othonna
"Who is younger, Pelle Almqvist or Steve Winwood?",Pelle Almqvist
"Who was born first, George Kuchar or Arthur Penn?",Arthur Hiller Penn
"Besides the song ""OK Computer"" what did the same band record in 1995?","""Lucky"""
Which star of Here Come the Munsters was born in Philadelphia ?,Veronica Hamel
What network does the original presenter of ITV Nightly News currently present for?,Sky News
"Who is the son of the author of the short story ""The Enormous Radio.""",Benjamin Hale Cheever
Is Bob Hewitt a citizen of a different country than Ray Ruffels?,yes
Were the films Crazy Love and Welcome to Nollywood both released in 2008?,no
Which singer/songwriter is the Executive Vice President of A&R at Capitol Records: Nate Albert or Rod Stewart?,Nate Albert
 The 2010-11 Old Dominion Monarchs basketball team was led by the coach of what nationality?,American
Who wrote the 1996 American historical drama film in which William Preston appeared?,Arthur Miller
Which award did the author of Anastasia on Her Own win in 2002?,the 2002 Rhode Island Children's Book Award
Who was involved in observing the natural progression of untreated syphilis in rural African-American men in Alabama?,John Charles Cutler
What county is the congressional district that Hansen Clarke was a U.S. Representative for in?,Wayne County
"Which band has had more members, The Operation M.D. or Del Amitri?",Del Amitri
Which producer from the 2015 British documentary film about the life and death of British singer-songwriter Amy Winehouse also worked on the film Oasis: Supersonic as a film producer?,James Gay-Rees
What title did the author of Det norske Theater's first production hold ? ,Baron of Holberg
"What lawyers were featured in The State of Marriage, with the lawyer nominated by Governor Peter Shumlin?","Mary Bonauto, Susan Murray"
What is the official currency in the country that hosts the Asahi-Ryokuken Yomiuri Memorial tournament?,yen
Q: Who was born first Richard Boleslawski or Herschell Gordon Lewis?,Richard Boleslawski
In what city are both 8 Spruce Street and the World Trade Center located?,New York City
which league is the 121th season of top-tier competitive football in Switzerland which Ulrich Forte coach FC Zürich in the league ,2017-18 Swiss Super League
Andrea Camplone is a football coach in which 22-team competition?,Serie B
