id,split,question,effective_year,next_review,false_premise,num_hops,fact_type,source,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note
294,TEST,How many years did the Hundred Years' War last?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Hundred_Years%27_War#:~:text=116%C2%A0years%2C%204%C2%A0months%2C%203%C2%A0weeks%20and%204%C2%A0days,116 years,116,"116 years, 4 months, 3 weeks and 4 days","116 years, 4 months, and 3 weeks",116 years and 4 months,,,,,,
295,TEST,On which side do people stand on the escalator in Tokyo?,before 2022,,FALSE,one-hop,never-changing,https://www.myjrpass.com/ja/blog/Escalator_Rules_Japan#:~:text=In%20Tokyo%2C%20people%20stand%20on%20the%20left%20side,left,left side,,,,,,,,,
296,TEST,In which month does the Japanese school year start?,before 2022,,FALSE,one-hop,never-changing,https://education.jnto.go.jp/en/school-in-japan/japanese-education-system/#:~:text=In%20principle%2C%20the%20school%20year%20begins%20in%20April%20and%20ends%20in%20March%20of%20the%20following%20year.,April,,,,,,,,,,
297,TEST,Who was the first football player to score one hundred international goals?,before 2022,,FALSE,one-hop,never-changing,https://olympics.com/en/news/most-goals-international-football-list-men-women#:~:text=Iran%E2%80%99s%20Ali%20Daei%2C%20who%20was%20the%20first%20football%20player%20to%20score%20100%20international%20goals,Ali Daei,,,,,,,,,,
298,TEST,In which municipality did Typhoon Haiyan make its first eye landfall?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Typhoon_Haiyan#:~:text=the%20eye%20of%20the%20typhoon%20made%20its%20first%20landfall%20in%20the%20Philippines%20at%20Guiuan%2C%20Eastern%20Samar,"Guiuan, Eastern Samar",Guiuan,,,,,,,,,
299,TEST,"What time of day on August 15, 1947 did India become an independent nation?",before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Indian_independence_movement#Sovereignty_and_partition_of_India:~:text=Then%20at%2012%3A02%20A.M.%2C%20on%2015%20August%201947%20India%20became%20a%20sovereign%20and%20democratic%20nation.,12:02 AM,12:02,0:02,,,,,,,,
300,TEST,Where was Emily Joanna Carey born?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Emily_Carey#:~:text=Carey%20was%20born%20in%20the%20London%20Borough%20of%20Barnet.,Barnet,The London Borough of Barnet,London,North London,,,,,,,
301,TEST,"Along with streptococcus thermophilus, what other bacteria is used to make Bulgarian yogurt?",before 2022,,FALSE,one-hop,never-changing,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7996614/#:~:text=Bulgarian%20yoghurt%20is%20a%20traditional,bulgaricus)%20and%20Streptococcus%20thermophilus.",Lactobacillus bulgaricus,L. bulgaricus,L. d. bulgaricus,Lactobacillus delbrueckii subsp. bulgaricus,Lactobacillus delbrueckii subspecies bulgaricus,,,,,,
302,TEST,When did Blackpink make their debut?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Blackpink#:~:text=Blackpink%20debuted%20in%20August%202016,2016,8-Aug-16,8-Aug-16,8-Aug-16,8-Aug-16,08/8/2016,08-8-2016,8/08/2016,8-08-2016,2016/8/8,
303,TEST,Which company developed Overwatch?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Overwatch_(video_game)#:~:text=Developer(s),Blizzard%20Entertainment",Blizzard Entertainment,Blizzard,,,,,,,,,
304,TEST,What is the heaviest reptile in the world?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/List_of_largest_reptiles#:~:text=Maximum%20length%20%5Bm%5D-,1,Saltwater%20crocodile,-400%20%E2%80%93%201%2C300%5B2",saltwater crocodile,crocodylus porosus,,,,,,,,,
305,TEST,Who first proposed the idea that all matter exhibits wave-particle duality?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Matter_wave#De_Broglie_relations:~:text=The%20concept%20that%20matter%20behaves%20like%20a%20wave%20was%20proposed%20by%20French%20physicist%20Louis%20de%20Broglie,Louis de Broglie,De Broglie,physicist Louis de Broglie,,,,,,,,
306,TEST,What state of Germany is the University of Konstanz located in?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/University_of_Konstanz#:~:text=of%20Konstanz%20in-,Baden%2DW%C3%BCrttemberg%2C%20Germany,-.%20Its%20main%20campus",Baden-Württemberg,,,,,,,,,,
307,TEST,What film starred Brad Pitt's first leading role?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/The_Dark_Side_of_the_Sun_(film)#:~:text=The%20Dark%20Side%20of%20the%20Sun%5Ba%5D%20is%20a%201988%20American%2DYugoslavian%20drama%20film%20directed%20by%20Bo%C5%BEidar%20Nikoli%C4%87%20and%20stars%20Brad%20Pitt%20in%20his%20first%20leading%20role%2C%20as%20a%20young%20man%20in%20search%20of%20a%20cure%20for%20a%20rare%20and%20deadly%20skin%20disorder.,The Dark Side of the Sun,,,,,,,,,,
308,TEST,What was the date of Led Zeppelin's last UK concert?,before 2022,,FALSE,one-hop,never-changing,https://www.radiox.co.uk/artists/led-zeppelin/last-concert-with-john-bonham-1980-setlist/#:~:text=It%20turned%20out%20that%20these%20two%20dates%20(4%20and%2011%20August%201979)%20would%20be%20the%20band%27s%20final%20UK%20concerts.,11-Aug-79,11-Aug-79,11-Aug-79,11-Aug-79,08/11/1979,08-11-1979,11/08/1979,11-08-1979,1979/8/11,1979/8/11,
309,TEST,Which countries will host FIFA World Cup 2026?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup#:~:text=It%20will%20be%20jointly%20hosted%20by%2016%20cities%20in%20three%20North%20American%20countries%3A%20Canada%2C%20Mexico%2C%20and%20the%20United%20States.,"USA, Canada, and Mexico","Canada, Mexico, and the United States","the US, Canada and Mexico","Mexico, Canada, and the United States","U.S., Mexico, Canada",,,,,,
310,TEST,How many property cards are in Monopoly Deal's dark blue set?,before 2022,,FALSE,one-hop,never-changing,"https://monopolydealrules.com/index.php?page=cards#:~:text=include%3A%20Green%20Set%2C-,Dark%20Blue%20Set,-%2C%20Light%20Blue%20Set",2,two,,,,,,,,,
311,TEST,In what year was the UMass Outing Club founded?,before 2022,,FALSE,one-hop,never-changing,"https://dailycollegian.com/2008/04/breaking-out/#:~:text=to%20change%20that.-,Established%20in%201922,-%2C%20the%20Outing%20Club",1922,,,,,,,,,,
312,TEST,How many players are on a basketball court at once including both teams?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Basketball#:~:text=Basketball%20is%20a%20team%20sport%20in%20which%20two%20teams%2C%20most%20commonly%20of%20five%20players%20each,10,ten,10 players,ten players,,,,,,,
313,TEST,What country is Kiwifruit native to?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Kiwifruit#:~:text=and%20unique%20flavour.-,Kiwifruit%20is%20native%20to%20central%20and%20eastern%20China.,-%5B2%5D%20The",China,mainland China,central and eastern China,,,,,,,,
314,TEST,What two things did Benjamin Franklin claim to be certain in this world?,before 2022,,FALSE,one-hop,never-changing,https://constitutioncenter.org/blog/benjamin-franklins-last-great-quote-and-the-constitution#:~:text=nothing%20is%20certain%20except%20death%20and%20taxes%2C%E2%80%9D%20Franklin%20said,Death and Taxes,Taxes and Death,death and taxes,,,,,,,,
315,TEST,When did the Chinese Tang Dynasty end?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Tang_dynasty#:~:text=The%20Tang%20dynasty%20(/t%C9%91%CB%90%C5%8B/%2C%5B6%5D%20%5Bt%CA%B0a%CC%8C%C5%8B%5D%3B%20Chinese%3A%20%E5%94%90%E6%9C%9D%5Ba%5D)%2C%20or%20the%20Tang%20Empire%2C%20was%20an%20imperial%20dynasty%20of%20China%20that%20ruled%20from%20618%20to%20907,907 AD,907,Tianyou 4,,,,,,,,
316,TEST,Which mountain is at the north end of the Appalachian Trail?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Mount_Katahdin#:~:text=Katahdin%20is%20the%20northern%20terminus%20of%20the%20Appalachian%20Trail,Mount Katahdin,Mt. Katahdin,Katahdin,"Mount Katahdin, Baxter Peak",,,,,,,
317,TEST,Which city does Disco Elysium take place in?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Disco_Elysium#:~:text=Events%20in%20the%20game%20take%20place%20in%20the%20impoverished%20district%20of%20Martinaise%20within%20the%20city%20of%20Revachol,Revachol,,,,,,,,,,
318,TEST,Which countries border the largest lake on Earth?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Caspian_Sea#:~:text=It%20is%20bounded%20by%20Kazakhstan%20to%20the%20northeast%2C%20Russia%20to%20the%20northwest%2C%20Azerbaijan%20to%20the%20southwest%2C%20Iran%20to%20the%20south%2C%20and%20Turkmenistan%20to%20the%20southeast.,"Kazakhstan, Turkmenistan, Iran, Azerbaijan, and Russia","Russia, Iran, Azerbaijan, Kazakhstan, and Turkmenistan","Iran, Russia, Azerbaijan, Turkmenistan, and Kazakhstan","Iran, Azerbaijan, Kazakhstan, Turkmenistan, and Russia","Kazakhstan, Iran, Azerbaijan, Russia, and Turkmenistan",Russian Federation,,,,,
319,TEST,Who is Elrond's father in J. R. R. Tolkien's Middle Earth stories?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/E%C3%A4rendil_and_Elwing#:~:text=E%C3%A4rendil%27s%20son%20Elrond,Eärendil,Earendil,Eärendil the Blessed,Bright Eärendil,,,,,,,
320,TEST,"On what month, day, and year was the Declaration of Independence signed?",before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Signing_of_the_United_States_Declaration_of_Independence#:~:text=The%20signing%20of%20the%20United%20States%20Declaration%20of%20Independence%20occurred%20primarily%20on%20August%202%2C%201776,"August 2, 1776. It is not July 4, 1776, which is when it was published.","Aug 2, 1776","August 2, 1776",2 Aug 1776,2 August 1776,08/02/1776,08-02-1776,02/08/1776,02-08-1776,1776/08/02,
321,TEST,Who was the first American president to defeat an incumbent president in a presidential election?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/List_of_presidents_who_did_not_win_reelection#:~:text=States%20presidential%20election-,Thomas%20Jefferson,-Adams%20placed%20third",Thomas Jefferson,,,,,,,,,,
342,TEST,How old was the youngest passenger on board the Titanic?,before 2022,,FALSE,multi-hop,never-changing,https://en.wikipedia.org/wiki/Millvina_Dean#:~:text=At%20two%20months%20old%2C%20she%20was%20also%20the%20youngest%20passenger%20aboard.,two months old,nine weeks old,72 days old,,,,,,,,
343,TEST,Which country hosts the most matches at the FIFA World Cup 2026?,before 2022,,FALSE,multi-hop,never-changing,https://www.goal.com/en-us/news/world-cup-2026-fifa-104-game-format-usa-canada-mexico-three-team-groups-scrapped/blt7f41cb1de2aa37c4#:~:text=with%20the%20U.S.%20initially%20down%20for%2060%20matches%20while%20Canada%20and%20Mexico%20were%20due%20to%20stage%2010%20apiece,the USA,USA,the United States,United States,U.S.,the U.S.,the US,,,,
344,TEST,Who is the last player to win the Ballon D'or before the Messi–Ronaldo dominance of the award?,before 2022,,FALSE,multi-hop,never-changing,"https://en.wikipedia.org/wiki/Ballon_d%27Or#Winners:~:text=121-,2007,Kak%C3%A1,-AC%20Milan",Kaka,Kaká,Ricardo Kaka,Ricardo Kaká,Ricardo Izecson dos Santos Leite,,,,,,
345,TEST,Who was the only student author of the paper that introduced the LSTM neural network architecture?,before 2022,,FALSE,multi-hop,never-changing,http://www.bioinf.jku.at/publications/older/2604.pdf,Sepp Hochreiter,"Josef ""Sepp"" Hochreiter",Hochreiter,,,,,,,,
346,TEST,What's the capital of the largest state in America?,before 2022,,FALSE,multi-hop,never-changing,"https://en.wikipedia.org/wiki/Alaska#:~:text=Alaska%20is%20the%20largest%20U.S.%20state%20by%20area
https://en.wikipedia.org/wiki/Alaska#:~:text=Capital-,Juneau,-Largest%20city",Juneau,,,,,,,,,,
347,TEST,Which city was the capital of California the year it became a state?,before 2022,,FALSE,multi-hop,never-changing,"https://en.wikipedia.org/wiki/San_Jose,_California#American_period:~:text=With%20California%27s%20Admission%20to%20the%20Union%20on%20September%209%2C%201850%2C%20San%20Jose%20became%20the%20state%27s%20first%20capital.",San Jose,San José,"San Jose, California","San José, California",,,,,,,
348,TEST,Where is the 8th president of the United States buried?,before 2022,,FALSE,multi-hop,never-changing,https://en.wikipedia.org/wiki/Martin_Van_Buren#Death:~:text=He%20is%20buried%20in%20the%20Kinderhook%20Reformed%20Dutch%20Church%20Cemetery,"Kinderhook, NY","Kinderhook, New York",Kinderhook,New York,,,,,,,
349,TEST,"Where was the author of the book ""A Game of Thrones"" born?",before 2022,,FALSE,multi-hop,never-changing,https://en.wikipedia.org/wiki/George_R._R._Martin#Early_life:~:text=Bayonne%2C%20New%20Jersey%2C%20U.S.,"Bayonne, NJ",Bayonne,New Jersey,,,,,,,,
350,TEST,Who was the emperor of China when the American Revolutionary War ended?,before 2022,,FALSE,multi-hop,never-changing,"https://en.wikipedia.org/wiki/American_Revolutionary_War#:~:text=The%20American%20Revolutionary%20War%20(April%2019%2C%201775%20%E2%80%93%20September%203%2C%201783)
https://en.wikipedia.org/wiki/Qianlong_Emperor#:~:text=He%20reigned%20officially%20from%201735%20until%20his%20abdication%20in%201796",Qianlong,Qianlong Emperor,Qian Long,Long Qian,,,,,,,
351,TEST,When did Naughty Dog release its first game on the PS1?,before 2022,,FALSE,multi-hop,never-changing,"https://en.wikipedia.org/wiki/List_of_Naughty_Dog_video_games#:~:text=Studios%5B2%5D-,Crash%20Bandicoot,3%2C%20PlayStation%20Portable%5B8%5D%0A2012%20%E2%80%93%20PlayStation%20Vita%5B9%5D,-Notes%3A",1996,9-Sep-96,9-Sep-96,9-Sep-96,9-Sep-96,09/9/1996,09-9-1996,9/09/1996,9-09-1996,1996/9/9,
352,TEST,The town that Sigmund Freud was born in is currently called by what name?,before 2022,,FALSE,multi-hop,never-changing,https://en.wikipedia.org/wiki/Sigmund_Freud#:~:text=Sigmund%20Freud%20was%20born%20to%20Ashkenazi%20Jewish%20parents%20in%20the%20Moravian%20town%20of%20Freiberg%2C%5B12%5D%5B13%5D%20in%20the%20Austrian%20Empire%20(in%20Czech%20P%C5%99%C3%ADbor%2C%20now%20Czech%20Republic),Příbor,"Příbor, Czech Republic",Pribor,,,,,,,,
353,TEST,Along what tectonic plate boundary were yeti crabs first discovered?,before 2022,,FALSE,multi-hop,never-changing,https://en.wikipedia.org/wiki/Kiwa_hirsuta#:~:text=It%20was%20found%20along%20the%20Pacific%2DAntarctic%20Ridge,Pacific-Antarctic Ridge,Pacific Antarctic Ridge,PAR,,,,,,,,
354,TEST,Which province borders Shanghai to the north?,before 2022,,FALSE,multi-hop,never-changing,https://en.wikipedia.org/wiki/Geography_of_Shanghai#:~:text=north%20and%20west%20to%20Jiangsu%20province,Jiangsu,Jiangsu province,,,,,,,,,
355,TEST,Where was the primary designer of AlexNet born?,before 2022,,FALSE,multi-hop,never-changing,"https://en.wikipedia.org/wiki/American_Revolutionary_War#:~:text=The%20American%20Revolutionary%20War%20(April%2019%2C%201775%20%E2%80%93%20September%203%2C%201783)
https://en.wikipedia.org/w/index.php?title=Alex_Krizhevsky&oldid=1222486527#:~:text=Alex%20Krizhevsky%20is%20a%20Ukrainian%2Dborn%20Canadian%20computer%20scientist",Ukraine,Soviet,,,,,,,,,
356,TEST,What is the main character's name in the last novel Jane Austen published while alive?,before 2022,,FALSE,multi-hop,never-changing,https://en.wikipedia.org/wiki/Emma_(novel)#:~:text=Emma%2C%20written%20after%20Austen%27s%20move%20to%20Chawton%2C%20was%20her%20last%20novel%20to%20be%20published%20during%20her%20lifetime,Emma,Emma Woodhouse,,,,,,,,,
357,TEST,After which country did Marie Curie name the first element that she discovered?,before 2022,,FALSE,multi-hop,never-changing,https://en.wikipedia.org/wiki/Marie_Curie#:~:text=She%20named%20the%20first%20chemical%20element%20she%20discovered%20polonium%2C%20after%20her%20native%20country.,Poland,,,,,,,,,,
358,TEST,When was the bass player of Miles Davis's first quintet born?,before 2022,,FALSE,multi-hop,never-changing,"https://en.wikipedia.org/wiki/Paul_Chambers#:~:text=Born-,April%2022%2C%201935,-Pittsburgh%2C%20Pennsylvania",1935,22-Apr-35,22-Apr-35,22-Apr-35,22-Apr-35,04/22/1935,04-22-1935,22/04/1935,22-04-1935,1935/4/22,
359,TEST,What organization handles the equivalent of the Nobel prize for computer science?,before 2022,,FALSE,multi-hop,never-changing,https://en.wikipedia.org/wiki/Turing_Award#:~:text=The%20ACM%20A.%20M.%20Turing%20Award%20is%20an%20annual%20prize%20given%20by%20the%20Association%20for%20Computing%20Machinery%20(ACM),Association for Computing Machinery (ACM),,,,,,,,,,
360,TEST,Who is the highest-earning woman in music on the Forbes' Celebrity 100 list in 2020?,before 2022,,FALSE,multi-hop,never-changing,https://en.wikipedia.org/wiki/Ariana_Grande#:~:text=In%202020%2C%20Grande%20became%20the%20highest%2Dearning%20woman%20in%20music%20on%20Forbes%27s%202020%20Celebrity%20100%20list,Ariana Grande,Ariana Grande-Butera,,,,,,,,,
361,TEST,How many athletes are there in the top 10 of the Forbes' Celebrity 100 list in 2020?,before 2022,,FALSE,multi-hop,never-changing,https://www.forbes.com/celebrities/list,5,five,,,,,,,,,
513,DEV,What city hosted the Summer Olympics in 1940?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/1940_Summer_Olympics#:~:text=They%20were%20ultimately%20canceled%20because%20of%20World%20War%20II,The Olympics in 1940 were cancelled.,,,,,,,,,,
514,DEV,What dedicated graphics processing unit does the M1 Macbook Air have?,before 2022,,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/MacBook_Air_(Apple_silicon)#M1_(2020):~:text=GPU-,Name,8,-EUs%20and%20ALUs","The M1 Macbook Air does not have a dedicated graphics processing unit (instead, the M1 chip contains its own CPU and GPU).",,,,,,,,,,
515,DEV,When did Mark Zuckerberg graduate from college?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Mark_Zuckerberg#:~:text=Zuckerberg%20dropped%20out%20of%20Harvard%20in%20his%20sophomore%20year%20in%20order%20to%20complete%20the%20project.,Mark Zuckerberg has not graduated from college. He dropped out of Harvard and founded Facebook.,,,,,,,,,,
516,DEV,How many humans have been killed by dinosaurs?,before 2022,,TRUE,one-hop,never-changing,https://www.usgs.gov/faqs/did-people-and-dinosaurs-live-same-time#:~:text=After%20the%20dinosaurs%20died%20out%2C%20nearly%2065%20million%20years%20passed%20before%20people%20appeared%20on%20Earth.,"Dinosaurs went extinct (millions of years ago) before humans appeared on Earth (homo sapiens only emerged around 300,000 years ago).",,,,,,,,,,
517,DEV,What is the name of Venus' smallest moon?,before 2022,,TRUE,one-hop,never-changing,"https://phys.org/news/2014-04-moons-venus.html#:~:text=The%20answer%20is%20no%20moons,single%20natural%20moon%20orbiting%20them.",Venus has no moons.,,,,,,,,,,
518,DEV,"In 2021, which astronomer successfully lobbied the IAU to change Pluto's planetary classification from ""dwarf planet"" back to ""planet""?",before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Pluto#Classification:~:text=Pluto%20(minor%2Dplanet%20designation%3A%20134340%20Pluto)%20is%20a%20dwarf%20planet,This never happened and Pluto is still considered a dwarf planet.,,,,,,,,,,
552,DEV,What is the title of the first film about the Titanic disaster?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Saved_from_the_Titanic#:~:text=Premiering%20in%20the%20United%20States%20just%2031%20days%20after%20the%20event%2C%20it%20was%20the%20earliest%20dramatization%20of%20the%20tragedy.,Saved from the Titanic,,,,,,,,,,
553,DEV,How many fantasy novels are there in the Harry Potter series?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Harry_Potter#:~:text=Harry%20Potter%20is%20a%20series,School%20of%20Witchcraft%20and%20Wizardry.",7,seven,,,,,,,,,
554,DEV,Who created Internet Relay Chat?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Internet_Relay_Chat#:~:text=IRC%20was%20created%20by%20Jarkko,Department%20of%20Information%20Processing%20Science.",Jarkko Oikarinen,Oikarinen,,,,,,,,,
555,DEV,Who invented the Perceptron?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Perceptron#:~:text=The%20perceptron%20was%20invented%20in%201943%20by%20Warren%20McCulloch%20and%20Walter%20Pitts.,Warren McCulloch and Walter Pitts,McCulloch and Pitts,,,,,,,,,
556,DEV,What is the capital of Costa Rica?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/San_Jos%C3%A9,_Costa_Rica#:~:text=is%20the%20capital%20and%20largest%20city%20of%20Costa%20Rica",San José,San Jose,,,,,,,,,
557,DEV,When did Leo Szilard invent the nuclear chain reaction?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Leo_Szilard#:~:text=He%20conceived%20the%20nuclear%20chain%20reaction%20in%201933,1933,,,,,,,,,,
558,DEV,Who is the founder of Boeing?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/William_E._Boeing#:~:text=He%20founded%20the%20Pacific%20Airplane%20Company%20in%201916%2C%20which%20was%20renamed%20to%20Boeing%20a%20year%20later.,William Edward Boeing,William Boeing,William E. Boeing,,,,,,,,
559,DEV,Who painted The Starry Night?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/The_Starry_Night#:~:text=The%20Starry%20Night%20(Dutch%3A%20De%20sterrennacht)%20is%20an%20oil%2Don%2Dcanvas%20painting%20by%20the%20Dutch%20Post%2DImpressionist%20painter%20Vincent%20van%20Gogh,Vincent van Gogh,Vincent Willem van Gogh,Van Gogh,,,,,,,,
560,DEV,What is the name of the main character in Great Expectations?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Great_Expectations#:~:text=The%20novel%20is%20a%20Bildungsroman%20and%20depicts%20the%20education%20of%20an%20orphan%20nicknamed%20Pip.,Pip,Philip Pirrip,,,,,,,,,
561,DEV,What airbase is currently the headquarters of United States Forces Japan?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/United_States_Forces_Japan#:~:text=USFJ%20is%20headquartered%20at%20Yokota%20Air%20Base,Yokota Air Base,Yokota Air Base in Tokyo,"Yokota Air Base, Fussa, Western Tokyo",,,,,,,,
562,DEV,What was the name of the university where Meta was founded?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Mark_Zuckerberg#:~:text=Zuckerberg%20briefly%20attended%20Harvard%20University%2C%20where%20he%20launched%20Facebook%20in%20February%202004%20with%20his%20roommates%20Eduardo%20Saverin%2C%20Andrew%20McCollum%2C%20Dustin%20Moskovitz%20and%20Chris%20Hughes.,Harvard University ,Harvard,,,,,,,,,
563,DEV,Who played piano in Miles Davis' first quintet?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Miles_Davis_Quintet#:~:text=%E2%80%94%20tenor%20saxophone-,Red%20Garland%20%E2%80%94%20piano,-Paul%20Chambers%20%E2%80%94",Red Garland,"William McKinley ""Red"" Garland Jr.",William “Red�?Garland,William McKinley Garland Jr.,,,,,,,
564,DEV,What is the brightest star in the sky?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Sirius#:~:text=Sirius%20is%20the%20brightest%20star%20in%20the%20night%20sky.,Sirius,,,,,,,,,,
565,DEV,Who directed the movie Jaws?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Jaws_(film)#:~:text=Jaws%20is%20a%201975%20American%20thriller%20film%20directed%20by%20Steven%20Spielberg,Steven Spielberg,Steven Allan Spielberg KBE,,,,,,,,,
566,DEV,How many Premier League goals has Paul Scholes scored in his senior career?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Paul_Scholes#:~:text=(-,107,-)",107,,,,,,,,,,
567,DEV,What is the city flower of Shanghai?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Magnolia_denudata#:~:text=It%20is%20the%20official%20city%20flower%20of%20Shanghai.,Magnolia denudata,Yulan magnolia,lilytree,,,,,,,,
568,DEV,Is the Great Pyramid of Giza one of the New 7 Wonders of the World?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Wonders_of_the_World#:~:text=The%20Great%20Pyramid%20of%20Giza%E2%80%94part%20of%20the%20Giza%20Pyramids%2C%20the%20only%20remaining%20wonder%20of%20the%20traditional%20Seven%20Wonders%20of%20the%20Ancient%20World%2C%20was%20not%20one%20of%20the%20winners%20announced%20in%202007%20but%20was%20added%20as%20an%20honorary%20candidate.,No,No. It was added as an honorary candidate though.,,,,,,,,,
573,DEV,What killed the student inventor of the Perceptron? ,before 2022,,FALSE,multi-hop,never-changing,"https://en.wikipedia.org/wiki/Perceptron#:~:text=The%20perceptron%20was%20invented%20in%201943%20by%20Warren%20McCulloch%20and%20Walter%20Pitts.
https://en.wikipedia.org/wiki/Walter_Pitts#:~:text=Pitts%20died%20in%201969%20of%20bleeding%20esophageal%20varices%2C%20a%20condition%20usually%20associated%20with%20cirrhosis%20and%20alcoholism.",esophageal varices, alcoholism,cirrhosis,,,,,,,,
574,DEV,Which member of The Beatles was born first?,before 2022,,FALSE,multi-hop,never-changing,https://beatlestrivia.com/when-were-the-members-of-the-beatles-born/#:~:text=In%20birth%20order%20(as%20seen%20in%20the%20photo%2C%20L%2DR)%3B%20Ringo%20Starr%20was%20born%20on%20July%207%2C%201940%2C%20John%20Lennon%20on%20October%209%2C%201940%2C%20Paul%20McCartney%20on%20June%2018%2C%201942%2C%20and%20George%20Harrison%20on%20February%2025%2C%201943.,Ringo Starr,R. Starr,Starr,Sir Ringo Starr,Ringo,Sir Richard Starke,Richard Starkey,,,,
575,DEV,Who was the emperor of China when Sweet Dew incident happened?,before 2022,,FALSE,multi-hop,never-changing,"https://en.wikipedia.org/wiki/Sweet_Dew_incident#:~:text=The%20Sweet%20Dew%20incident%20(Chinese,and%20the%20general%20Zheng%20Zhu.",Emperor Wenzong,Emperor Wenzong of the Chinese Tang dynasty,Emperor Wenzong of the Tang dynasty,Emperor Wenzong of Tang,Li Ang,Li Han,,,,,
